編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPWNMLOKKHPFFAN76CA,莿桐段,41.00,都市：工
RPQNMLQKKHPFFAN98CA,學前段,85.59,都市：住
RPQNMLQKKHPFFAN98CA,學前段,18.80,都市：其他
RPSNMLNKKHPFFAN88CA,新舊社段,807.90,非都市：特定農業區 ; 非都市編定：農牧用地
RPWNMLMKKHPFFAN56CA,牛稠子段中庄子小段,60.00,都市：住
RPRNMLNKKHPFFAN78CA,燕霧段,85.53,都市：住
RPRNMLNKKHPFFAN78CA,燕霧段,15.57,都市：住
RPVNMLMKKHPFFAN09CA,西門口段,62.00,都市：住
RPOOMLKLKHPFFAN38CA,溪北段,105.05,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLMLKHPFFAN58CA,秀水段,15.80,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLMLKHPFFAN58CA,秀水段,95.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLMLKHPFFAN58CA,秀水段,30.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLMLKHPFFAN58CA,秀水段,30.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLMLKHPFFAN58CA,秀水段,30.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRNMLRKKHPFFAN56CA,西門口段,18.94,都市：住
RPQNMLMLKHPFFAN68CA,秀水段,54.00,都市：住
RPQNMLMLKHPFFAN68CA,秀水段,111.00,都市：住
RPQNMLMLKHPFFAN68CA,秀水段,112.00,都市：住
RPRNMLMKKHPFFAN68CA,大埔段,74.00,都市：住
RPUNMLNJLHPFFAN09CA,溪北段,85.26,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPXNMLOLKHPFFAN96CA,西勢子段西勢子小段,2795.00,都市：農
RPXNMLKLKHPFFAN56CA,溪北段,131.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLNKKHPFFBN66CA,中興段,92.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLNKKHPFFBN66CA,中興段,12.48,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLLLKHPFFBN98CA,定興段,583.94,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLLLKHPFFBN98CA,定興段,449.06,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLLLKHPFFBN98CA,定興段,448.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPWNMLLLKHPFFBN66CA,伸股段,624.80,都市：住
RPTNMLNKKHPFFBN09CA,和東段,90.20,都市：住
RPWOMLTJLHPFFAN37CA,牛稠子段山腳小段,971.00,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPWOMLTJLHPFFAN37CA,牛稠子段山腳小段,3.50,非都市：鄉村區 ; 非都市編定：交通用地
RPWOMLTJLHPFFAN37CA,牛稠子段山腳小段,1086.00,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPWOMLTJLHPFFAN37CA,牛稠子段山腳小段,3.00,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPWOMLTJLHPFFAN37CA,牛稠子段山腳小段,3.31,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPWOMLTJLHPFFAN37CA,牛稠子段山腳小段,1.43,非都市：鄉村區 ; 非都市編定：交通用地
RPXNMLLLKHPFFBN76CA,伸南段,140.00,都市：住
RPQNMLNKKHPFFCN88CA,東昇段,78.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQNMLNKKHPFFCN88CA,東昇段,522.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLMKKHPFFCN78CA,福鹿段,116.29,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLPJLHPFFBN88CA,伸光段,18.51,都市：住
RPPNMLPJLHPFFBN88CA,伸光段,.30,都市：住
RPPNMLPJLHPFFBN88CA,伸光段,141.00,都市：住
RPPNMLPJLHPFFBN88CA,伸光段,.43,都市：其他
RPPNMLPJLHPFFBN88CA,伸光段,8.55,都市：其他
RPPNMLPJLHPFFBN88CA,伸光段,2.40,都市：其他
RPPNMLSKKHPFFCN66CA,福南段,49.13,非都市：一般農業區 ; 非都市編定：養殖用地
RPPNMLSKKHPFFCN66CA,福南段,121.40,非都市：一般農業區 ; 非都市編定：養殖用地
RPWNMLOJLHPFFBN86CA,伸光段,18.51,都市：住
RPWNMLOJLHPFFBN86CA,伸光段,.30,都市：住
RPWNMLOJLHPFFBN86CA,伸光段,87.00,都市：住
RPWNMLOJLHPFFBN86CA,伸光段,.43,都市：其他
RPWNMLOJLHPFFBN86CA,伸光段,8.55,都市：其他
RPWNMLOJLHPFFBN86CA,伸光段,2.40,都市：其他
RPQNMLPKKHPFFCN09CA,新社段,31.50,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLPKKHPFFCN09CA,新社段,236.42,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLPKKHPFFCN09CA,新社段,42.17,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLPKKHPFFCN09CA,新社段,67.44,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLNKKHPFFCN78CA,郭厝段,75.68,都市：住
RPTNMLRKKHPFFDN07CA,靜修段,14.00,都市：住
RPSNMLOKKHPFFFN86CA,柑園段,2207.66,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLTKKHPFFFN37CA,光復段,117.00,都市：住
RPVNMLNKKHPFFFN07CA,民生段,59.20,都市：農
RPVNMLNKKHPFFFN07CA,民生段,59.20,都市：農
RPVNMLNKKHPFFFN07CA,民生段,118.39,都市：農
RPVNMLNKKHPFFFN07CA,民生段,236.78,都市：農
RPVNMLNKKHPFFFN07CA,民生段,118.37,都市：農
RPOOMLLKLHPFFDN78CA,復興段,158.66,都市：住
RPQNMLRLKHPFFDN86CA,靜修段,87.05,都市：住
RPSNMLSKKHPFFCN96CA,永安段,82.00,都市：住
RPVNMLNKKHPFFDN86CA,員林段,19.12,都市：商
RPVNMLNKKHPFFDN86CA,員林段,9.56,都市：商
RPPNMLMKKHPFFGN09CA,芳林段,2725.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLNKKHPFFGN96CA,丈八斗段,858.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLNKKHPFFGN96CA,丈八斗段,811.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLRLKHPFFFN27CA,田平段,196.80,都市：住
RPSNMLRLKHPFFFN27CA,田平段,1.54,都市：其他
RPVNMLTKKHPFFGN77CA,外竹段,50.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQOMLTKKHPFFGN37CA,外竹段,50.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPOOMLRKKHPFFEN76CA,新興段,80.26,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPOOMLRKKHPFFEN76CA,新興段,19.50,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPXNMLTKKHPFFGN97CA,外竹段,50.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLPKKHPFFHN86CA,西寮段,19.00,都市：住
RPPNMLOKKHPFFHN76CA,北勢段,274.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLOKKHPFFHN76CA,北勢段,323.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLOKKHPFFHN76CA,北勢段,274.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLPKKHPFFHN17CA,永興段,2700.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPOOMLLKKHPFFHN09CA,西寮段,94.00,都市：住
RPPNMLSLKHPFFGN17CA,儒興段,95.38,都市：工
RPPNMLSLKHPFFGN17CA,儒興段,90.79,都市：工
RPPNMLNKKHPFFHN66CA,鳳山段,88.00,都市：住
RPSNMLMKKHPFFAN88DA,西勢子段西勢子小段,21.78,都市：住
RPPNMLKKKHPFFEN98CD,修仁段,10.71,非都市：鄉村區 ; 非都市編定：交通用地
RPPPMLQLKHPFFAN66DA,牛稠子段牛稠子小段,77.00,都市：住
RPPNMLLLKHPFFFN09DA,福德段,86.00,都市：住
RPVOMLLKKHPFFAN56DA,西勢子段過溝子小段,78.00,都市：住
RPQNMLTJLHPFFGN27CA,永基段,3479.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLRKKHPFFGN17CA,華崙段,155.22,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLMKKHPFFGN96CA,北挖仔段,818.02,非都市：一般農業區 ; 非都市編定：農牧用地
RPWNMLNKKHPFFFN17CA,民生段,1532.00,都市：農
RPPNMLRKKHPFFEN07CD,新興段,80.00,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPPNMLRKKHPFFEN07CD,新興段,19.50,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPOOMLNKKHPFFGN56CA,芳功段,95.75,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLOKKHPFFEN09CA,湳西段,2655.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLOLKHPFFFN86CA,光復段,85.00,都市：住
RPSOMLNKKHPFFFN86CA,頂豐段,103.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPXNMLRKKHPFFEN57CA,新興段,81.60,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPXNMLRKKHPFFEN57CA,新興段,19.50,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPROMLRKKHPFFEN07CA,新興段,80.00,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPROMLRKKHPFFEN07CA,新興段,19.50,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPPNMLSLKHPFFDN86CA,圳南段,955.79,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLTKKHPFFCN96CA,福金段,1694.03,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLTKKHPFFCN96CA,福金段,1607.03,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLMKLHPFFDN88CA,員林段,.24,都市：住
RPPNMLMKLHPFFDN88CA,員林段,10.07,都市：住
RPTNMLOJLHPFFCN66CA,福園段,26.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLOJLHPFFCN66CA,福園段,2.69,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLOJLHPFFCN66CA,福園段,147.78,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXNMLKKLHPFFCN76CA,永豐段,7.00,非都市：鄉村區 ; 非都市編定：丁種建築用地
RPQNMLOKKHPFFCN98CA,福新段,75.35,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLOKKHPFFCN98CA,福新段,35.41,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLSKKHPFFDN96CA,新林厝段,97.40,都市：住
RPSOMLNJLHPFFCN56CA,永豐段,28.72,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLNJLHPFFCN56CA,永豐段,56.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLNJLHPFFCN56CA,永豐段,1.67,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLNJLHPFFCN76CA,永豐段,28.72,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLNJLHPFFCN76CA,永豐段,57.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLNJLHPFFCN76CA,永豐段,1.67,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLQJLHPFFCN86CA,鹿和段,75.61,都市：住
RPOOMLQLKHPFFBN09CA,和南段,1094.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPVNMLLLKHPFFBN56CA,伸東段,14.14,都市：住
RPQNMLPJLHPFFBN98CA,伸光段,18.51,都市：住
RPQNMLPJLHPFFBN98CA,伸光段,.30,都市：住
RPQNMLPJLHPFFBN98CA,伸光段,.43,都市：其他
RPQNMLPJLHPFFBN98CA,伸光段,95.00,都市：住
RPQNMLPJLHPFFBN98CA,伸光段,8.55,都市：其他
RPQNMLPJLHPFFBN98CA,伸光段,2.40,都市：其他
RPSNMLPJLHPFFBN56CA,伸光段,18.51,都市：住
RPSNMLPJLHPFFBN56CA,伸光段,.30,都市：住
RPSNMLPJLHPFFBN56CA,伸光段,87.00,都市：住
RPSNMLPJLHPFFBN56CA,伸光段,.43,都市：其他
RPSNMLPJLHPFFBN56CA,伸光段,8.55,都市：其他
RPSNMLPJLHPFFBN56CA,伸光段,2.40,都市：其他
RPSNMLTJLHPFFBN96CA,新賢段,80.37,都市：住
RPQNMLNKLHPFFAN78CA,新東興段,11.02,都市：住
RPQNMLNKLHPFFAN78CA,新東興段,74.89,都市：住
RPSPMLPJLHPFFAN66CA,嘉北段,47.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPSPMLPJLHPFFAN66CA,嘉北段,363.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
