編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPROMLOKKHPFFAN56CC,1,195.15,見其他登記事項,鋼筋混凝土造,108年3月12日,四層,
RPTNMLRKKHPFFGN57CC,25,75.73,見其他登記事項,鋼筋混凝土造,84年8月12日,十層,
RPROMLQJLHPFFAN76CC,22,145.00,住家用,鋼筋混凝土造,86年12月22日,三層,
RPOSMLMKKHPFFDN76CC,31,204.82,住商用,鋼筋混凝土造,78年4月1日,四層,
RPSNMLQJLHPFFHN47CC,,102.38,見其他登記事項,鋼筋混凝土造,108年11月21日,二層,
RPRNMLQJLHPFFHN37CC,8,304.76,見其他登記事項,鋼筋混凝土造,101年3月23日,三層,
RPUOMLQKLHPFFDN47CC,45,45.70,住家用,鋼筋混凝土加強磚造,64年2月6日,三層,
RPUNMLLKLHPFFDN86CC,22,32.68,住家用,鋼筋混凝土造,87年3月12日,九層,
RPWNMLSKLHPFFAN47CC,6,48.00,農舍,見其他登記事項,103年1月29日,一層,
RPQOMLSKLHPFFDN27CC,42,186.12,住家用,鋼筋混凝土造,67年2月14日,三層,
RPRNMLSKLHPFFCN17CC,8,599.08,見其他登記事項,見其他登記事項,101年8月22日,二層,
RPVOMLQLLHPFFAN37CC,46,496.44,住工用,見其他登記事項,63年2月20日,二層,
RPVOMLQLLHPFFAN37CC,19,400.14,見其他登記事項,見其他登記事項,90年1月20日,一層,
RPVOMLQLLHPFFAN37CC,19,342.89,見其他登記事項,見其他登記事項,90年1月20日,一層,
RPOPMLQLLHPFFAN76CC,27,918.40,見其他登記事項,見其他登記事項,82年9月3日,二層,
RPSNMLLMLHPFFAN56CC,27,132.48,見其他登記事項,鋼筋混凝土造,81年12月17日,八層,
RPTNMLQJMHPFFCN17CC,30,73.33,住商用,鋼筋混凝土造,78年12月8日,四層,
RPPNMLLMLHPFFHN96CC,31,121.74,住商用,鋼筋混凝土造,78年7月7日,三層,
RPUOMLQJMHPFFAN17CC,25,42.87,住家用,鋼筋混凝土造,84年7月15日,十六層,
RPUOMLQJMHPFFAN17CC,25,3.81,見其他登記事項,鋼筋混凝土造,84年7月15日,十六層,
RPUOMLQJMHPFFAN17CC,25,7.44,見其他登記事項,鋼筋混凝土造,84年7月15日,十六層,
RPUOMLQJMHPFFAN17CC,25,.60,見其他登記事項,鋼筋混凝土造,84年7月15日,十六層,
RPUOMLQLLHPFFAN27CC,46,496.44,住工用,見其他登記事項,63年2月20日,二層,
RPUOMLQLLHPFFAN27CC,19,400.14,見其他登記事項,見其他登記事項,90年1月20日,一層,
RPUOMLQLLHPFFAN27CC,19,342.89,見其他登記事項,見其他登記事項,90年1月20日,一層,
RPUNMLKKMHPFFAN56CC,36,83.25,住家用,鋼筋混凝土造,72年10月26日,五層,
RPUNMLKKMHPFFAN56CC,36,7.62,見其他登記事項,鋼筋混凝土造,72年10月26日,五層,
RPPOMLSJMHPFFDN17CC,9,224.24,見其他登記事項,鋼筋混凝土造,99年10月13日,四層,
RPXNMLKKMHPFFAN86CC,22,57.04,住商用,鋼筋混凝土造,87年6月10日,十四層,
RPXNMLKKMHPFFAN86CC,22,12.47,見其他登記事項,鋼筋混凝土造,87年6月10日,十四層,
RPPOMLNKMHPFFAN09CC,22,61.83,住商用,鋼筋混凝土造,87年6月10日,十四層,
RPPOMLNKMHPFFAN09CC,22,12.47,見其他登記事項,鋼筋混凝土造,87年6月10日,十四層,
RPPPMLPKMHPFFAN76CC,5,337.57,見其他登記事項,鋼筋混凝土造,104年2月9日,五層,
RPPPMLPKMHPFFAN76CC,5,5.61,見其他登記事項,鋼筋混凝土造,104年2月9日,一層,
RPTNMLKLMHPFFCN76CC,41,160.36,住商用,鋼筋混凝土加強磚造,68年10月19日,三層,
RPOOMLPJNHPFFFN07CC,29,122.05,住工用,見其他登記事項,80年3月28日,一層,
RPTOMLTLMHPFFAN57CC,39,214.62,住商用,鋼筋混凝土造,70年5月25日,四層,
RPQNMLQJNHPFFDN07CC,41,79.65,住商用,加強磚造,68年5月12日,二層,
RPSNMLOJNHPFFAN76CC,39,67.59,住家用,鋼筋混凝土造,70年10月15日,五層,
RPSNMLQJNHPFFDN27CC,,83.32,見其他登記事項,見其他登記事項,108年11月18日,一層,
