鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新竹市,土地,海山段991~1020地號,567.28,工,,,1081227,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10295400,18149,,0.0,0,,RPTRMLNKKHPFFAO86CA
新竹市,房地(土地+建物)+車位,新竹市新竹市柴橋路59巷61~90號,46.16,,山坡地保育區,丙種建築用地,1081215,土地5建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.93,4,2,2,有,有,5700000,42560,坡道機械,0.0,0,,RPWRMLNKKHPFFAO17CA
新竹市,房地(土地+建物)+車位,新竹市新竹市新莊街181~210號,16.99,住,,,1081228,土地2建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0990824,127.69999999999999,2,2,1,有,有,9100000,71261,坡道平面,0.0,0,,RPPSMLNKKHPFFAO56CA
新竹市,房地(土地+建物)+車位,新竹市新竹市榮濱路19巷1~30號,15.29,商,,,1081031,土地1建物1車位1,七層,十一層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1021220,111.74000000000001,1,1,1,有,有,4500000,40272,坡道平面,24.61,0,,RPWSMLNKKHPFFAO27CA
新竹市,房地(土地+建物),新竹市新竹市食品路51巷1弄1~30號,36.21,其他,,,1090114,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690515,128.11,3,2,2,有,無,4600000,35907,,0.0,0,,RPTNMLOKKHPFFAO56CA
新竹市,土地,成德段571~600地號,186.68,住,,,1090121,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9147320,49000,,0.0,0,向政府機關承購之案件。;,RPVNMLMKKHPFFAO56CA
新竹市,土地,南華段391~420地號,82.12,商,,,1081219,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5810000,70750,,0.0,0,,RPXNMLMKKHPFFAO76CA
新竹市,土地,長春段181~210地號,8.69,住,,,1090204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,810000,93211,,0.0,0,,RPOOMLMKKHPFFAO58CA
新竹市,房地(土地+建物),新竹市新竹市北大路1~30號,4.67,商,,,1090103,土地4建物1車位0,二十三層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,0960703,95.55,2,2,2,有,有,7000000,73260,,0.0,0,,RPQQMLMKKHPFFAO98CA
新竹市,房地(土地+建物),新竹市新竹市經國路二段91~120號,173.0,商,,,1081104,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,,163.5,7,2,3,有,無,27000000,165138,,0.0,0,含增建或未登記建物。;,RPTPMLOKKHPFFAO76CA
新竹市,房地(土地+建物),新竹市新竹市竹光路95巷4弄1~30號,64.0,住,,,1090101,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0600709,81.96,5,4,3,有,無,9650000,117740,,0.0,0,含增建或未登記建物。;,RPWPMLOKKHPFFAO07CA
新竹市,房地(土地+建物),新竹市新竹市鐵道路一段31~60號,71.02,其他,,,1081212,土地1建物1車位0,一層，見其他登記事項,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020916,215.76,0,0,0,無,有,26000000,120504,,0.0,0,,RPQOMLPKKHPFFAO09CA
新竹市,房地(土地+建物),新竹市新竹市新竹市經國路二段181~210號,3.96,商,,,1090112,土地1建物1車位0,三層,十一層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0971108,37.010000000000005,1,1,1,有,有,2600000,70251,,0.0,0,,RPQPMLPKKHPFFAO56CA
新竹市,房地(土地+建物)+車位,新竹市新竹市慈雲路121~150號,14.86,商,,,1090105,土地1建物1車位1,二十一層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031208,185.57999999999998,3,2,2,有,有,14750000,79481,坡道平面,0.0,0,,RPPOMLQKKHPFFAO09CA
新竹市,房地(土地+建物)+車位,新竹市新竹市龍山東路61~90號,18.86,商,,,1090202,土地1建物1車位2,十八層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050127,273.1,3,2,2,有,有,22800000,83486,坡道平面,50.0,0,,RPWNMLRKKHPFFAO17CA
新竹市,房地(土地+建物)+車位,新竹市新竹市金城一路91~120號,63.69,住,,,1081206,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1000713,215.5,3,2,2,有,有,13500000,62645,坡道平面,0.0,0,,RPXNMLRKKHPFFAO27CA
新竹市,房地(土地+建物),新竹市新竹市東大路三段439巷17弄1~30號,65.45,住,,,1081227,土地5建物1車位0,全,二層,透天厝,住家用,加強磚造,0681107,97.2,2,2,2,有,無,3000000,30864,,0.0,0,,RPROMLRKKHPFFAO76CA
新竹市,房地(土地+建物),新竹市新竹市中山路211~240號,5.92,商,,,1081216,土地1建物1車位0,十層,十層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0960606,37.79,1,1,1,有,有,2980000,78857,,0.0,0,,RPUOMLTKKHPFFAO27CA
新竹市,房地(土地+建物)+車位,新竹市新竹市光華二街91~120號,28.02,住,,,1090110,土地1建物1車位1,十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841120,201.01999999999998,4,2,2,有,有,9400000,46762,坡道平面,0.0,0,,RPSNMLKLKHPFFAO78CA
新竹市,房地(土地+建物),新竹市新竹市寶山路151~180號,22.69,住,,,1081201,土地1建物1車位0,一層,七層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0890710,100.03,1,1,1,有,無,7200000,71978,,0.0,0,,RPSNMLLLKHPFFAO88CA
新竹市,房地(土地+建物),新竹市新竹市竹光路1~30號,3.73,住,,,1081202,土地1建物1車位0,三層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860205,36.22,1,0,1,有,有,1750000,48316,,0.0,0,,RPTPMLMLKHPFFAO66CA
新竹市,房地(土地+建物)+車位,新竹市新竹市中華路三段61~90號,5.27,商,,,1081228,土地3建物1車位1,十二層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0820817,52.75,1,2,1,有,有,2470000,46825,升降機械,0.0,0,,RPRPMLMLKHPFFAO09CA
新竹市,房地(土地+建物)+車位,新竹市新竹市東華路1~30號,14.92,住,,,1081229,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030829,136.58999999999997,3,2,1,有,有,7420000,54323,坡道平面,37.43,0,,RPTQMLMLKHPFFAO76CA
新竹市,房地(土地+建物),新竹市新竹市經國路一段245巷1~30號,123.4,,特定農業區,甲種建築用地,1081130,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,,137.7,4,3,3,有,無,12300000,89325,,0.0,0,含增建或未登記建物。;,RPPRMLMLKHPFFAO09CA
新竹市,房地(土地+建物),新竹市新竹市延平路一段214巷2弄1~30號,55.0,住,,,1081113,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0631128,100.99,2,2,2,有,無,6800000,67333,,0.0,0,,RPQNMLOLKHPFFAO98CA
新竹市,房地(土地+建物)+車位,新竹市新竹市公園路301~330號,32.27,住,,,1081228,土地2建物1車位1,三層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050507,189.5,4,2,2,有,有,14200000,74934,升降機械,0.0,0,,RPPQMLOLKHPFFAO56CA
新竹市,房地(土地+建物)+車位,新竹市新竹市金雅東街1~30號,29.98,,鄉村區,乙種建築用地,1081213,土地1建物1車位1,二層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1081017,148.46,3,2,2,有,有,9200000,68054,坡道平面,33.11,1350000,,RPWNMLRLKHPFFAO27CA
新竹市,房地(土地+建物),新竹市新竹市北區北新街2巷1~30號,68.33,住,,,1090120,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,52.32,4,2,2,有,無,6000000,114679,,0.0,0,,RPPOMLRLKHPFFAO66CA
