編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPTRMLNKKHPFFAO86CA,海山段,344.27,都市：工
RPTRMLNKKHPFFAO86CA,海山段,32.77,都市：工
RPTRMLNKKHPFFAO86CA,海山段,190.24,都市：工
RPVNMLMKKHPFFAO56CA,成德段,3.29,都市：住
RPVNMLMKKHPFFAO56CA,成德段,1.62,都市：住
RPVNMLMKKHPFFAO56CA,成德段,1.20,都市：其他
RPVNMLMKKHPFFAO56CA,成德段,179.93,都市：住
RPVNMLMKKHPFFAO56CA,成德段,.64,都市：其他
RPOOMLMKKHPFFAO58CA,長春段,8.69,都市：住
RPXNMLMKKHPFFAO76CA,南華段,82.12,都市：商
RPWSMLNKKHPFFAO27CA,南華段,15.29,都市：商
RPTNMLOKKHPFFAO56CA,東山段二小段,36.21,都市：其他
RPQQMLMKKHPFFAO98CA,光華段,1.07,都市：住
RPQQMLMKKHPFFAO98CA,光華段,.05,都市：商
RPQQMLMKKHPFFAO98CA,光華段,3.51,都市：商
RPQQMLMKKHPFFAO98CA,光華段,.04,都市：商
RPTPMLOKKHPFFAO76CA,北門段,137.00,都市：商
RPTPMLOKKHPFFAO76CA,北門段,36.00,都市：住
RPPSMLNKKHPFFAO56CA,長春段,16.50,都市：住
RPPSMLNKKHPFFAO56CA,長春段,.48,都市：住
RPWPMLOKKHPFFAO07CA,民富段,64.00,都市：住
RPWRMLNKKHPFFAO17CA,明湖段,5.85,非都市：山坡地保育區 ; 非都市編定：水利用地
RPWRMLNKKHPFFAO17CA,明湖段,.05,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPWRMLNKKHPFFAO17CA,明湖段,8.63,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPWRMLNKKHPFFAO17CA,明湖段,21.27,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPWRMLNKKHPFFAO17CA,明湖段,10.36,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQPMLPKKHPFFAO56CA,北門段,3.96,都市：商
RPQOMLPKKHPFFAO09CA,中華段,71.02,都市：其他
RPWNMLRKKHPFFAO17CA,光武段,18.86,都市：商
RPPOMLQKKHPFFAO09CA,國道段,14.86,都市：商
RPSNMLKLKHPFFAO78CA,自由段,28.02,都市：住
RPSNMLLLKHPFFAO88CA,仙宮段,22.69,都市：住
RPROMLRKKHPFFAO76CA,南寮段,47.79,都市：住
RPROMLRKKHPFFAO76CA,南寮段,5.00,都市：農
RPROMLRKKHPFFAO76CA,南寮段,8.81,都市：住
RPROMLRKKHPFFAO76CA,南寮段,3.28,都市：住
RPROMLRKKHPFFAO76CA,南寮段,.57,都市：農
RPXNMLRKKHPFFAO27CA,光復段,63.69,都市：住
RPTPMLMLKHPFFAO66CA,崙子段,3.73,都市：住
RPUOMLTKKHPFFAO27CA,西門段三小段,5.92,都市：商
RPRPMLMLKHPFFAO09CA,聚吉段,1.86,都市：商
RPRPMLMLKHPFFAO09CA,聚吉段,2.59,都市：商
RPRPMLMLKHPFFAO09CA,聚吉段,.82,都市：商
RPTQMLMLKHPFFAO76CA,信義段,14.92,都市：住
RPPRMLMLKHPFFAO09CA,前溪段,123.40,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQNMLOLKHPFFAO98CA,崙子段,55.00,都市：住
RPVNMLRKLHPFFAO17CA,五福段,7.12,都市：工
RPVNMLRKLHPFFAO17CA,五福段,.02,都市：其他
RPVNMLRKLHPFFAO17CA,五福段,6.73,都市：工
RPVNMLRKLHPFFAO17CA,五福段,.42,都市：其他
RPVNMLRKLHPFFAO17CA,五福段,5.93,都市：工
RPVNMLRKLHPFFAO17CA,五福段,.95,非都市：特定農業區 ; 非都市編定：水利用地
RPVNMLRKLHPFFAO17CA,五福段,1.56,非都市：特定農業區 ; 非都市編定：水利用地
RPVNMLRKLHPFFAO17CA,五福段,5.52,都市：工
RPVNMLRKLHPFFAO17CA,五福段,.44,非都市：特定農業區 ; 非都市編定：水利用地
RPPQMLOLKHPFFAO56CA,東山段一小段,31.55,都市：住
RPPQMLOLKHPFFAO56CA,東山段一小段,.72,都市：住
RPPOMLRLKHPFFAO66CA,中雅段,68.33,都市：住
RPWNMLRLKHPFFAO27CA,金雅段,29.98,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLQJLHPFFAO09CA,茄苳段,3.03,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPPOMLQJLHPFFAO09CA,茄苳段,11.67,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPVPMLMKKHPFFAO96EA,溪橋段,8.09,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPSNMLNKKHPFFAO56EA,崙子段,100.00,都市：住
RPUNMLMJLHPFFAO09CA,民富段,.67,都市：商
