編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPUOMLNLLHPFFAO96CB,新興段,1.16,都市：住
RPUOMLNLLHPFFAO96CB,新興段,.00,都市：其他
RPXNMLNLLHPFFAO17CB,新興段,1.16,非都市： ; 非都市編定：
RPXNMLNLLHPFFAO17CB,新興段,.00,非都市： ; 非都市編定：
RPVOMLOJNHPFFAO17CB,東光段,20.50,都市：其他
RPPOMLOLMHPFFAO66CB,東光段,20.08,都市：其他
RPOOMLOLMHPFFAO56CB,東光段,25.71,都市：其他
RPWNMLOLMHPFFAO27CB,東光段,66.87,都市：其他
RPSOMLOJNHPFFAO86CB,東光段,66.54,都市：其他
RPVNMLOLMHPFFAO17CB,東光段,13.69,都市：其他
RPXNMLOLMHPFFAO37CB,東光段,57.46,都市：其他
RPUOMLOJNHPFFAO07CB,東光段,25.96,都市：其他
RPPPMLOJNHPFFAO66CB,東光段,20.16,都市：其他
RPOPMLOJNHPFFAO56CB,東光段,25.29,都市：其他
RPWOMLOJNHPFFAO27CB,東光段,20.08,都市：其他
RPXOMLOJNHPFFAO37CB,東光段,13.69,都市：其他
RPQPMLOJNHPFFAO76CB,東光段,19.32,都市：其他
RPVPMLOJNHPFFAO27CB,東光段,20.08,都市：其他
RPTPMLOJNHPFFAO07CB,東光段,25.71,都市：其他
RPUPMLOJNHPFFAO17CB,東光段,20.16,都市：其他
RPRPMLOJNHPFFAO86CB,東光段,15.04,都市：其他
RPSPMLOJNHPFFAO96CB,東光段,25.71,都市：其他
RPWPMLOJNHPFFAO37CB,東光段,24.28,都市：其他
RPXPMLOJNHPFFAO47CB,東光段,23.44,都市：其他
RPOQMLOJNHPFFAO66CB,東光段,24.53,都市：其他
RPPQMLOJNHPFFAO76CB,東光段,13.69,都市：其他
RPRQMLOJNHPFFAO96CB,東光段,13.69,都市：其他
RPQQMLOJNHPFFAO86CB,東光段,20.08,都市：其他
RPSQMLOJNHPFFAO07CB,東光段,13.69,都市：其他
RPTQMLOJNHPFFAO17CB,東光段,19.99,都市：其他
RPUQMLOJNHPFFAO27CB,東光段,19.32,都市：其他
RPVQMLOJNHPFFAO37CB,東光段,13.69,都市：其他
RPWQMLOJNHPFFAO47CB,東光段,25.54,都市：其他
RPORMLOJNHPFFAO76CB,東光段,15.04,都市：其他
RPXQMLOJNHPFFAO57CB,東光段,15.04,都市：其他
RPQRMLOJNHPFFAO96CB,東光段,25.96,都市：其他
RPPRMLOJNHPFFAO86CB,東光段,19.99,都市：其他
RPRRMLOJNHPFFAO07CB,東光段,14.53,都市：其他
RPTRMLOJNHPFFAO27CB,東光段,20.50,都市：其他
RPURMLOJNHPFFAO37CB,東光段,20.50,都市：其他
RPVRMLOJNHPFFAO47CB,東光段,20.50,都市：其他
RPXRMLOJNHPFFAO67CB,東光段,25.96,都市：其他
RPWRMLOJNHPFFAO57CB,東光段,20.08,都市：其他
RPOSMLOJNHPFFAO86CB,東光段,20.50,都市：其他
RPPSMLOJNHPFFAO96CB,東光段,37.80,都市：其他
RPQSMLOJNHPFFAO07CB,東光段,13.69,都市：其他
RPRSMLOJNHPFFAO17CB,東光段,13.69,都市：其他
RPSSMLOJNHPFFAO27CB,東光段,21.17,都市：其他
RPTSMLOJNHPFFAO37CB,東光段,21.17,都市：其他
RPVSMLOJNHPFFAO57CB,東光段,25.96,都市：其他
RPWSMLOJNHPFFAO67CB,東光段,15.04,都市：其他
RPXSMLOJNHPFFAO77CB,東光段,20.08,都市：其他
RPOTMLOJNHPFFAO96CB,東光段,13.69,都市：其他
RPQTMLOJNHPFFAO17CB,東光段,24.19,都市：其他
