鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
斗六市,房地(土地+建物),雲林縣斗六市虎溪路1~30號,126.22,,鄉村區,乙種建築用地,1081216,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1031225,248.16,5,3,4,有,無,9500000,38282,,0.0,0,,RPSOMLNKKHPFFAP56CA
斗六市,房地(土地+建物)+車位,雲林縣斗六市文安街61~90號,24.98,住,,,1090105,土地1建物1車位1,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830728,114.86,3,1,2,有,有,3900000,33954,坡道機械,0.0,0,"權利人為2人車位故障,賣方不負責修繕",RPTOMLMKKHPFFAP56CA
斗六市,房地(土地+建物),雲林縣斗六市棒球二街61~90號,114.78,住,,,1081206,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1080325,242.68,4,3,5,有,無,12800000,52744,,0.0,0,,RPUOMLMKKHPFFAP66CA
斗六市,土地,海豐崙段海豐崙小段241~270地號,350.56,,鄉村區,乙種建築用地,1081126,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,17115,,0.0,0,含增建或未登記建物。;,RPQNMLLLKHPFFAP78CA
斗六市,土地,海豐崙段海豐崙小段1291~1320地號,434.0,農,,,1090112,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,6912,,0.0,0,,RPWNMLTJLHPFFAP47CA
西螺鎮,房地(土地+建物),雲林縣西螺鎮九隆路31~60號,91.58,,鄉村區,乙種建築用地,1090113,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0831114,171.23,4,2,3,有,無,3330000,19448,,0.0,0,,RPTNMLRLKHPFFCP27CA
虎尾鎮,土地,廉使段571~600地號,1536.0,,特定農業區,農牧用地,1090101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,2604,,0.0,0,,RPPNMLMKKHPFFDP98CA
褒忠鄉,房地(土地+建物),雲林縣褒忠鄉三民路147巷1~30號,109.97,住,,,1081216,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1080910,198.57,5,1,3,有,無,6900000,34748,,0.0,0,,RPRNMLMKKHPFFDP56CA
虎尾鎮,土地,同心段1~30地號,51.1,住,,,1081211,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,58708,,0.0,0,,RPPOMLTKKHPFFDP17CA
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮公安路75巷1弄1~30號,12.25,住,,,1090110,土地1建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850309,106.73,3,2,2,有,有,3450000,32325,,0.0,0,,RPSNMLPJLHPFFDP96CA
土庫鎮,房地(土地+建物),雲林縣土庫鎮文昌路216巷16弄1~30號,204.38,住,,,1070810,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1081129,201.57,4,3,3,有,有,7880000,39093,,0.0,0,,RPXNMLPJLHPFFDP47CA
口湖鄉,土地,牛尿港段721~750地號,400.0,,一般農業區,農牧用地,1090203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,5000,,0.0,0,親友、員工或其他特殊關係間之交易。;塔位或墓園。;,RPRNMLMKKHPFFEP66CA
水林鄉,土地,春埔段421~450地號,1666.9,,特定農業區,農牧用地,1090106,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1387000,832,,0.0,0,,RPSNMLMKKHPFFEP76CA
北港鎮,房地(土地+建物),雲林縣北港鎮光復三路31~60號,176.58,住,,,1090115,土地3建物1車位0,全,二層,透天厝,住家用,加強磚造,0661125,100.92,7,3,4,有,無,6800000,67380,,0.0,0,,RPXNMLMKKHPFFEP27CA
東勢鄉,土地,馬山段241~270地號,227.0,,鄉村區,乙種建築用地,1090130,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,320000,1410,,0.0,0,,RPTNMLMKKHPFFFP96CA
東勢鄉,土地,仁愛段271~300地號,216.89,,特定農業區,水利用地,1081227,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,201708,930,,0.0,0,協議價購,RPPNMLOKKHPFFFP76CA
麥寮鄉,房地(土地+建物),雲林縣麥寮鄉中山路437巷181~210號,94.16,,一般農業區,甲種建築用地,1081204,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0690508,119.2,8,2,2,有,無,4460000,37416,,0.0,0,,RPPNMLMKLHPFFFP66CA
