編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPWNMLTJLHPFFAP47CA,海豐崙段海豐崙小段,434.00,都市：農
RPPNMLMKKHPFFDP98CA,廉使段,1536.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLLLKHPFFAP78CA,海豐崙段海豐崙小段,16.56,非都市：鄉村區 ; 非都市編定：交通用地
RPQNMLLLKHPFFAP78CA,海豐崙段海豐崙小段,334.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLTKKHPFFDP17CA,同心段,29.99,都市：住
RPPOMLTKKHPFFDP17CA,同心段,1.89,都市：住
RPPOMLTKKHPFFDP17CA,同心段,.08,都市：住
RPPOMLTKKHPFFDP17CA,同心段,17.75,都市：住
RPPOMLTKKHPFFDP17CA,同心段,1.39,都市：住
RPSOMLNKKHPFFAP56CA,虎溪段,83.24,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLNKKHPFFAP56CA,虎溪段,42.98,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTOMLMKKHPFFAP56CA,大潭段社口小段,24.98,都市：住
RPRNMLMKKHPFFEP66CA,牛尿港段,400.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPTNMLRLKHPFFCP27CA,吳厝段,91.58,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLMKKHPFFAP66CA,北環段,90.06,都市：住
RPUOMLMKKHPFFAP66CA,北環段,24.72,都市：住
RPRNMLMKKHPFFDP56CA,埔崙段,109.97,都市：住
RPSNMLMKKHPFFEP76CA,春埔段,534.45,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLMKKHPFFEP76CA,春埔段,117.89,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLMKKHPFFEP76CA,春埔段,338.70,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLMKKHPFFEP76CA,春埔段,13.96,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLMKKHPFFEP76CA,春埔段,330.95,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLMKKHPFFEP76CA,春埔段,330.96,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLPJLHPFFDP96CA,公安段,12.25,都市：住
RPTNMLMKKHPFFFP96CA,馬山段,227.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLOKKHPFFFP76CA,仁愛段,128.30,非都市：特定農業區 ; 非都市編定：水利用地
RPPNMLOKKHPFFFP76CA,仁愛段,88.59,非都市：特定農業區 ; 非都市編定：交通用地
RPXNMLPJLHPFFDP47CA,復興段,6.65,都市：住
RPXNMLPJLHPFFDP47CA,復興段,172.51,都市：住
RPXNMLPJLHPFFDP47CA,復興段,.52,都市：住
RPXNMLPJLHPFFDP47CA,復興段,24.70,都市：住
RPPNMLPJLHPFFAP09DA,仁愛段,3183.63,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLPJLHPFFAP56DA,仁愛段,5106.77,非都市：特定農業區 ; 非都市編定：農牧用地
RPXNMLMKKHPFFEP27CA,北港段,5.25,都市：住
RPXNMLMKKHPFFEP27CA,北港段,139.00,都市：住
RPXNMLMKKHPFFEP27CA,北港段,32.33,都市：住
RPVNMLPKKHPFFEP47DA,三王段,1272.35,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLQLKHPFFAP86EA,溪洲段,22.77,非都市：鄉村區 ; 非都市編定：水利用地
RPPNMLMKLHPFFFP66CA,豐津段,94.16,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPPOMLMKKHPFFCP56EA,新庄子段新庄子小段,2528.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLTJLHPFFFP47DA,永吉段,253.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPUNMLMKKHPFFEP07DA,南陽段,19.71,都市：商
RPOOMLMKKHPFFEP56DA,埔潭段,1706.46,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPOOMLMKKHPFFEP56DA,埔潭段,3396.18,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPOOMLMKKHPFFEP56DA,埔潭段,691.00,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPWNMLMKKHPFFEP27DA,南陽段,18.81,都市：商
RPPNMLNKKHPFFCP09DA,漢南段,245.16,都市：住
RPPNMLNKKHPFFCP09DA,漢南段,.83,都市：其他
RPQNMLNKKHPFFCP56DA,漢南段,239.14,都市：住
RPQNMLNKKHPFFCP56DA,漢南段,.83,都市：其他
RPOOMLKLKHPFFDP98DA,北平段,28.08,都市：住
RPRNMLNKKHPFFCP66DA,漢南段,.83,都市：其他
RPRNMLNKKHPFFCP66DA,漢南段,241.27,都市：住
RPQNMLRKKHPFFFP17CA,明倫段,1660.56,非都市：特定農業區 ; 非都市編定：農牧用地
RPXNMLQLKHPFFAP47DA,大潭段社口小段,4.44,都市：住
RPXNMLQLKHPFFAP47DA,大潭段社口小段,78.00,都市：住
RPUNMLNKKHPFFCP96DA,漢南段,.83,都市：其他
RPUNMLNKKHPFFCP96DA,漢南段,101.19,都市：住
RPPNMLMJLHPFFCP98DA,漢南段,.83,都市：其他
RPPNMLMJLHPFFCP98DA,漢南段,32.15,都市：住
RPPNMLMJLHPFFCP98DA,漢南段,204.01,都市：住
RPSNMLNKKHPFFCP76DA,漢南段,.83,都市：其他
RPSNMLNKKHPFFCP76DA,漢南段,249.67,都市：住
RPRNMLRKKHPFFFP27CA,明倫段,4760.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLNKKHPFFEP66CA,順興段,2061.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLNKKHPFFEP66CA,順興段,1832.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLOKKHPFFEP76CA,潭墘段,3189.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLNJLHPFFDP66CA,信義段,126.22,都市：商
RPPNMLMKLHPFFDP09CA,菜園段,37.33,都市：住
RPPNMLRKKHPFFDP86CA,新湖段,324.34,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLNKKHPFFDP09CA,惠來厝段,1055.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLNKKHPFFDP09CA,惠來厝段,1112.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLNKKHPFFCP76CA,西螺段,25.03,都市：住
RPXNMLTKKHPFFAP57CA,芎林段,504.69,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLRLKHPFFDP47CA,平和厝段,83.97,都市：住
RPUNMLRLKHPFFDP47CA,平和厝段,16.25,都市：住
RPPNMLKKLHPFFCP78CA,港後段,34.00,非都市：特定農業區 ; 非都市編定：水利用地
RPPNMLKKLHPFFCP78CA,港後段,68.00,非都市：特定農業區 ; 非都市編定：水利用地
RPPNMLKKLHPFFCP78CA,港後段,16.00,非都市：特定農業區 ; 非都市編定：水利用地
RPPNMLKKLHPFFCP78CA,港後段,334.00,非都市：特定農業區 ; 非都市編定：水利用地
RPPNMLKKLHPFFCP78CA,港後段,20.00,非都市：特定農業區 ; 非都市編定：水利用地
RPPNMLKKLHPFFCP78CA,港後段,80.00,非都市：特定農業區 ; 非都市編定：水利用地
