編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUOMLTKKHPFFCQ67CA,,179.63,住家用,鋼筋混凝土造,108年12月4日,四層,一層 二層 三層 四層
RPWOMLTKKHPFFCQ87CA,,180.53,住家用,鋼筋混凝土造,108年12月4日,四層,一層 二層 三層 四層
RPVOMLTKKHPFFCQ77CA,,202.00,住家用,鋼筋混凝土造,108年12月4日,四層,一層 二層 三層 四層
RPPNMLPKKHPFFCQ66CA,38,122.29,住家用,鋼筋混凝土加強磚造,71年5月4日,二層,一層 二層 電梯樓梯間
RPQNMLNKKHPFFCQ56CA,27,83.63,住家用,鋼筋混凝土造,81年11月30日,五層,二層
RPXOMLTKKHPFFCQ97CA,,180.53,住家用,鋼筋混凝土造,108年12月4日,四層,一層 二層 三層 四層
RPWNMLKLKHPFFCQ96CA,,382.33,住家用,鋼筋混凝土造,108年12月4日,四層,一層 二層 三層 四層
RPXNMLKLKHPFFCQ07CA,,179.63,住家用,鋼筋混凝土造,108年12月4日,四層,一層 二層 三層 四層
RPOOMLKLKHPFFCQ88CA,,179.63,住家用,鋼筋混凝土造,108年12月4日,四層,一層 二層 三層 四層
RPPOMLKLKHPFFCQ98CA,,198.00,住家用,鋼筋混凝土造,108年12月4日,四層,一層 二層 三層 四層
RPSOMLTKKHPFFCQ47CA,,180.53,住家用,鋼筋混凝土造,108年12月4日,四層,一層 二層 三層 四層
RPQOMLTKKHPFFCQ27CA,,172.02,住家用,鋼筋混凝土造,108年12月4日,四層,一層 二層 三層 四層
RPSOMLSJLHPFFCQ37CA,,211.75,見其他登記事項,鋼筋混凝土造,108年8月15日,三層,一層 二層 三層 見其他登記事項
RPQOMLSJLHPFFCQ17CA,,227.93,見其他登記事項,鋼筋混凝土造,108年8月15日,四層,一層 二層 三層 四層
RPWNMLSJLHPFFCQ67CA,,184.80,見其他登記事項,鋼筋混凝土造,108年8月15日,三層,一層 二層 三層 見其他登記事項
RPXNMLSJLHPFFCQ77CA,,184.89,見其他登記事項,鋼筋混凝土造,108年8月15日,三層,一層 二層 三層 見其他登記事項
RPSNMLMKKHPFFDQ76CA,40,124.22,住商用,鋼筋混凝土加強磚造,69年3月18日,二層,一層 二層
RPWOMLSJLHPFFCQ77CA,,211.53,住家用,鋼筋混凝土造,108年8月15日,四層,一層 二層 三層 四層
RPVOMLOKKHPFFDQ37CA,39,112.83,住家用,鋼筋混凝土加強磚造,70年7月15日,二層,一層 二層
RPWNMLLKKHPFFDQ07CA,1,164.36,見其他登記事項,鋼筋混凝土造,108年4月23日,三層,一層 二層 三層 見其他登記事項
RPWOMLOKKHPFFDQ47CA,4,199.80,住家用,見其他登記事項,105年1月29日,四層,一層 二層 三層 四層
RPOOMLLLKHPFFDQ09CA,25,154.55,住家用,鋼筋混凝土造,84年6月5日,四層,一層 二層 三層 四層
RPRNMLRKKHPFFDQ17CA,23,195.43,住家用,鋼筋混凝土造,86年3月31日,四層,一層 二層 三層 四層
RPPNMLNLKHPFFDQ66CA,25,207.45,見其他登記事項,鋼筋混凝土造,83年8月19日,七層,一層 二層 三層 地下層
RPPOMLLJLHPFFDQ09CA,27,196.30,住家用,鋼筋混凝土造,82年3月6日,四層,一層 二層 三層 四層 地下層
RPRNMLNKKHPFFEQ86CA,7,89.16,農舍,見其他登記事項,102年6月7日,一層,一層
RPQNMLOKKHPFFEQ86CA,30,172.66,住家用,鋼筋混凝土造,78年11月21日,三層,一層 二層 三層 騎樓
RPUNMLPKKHPFFDQ27CA,39,134.27,住商用,鋼筋混凝土加強磚造,70年6月20日,二層,一層 二層 騎樓
