編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPXNMLRLKHPFFBQ67CA,洲仔段洲仔小段,380.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPXNMLRLKHPFFBQ67CA,洲仔段洲仔小段,291.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLPKKHPFFBQ56CA,菜埔段永和小段,183.08,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLPKKHPFFBQ56CA,菜埔段永和小段,124.63,非都市：特定農業區 ; 非都市編定：農牧用地
RPWNMLNKKHPFFCQ17CA,本廳段,1404.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPXNMLNKKHPFFCQ27CA,溪東段,95.59,都市：商
RPRNMLOKKHPFFCQ76CA,公園段,210.00,都市：其他
RPUOMLTKKHPFFCQ67CA,秀林段,79.39,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLTKKHPFFCQ67CA,秀林段,17.76,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWOMLTKKHPFFCQ87CA,秀林段,82.96,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWOMLTKKHPFFCQ87CA,秀林段,17.76,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVOMLTKKHPFFCQ77CA,秀林段,93.75,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVOMLTKKHPFFCQ77CA,秀林段,17.76,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLPKKHPFFCQ66CA,水頭段,95.62,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQNMLNKKHPFFCQ56CA,世興段,.76,都市：住
RPQNMLNKKHPFFCQ56CA,世興段,29.64,都市：住
RPXOMLTKKHPFFCQ97CA,秀林段,81.61,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXOMLTKKHPFFCQ97CA,秀林段,17.76,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLKLKHPFFCQ96CA,秀林段,35.51,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLKLKHPFFCQ96CA,秀林段,163.83,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXNMLKLKHPFFCQ07CA,秀林段,83.03,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXNMLKLKHPFFCQ07CA,秀林段,17.76,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLOLKHPFFCQ17CA,新庄段,469.91,都市：農
RPUNMLOLKHPFFCQ17CA,新庄段,3395.46,都市：農
RPOOMLKLKHPFFCQ88CA,秀林段,83.38,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOOMLKLKHPFFCQ88CA,秀林段,17.76,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLKLKHPFFCQ98CA,秀林段,95.41,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLKLKHPFFCQ98CA,秀林段,17.76,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLTKKHPFFCQ47CA,秀林段,17.76,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLTKKHPFFCQ47CA,秀林段,78.99,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLKKLHPFFCQ88CA,大潭段精忠小段,560.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLTKKHPFFCQ27CA,秀林段,17.76,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLTKKHPFFCQ27CA,秀林段,77.04,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLSJLHPFFCQ37CA,北斗段,101.50,都市：商
RPSOMLSJLHPFFCQ37CA,北斗段,23.75,都市：商
RPQOMLSJLHPFFCQ17CA,北斗段,126.64,都市：商
RPQOMLSJLHPFFCQ17CA,北斗段,23.75,都市：商
RPWNMLSJLHPFFCQ67CA,北斗段,94.82,都市：商
RPWNMLSJLHPFFCQ67CA,北斗段,23.75,都市：商
RPXNMLSJLHPFFCQ77CA,北斗段,103.73,都市：商
RPXNMLSJLHPFFCQ77CA,北斗段,23.75,都市：商
RPSNMLMKKHPFFDQ76CA,佳興段,8.82,都市：住
RPSNMLMKKHPFFDQ76CA,佳興段,89.68,都市：住
RPWOMLSJLHPFFCQ77CA,北斗段,96.25,都市：商
RPWOMLSJLHPFFCQ77CA,北斗段,23.75,都市：商
RPVOMLOKKHPFFDQ37CA,柳林段,73.40,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLLKKHPFFDQ07CA,過溝段過溝小段,81.00,都市：住
RPWOMLOKKHPFFDQ47CA,新大崙段,120.39,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLRLKHPFFDQ17CA,埔心段,408.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLNKKHPFFEQ76CA,內甕段,20.00,都市：住
RPQNMLNKKHPFFEQ76CA,內甕段,2864.00,都市：住
RPOOMLLLKHPFFDQ09CA,柳鄉段,82.13,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRNMLRKKHPFFDQ17CA,新埤段新埤小段,14.83,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRNMLRKKHPFFDQ17CA,新埤段新埤小段,21.23,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRNMLRKKHPFFDQ17CA,新埤段新埤小段,90.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLOKKHPFFDQ76DA,頂潭新段,73.84,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLOKKHPFFDQ76DA,頂潭新段,199.36,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLOKKHPFFDQ76DA,頂潭新段,22.71,非都市：鄉村區 ; 非都市編定：水利用地
RPPNMLNLKHPFFDQ66CA,粗溪段粗溪小段,52.64,都市：住
