鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
萬丹鄉,土地,萬安段121~150地號,7.94,其他,,,1081231,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,250250,31518,,0.0,0,辦理土地協議價購,RPPNMLMKKHPFFAT09CA
屏東巿,房地(土地+建物),屏東縣屏東市建華一街1~30號,52.0,住,,,1081212,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0590815,100.32,3,2,2,有,無,1783400,17777,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPOOMLMKKHPFFAT09CA
屏東巿,房地(土地+建物),屏東縣屏東市博愛路331~360號,26.34,住,,,1081224,土地1建物1車位0,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890331,169.87,3,2,2,有,有,4100000,24136,,0.0,0,,RPWOMLMKKHPFFAT27CA
萬丹鄉,土地,萬安段121~150地號,2.38,其他,,,1081231,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,75075,31544,,0.0,0,辦理協議價購,RPPNMLNKKHPFFAT56CA
屏東巿,房地(土地+建物),屏東縣屏東市崇朝路185巷61~90號,108.32,住,,,1070924,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1080806,162.73,4,2,3,有,無,10070000,61882,,0.0,0,,RPSNMLNKKHPFFAT86CA
九如鄉,土地,九明段721~750地號,8791.4,,一般農業區,農牧用地,1090103,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18000000,2047,,0.0,0,,RPOOMLNKKHPFFAT56CA
屏東巿,房地(土地+建物),屏東縣屏東市重慶路91~120號,190.0,住,,,1090112,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0700920,364.67,6,3,3,有,無,14188000,38906,,0.0,0,,RPXOMLNKKHPFFAT47CA
屏東巿,房地(土地+建物),屏東縣屏東市崇朝路185巷91~120號,105.84,住,,,1070519,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1080806,162.73,4,2,3,有,無,9180000,56412,,0.0,0,,RPQPMLNKKHPFFAT86CA
屏東巿,房地(土地+建物)+車位,屏東縣屏東市清寧街106巷1~30號,44.8,住,,,1081231,土地1建物1車位1,五層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070330,72.15,2,2,2,有,無,4700000,65142,一樓平面,0.0,0,,RPOQMLNKKHPFFAT76CA
屏東巿,房地(土地+建物)+車位,屏東縣屏東市復興南路一段376巷97弄1~30號,37.61,,鄉村區,乙種建築用地,1090103,土地1建物1車位1,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0831230,125.01,3,2,2,有,有,2300000,18399,坡道平面,0.0,0,,RPQNMLOKKHPFFAT76CA
長治鄉,房地(土地+建物),屏東縣長治鄉復興路13巷1~30號,98.52,住,,,1090109,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1070718,188.46,5,2,4,有,無,9100000,48286,,0.0,0,,RPPPMLLLKHPFFAT66CA
萬丹鄉,房地(土地+建物),屏東縣萬丹鄉上順路31~60號,106.0,,鄉村區,乙種建築用地,1081203,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1081111,159.4,3,2,3,有,無,6600000,41405,,0.0,0,,RPTNMLPLKHPFFAT27CA
萬丹鄉,土地,萬安段121~150地號,5.3,其他,,,1081231,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,166833,31478,,0.0,0,,RPUNMLQLKHPFFAT47CA
萬丹鄉,土地,萬安段121~150地號,5.3,其他,,,1081231,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,166833,31478,,0.0,0,,RPVNMLQLKHPFFAT57CA
fa72埔鄉,土地,新高段661~690地號,84.29,,一般農業區,農牧用地,1090130,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,14237,,0.0,0,,RPSNMLLKKHPFFBT76CA
fa72埔鄉,土地,振興段541~570地號,69.45,,鄉村區,乙種建築用地,1090110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,700000,10079,,0.0,0,,RPQOMLNKKHPFFBT86CA
里港鄉,土地,春林段751~780地號,11.46,其他,,,1090128,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,52356,,0.0,0,,RPPNMLOKKHPFFBT76CA
fa72埔鄉,土地,高朗段721~750地號,2.88,,鄉村區,乙種建築用地,1090204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,26150,9080,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLPKKHPFFBT86CA
高樹鄉,土地,舊寮段541~570地號,125.0,,鄉村區,乙種建築用地,1090116,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,0,0,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPRNMLTKKHPFFBT47CA
里港鄉,土地,新土庫段　1261~1290地號,639.43,,一般農業區,農牧用地,1090114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,750000,1173,,0.0,0,,RPQNMLPLKHPFFBT07CA
