編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPNMLKLKHPFFAT56CC,灰段,.00,都市：住
RPRNMLLKKHPFFCT96CC,南寧段,.00,都市：住
RPUNMLMJLHPFFAT17CC,新屏段,2407.00,都市：工
RPROMLNJLHPFFAT17DC,勝興段,8.69,都市：住
RPUNMLMJLHPFFAT17CC,新屏段,2407.00,都市：工
RPVOMLPJLHPFFAT67CC,明正段,7.06,都市：住
RPVOMLPJLHPFFAT67CC,明正段,8.07,都市：住
RPQOMLLKKHPFFAT76CC,溝美段一小段,89.00,都市：住
RPUNMLOKKHPFFAT37CC,北勢段,.00,都市：住
RPRNMLKLKHPFFAT76CC,灰段,.00,都市：住
RPTPMLLLKHPFFAT27CC,北勢段,.00,都市：住
RPQOMLOJLHPFFCT27CC,八壽段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLQJLHPFFAT67DC,和平段,139.00,都市：住
RPSNMLKMLHPFFET47CC,白砂段,3121.27,非都市：國家公園區 ; 非都市編定：
RPSOMLQKLHPFFAT57CC,溝美段,120.00,都市：住
RPSOMLQKLHPFFAT57CC,溝美段,27.00,都市：住
RPSOMLQKLHPFFAT57CC,溝美段,1.00,都市：住
RPSOMLQKLHPFFAT57CC,溝美段,57.00,都市：住
RPSOMLQKLHPFFAT57CC,溝美段,82.00,都市：住
RPXNMLLKLHPFFAT47CC,萬年段,97.00,都市：住
RPSNMLTJLHPFFBT77CC,中和段,669.87,非都市：工業區 ; 非都市編定：丁種建築用地
RPSNMLTJLHPFFBT77CC,中和段,1526.84,非都市：工業區 ; 非都市編定：丁種建築用地
RPSNMLTJLHPFFBT77CC,中和段,241.34,非都市：工業區 ; 非都市編定：農牧用地
RPWNMLSKLHPFFCT28CC,復興段,.00,都市：住
RPTNMLMKLHPFFAT27DC,新街段二小段,51.60,都市：住
RPTOMLMKLHPFFAT37DC,萬年段,62.00,都市：住
RPUOMLKLLHPFFAT27CC,勝興段,.00,都市：住
RPTNMLQKMHPFFAT67CC,明正段,267.00,都市：其他
RPQOMLKKMHPFFCT07CC,復興段,87.59,都市：住
RPVNMLQKMHPFFAT87CC,明正段,272.00,都市：其他
RPXNMLOKMHPFFAT87CC,林內段,45.58,都市：住
RPVOMLOLMHPFFAT87CC,協華段,190.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOPMLQJMHPFFCT47CC,新豐段,2363.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPWOMLKLMHPFFAT57CC,瑞光段,46.88,都市：住
RPOOMLLLMHPFFAT86CC,林內段,45.58,都市：住
RPTOMLTLMHPFFAT18CC,萬年段,.00,都市：住
RPQNMLOJNHPFFAT17CC,北勢段,99.00,都市：住
RPPOMLPJNHPFFAT27CC,豐田段,.00,都市：住
RPQNMLQJNHPFFAT37CC,大連段,65.00,都市：住
RPROMLQJNHPFFAT57CC,大埔段三小段,23.29,都市：住
RPPNMLRJNHPFFCT57CC,復興段,88.05,都市：住
