鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
吉安鄉,房地(土地+建物),花蓮縣吉安鄉華工六路90巷31~60號,118.97,,工業區,丁種建築用地,1090108,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0940606,144.88,5,2,3,有,無,9300000,64191,,0.0,0,,RPXNMLNKKHPFFAU47CA
花蓮市,房地(土地+建物),花蓮縣花蓮市國民七街31~60號,3.17,商,,,1090107,土地1建物1車位0,九層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0831115,36.29,1,1,1,有,有,1320000,36374,,0.0,0,,RPVOMLNKKHPFFAU37CA
新城鄉,土地,興海段811~840地號,564.09,住,,,1090114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15000000,26592,,0.0,0,,RPTNMLMKKHPFFAU96CA
壽豐鄉,土地,光榮段121~150地號,251.01,,鄉村區,乙種建築用地,1090112,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2800000,11155,,0.0,0,,RPVNMLMKKHPFFAU17CA
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉中山路261巷6弄1~30號,180.01,,特定農業區,甲種建築用地,1090120,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0710514,159.95,3,2,1,有,無,4000000,25008,,0.0,0,受債權債務影響或債務抵償之交易。;,RPOPMLMKKHPFFAU66CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉明仁一街107巷1~30號,90.0,住,,,1090109,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0800628,110.11,3,2,2,有,無,7600000,69022,,0.0,0,含增建,RPSNMLPKKHPFFAU17CA
花蓮市,土地,四維段451~480地號,1507.44,農,,,1081227,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20252000,13435,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTNMLPKKHPFFAU27CA
花蓮市,房地(土地+建物),花蓮縣花蓮市建昌路17巷1~30號,7.55,住,,,1090122,土地1建物1車位0,二層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830804,28.65,1,1,1,有,有,1200000,41885,,0.0,0,,RPQNMLTKKHPFFAU37CA
花蓮市,房地(土地+建物),花蓮縣花蓮市國富五街61~90號,30.45,住,,,1090122,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830506,154.28,3,2,2,有,有,7250000,46992,,0.0,0,,RPSNMLTKKHPFFAU57CA
