編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPNMLLKKHPFFAU66CC,德安段,136.00,都市：住
RPWOMLMKKHPFFAU57CC,明義段,.00,都市：商
RPOOMLNKKHPFFAU86CC,民勤段,42.40,都市：住
RPPOMLNKKHPFFAU96CC,明義段,158.00,都市：住
RPUQMLNKKHPFFAU67CC,富國段,.00,都市：住
RPRNMLOKKHPFFAU17CC,慈勝段,136.88,都市：住
RPWNMLNKKHPFFAU57CC,自強段,34.78,都市：住
RPRQMLNKKHPFFAU37CC,林森段,.00,都市：住
RPTPMLNKKHPFFAU47CC,富國段,3.17,都市：商
RPSQMLNKKHPFFAU47CC,民意段,20.78,都市：住
RPUNMLOKKHPFFAU47CC,裕民段,36.00,都市：住
RPSNMLOKKHPFFAU27CC,富國段,.00,都市：住
RPSOMLRKKHPFFAU67CC,民享段,4.52,都市：商
RPUNMLRKKHPFFAU77CC,林森段,.00,都市：住
RPPOMLPLKHPFFAU27CC,碧雲段,35.88,都市：住
RPVNMLOLKHPFFAU67CC,裕民段,.00,都市：住
RPUOMLRKKHPFFAU87CC,林森段,88.00,都市：住
RPPPMLQLKHPFFAU47CC,富國段,8.31,都市：住
RPOOMLLLKHPFFAU76CC,富國段,5.64,都市：商
RPRNMLRKKHPFFAU57DC,仁義段,.00,都市：住
RPXOMLQLKHPFFAU28DC,民勤段,11.85,都市：住
RPWOMLRLKHPFFAU18CC,民孝段,190.00,都市：住
RPXOMLRLKHPFFAU28CC,莊敬段,67.20,都市：住
RPXNMLOJLHPFFAU77CC,嘉南段,97.00,都市：住
RPQNMLMJLHPFFAU86CC,民勤段,8.33,都市：住
RPQNMLMJLHPFFAU86CC,民勤段,8.26,都市：住
RPQNMLMJLHPFFAU86CC,民勤段,8.24,都市：住
RPVNMLOJLHPFFAU57CC,林森段,2.54,都市：住
RPVNMLOJLHPFFAU57CC,林森段,4.75,都市：住
RPVNMLOJLHPFFAU57CC,林森段,9.34,都市：住
RPWNMLMJLHPFFAU47CC,裕民段,12.40,都市：住
RPWNMLMJLHPFFAU47CC,裕民段,5.80,都市：住
RPWNMLMJLHPFFAU47CC,裕民段,5.80,都市：住
RPROMLPJLHPFFAU37CC,嘉南段,.00,都市：商
RPVNMLMJLHPFFAU37CC,福祥段,22.04,都市：住
RPVNMLMJLHPFFAU37CC,福祥段,1.15,都市：住
RPPNMLLKLHPFFAU76CC,富國段,47.37,都市：商
RPSOMLPJLHPFFAU47CC,樹人段,6.94,都市：住
RPSOMLLKLHPFFAU27DC,明義段,.00,都市：商
RPSOMLLKLHPFFAU27DC,明義段,.00,都市：商
RPSNMLMKLHPFFAU17CC,興海段,1037.02,都市：農
RPVNMLMKLHPFFAU47CC,福安段,76.00,都市：商
RPTNMLMKLHPFFAU27CC,林森段,3.45,都市：住
RPTNMLMKLHPFFAU27CC,林森段,3.45,都市：住
RPTNMLMKLHPFFAU27CC,林森段,12.65,都市：住
RPUOMLMKLHPFFAU47CC,富國段,.00,都市：住
RPOPMLMKLHPFFAU96CC,北濱段,6.43,都市：住
RPRPMLMKLHPFFAU27CC,莊敬段,107.00,都市：住
RPPPMLMKLHPFFAU07CC,民德段,25.60,都市：住
RPTPMLMKLHPFFAU47CC,宜安段,20.87,都市：住
RPSPMLMKLHPFFAU37CC,宜安段,20.06,都市：商
RPVPMLMKLHPFFAU67CC,富國段,15.62,都市：其他
RPXPMLMKLHPFFAU87CC,民勤段,9.43,都市：住
RPTNMLNKLHPFFAU37CC,國股段,449.94,都市：住
RPOQMLMKLHPFFAU07CC,主商段,8.04,都市：商
RPROMLNKLHPFFAU27CC,裕民段,14.22,都市：住
RPUOMLNKLHPFFAU57CC,仁禮段,476.00,都市：其他
RPTOMLNKLHPFFAU47CC,自強段,67.00,都市：商
RPRNMLRKLHPFFAU57CC,富國段,134.00,都市：住
RPVOMLSKLHPFFAU18CC,裕民段,114.00,都市：住
RPUNMLTKLHPFFAU08CC,自強段,5.62,都市：住
RPTNMLSKLHPFFAU87CC,國股段,29.95,都市：住
RPVNMLKLLHPFFAU37CC,裕民段,229.00,都市：住
RPSOMLKLLHPFFAU17CC,自強段,23.00,都市：住
RPOQMLNLLHPFFAU27CC,慈惠段,.00,都市：住
RPOOMLNLLHPFFAU07CC,慈惠段,19.08,都市：住
RPOOMLNLLHPFFAU07CC,慈惠段,10.13,都市：住
RPOOMLNLLHPFFAU07CC,慈惠段,3.69,都市：住
RPQNMLOLLHPFFAU27CC,國風段,147.00,都市：住
RPRNMLOLLHPFFAU37CC,功學段,25.23,都市：住
RPWNMLQLLHPFFAU08CC,民勤段,.00,都市：住
RPVNMLRLLHPFFAU18DC,富國段,.00,都市：住
RPUNMLQLLHPFFAU97DC,明義段,.00,都市：商
RPUNMLQLLHPFFAU97DC,明義段,.00,都市：商
RPSNMLOLLHPFFAU47CC,樹人段,12.83,都市：住
RPSNMLOLLHPFFAU47CC,樹人段,23.62,都市：住
RPXNMLKMLHPFFAU77DC,主商段,97.00,都市：住
RPTNMLOLLHPFFAU57CC,主權段,23.00,都市：住
RPTNMLOLLHPFFAU57CC,主權段,33.00,都市：住
RPTNMLOLLHPFFAU57CC,主權段,16.00,都市：住
RPTPMLKMLHPFFAU47CC,德安段,17.08,都市：住
RPQOMLLMLHPFFAU17CC,自強段,117.00,都市：住
RPTNMLLJMHPFFAU17CC,功學段,18.06,都市：住
RPVNMLLJMHPFFAU37CC,順安段,108.76,都市：住
RPWNMLLJMHPFFAU47CC,順安段,119.32,都市：住
RPWOMLLJMHPFFAU57CC,福祥段,81.00,都市：住
RPTOMLLJMHPFFAU27CC,福祥段,22.04,都市：住
RPTOMLLJMHPFFAU27CC,福祥段,1.15,都市：住
RPOPMLLJMHPFFAU86CC,仁義段,79.00,都市：住
RPTOMLQJMHPFFAU77CC,富國段,26.21,都市：住
RPXOMLLJMHPFFAU67CC,太昌段,91.06,都市：住
RPWOMLQJMHPFFAU08CC,莊敬段,6.36,都市：住
RPOPMLQJMHPFFAU37CC,富國段,16.09,都市：商
RPQPMLQJMHPFFAU57CC,福德段,58.00,都市：農
RPROMLRJMHPFFAU87EC,民德段,60.00,都市：住
RPVNMLSJMHPFFAU08CC,嘉南段,168.00,都市：商
RPVNMLSJMHPFFAU08CC,嘉南段,8.00,都市：商
RPVNMLSJMHPFFAU08CC,嘉南段,6.00,都市：商
RPXNMLQJMHPFFAU18DC,民勤段,8.85,都市：住
RPRNMLTJMHPFFAU77CC,功學段,.00,都市：住
RPXNMLSJMHPFFAU28CC,嘉南段,.00,都市：商
RPOOMLSJMHPFFAU47CC,主商段,.00,都市：住
RPXNMLNKMHPFFAU97DC,民勤段,28.67,都市：住
RPUNMLOKMHPFFAU67CC,富國段,.00,都市：住
RPVNMLOKMHPFFAU77CC,富國段,.00,都市：住
RPSNMLTJMHPFFAU87CC,富國段,.00,都市：住
RPWNMLOKMHPFFAU87CC,富國段,.00,都市：住
RPXNMLOKMHPFFAU97CC,嘉南段,.00,都市：商
RPVOMLKLMHPFFAU57CC,民生段,154.00,都市：商
RPQOMLLLMHPFFAU27DC,富國段,197.00,都市：住
RPROMLRKMHPFFAU77CC,民德段,20.19,都市：住
RPXNMLNLMHPFFAU97CC,自強段,120.00,都市：住
RPQNMLLLMHPFFAU07CC,國風段,21.00,都市：住
RPQNMLLLMHPFFAU07CC,國風段,1.00,都市：住
RPQNMLLLMHPFFAU07CC,國風段,52.00,都市：住
RPRNMLMLMHPFFAU47EC,德安段,392.00,都市：住
RPUNMLKMMHPFFAU47CC,慈濟段,1600.25,都市：農
RPRNMLPKMHPFFAU47CC,富國段,27.43,都市：住
RPVOMLNLMHPFFAU87CC,慈惠段,.00,都市：住
RPXNMLKMMHPFFAU77CC,主權段,43.79,都市：住
RPOOMLKMMHPFFAU96CC,林森段,25.08,都市：住
RPWNMLKMMHPFFAU67CC,明義段,11.91,都市：商
RPQOMLKMMHPFFAU17CC,國風段,54.00,都市：住
RPTNMLPJNHPFFAU67CC,裕民段,18.50,都市：住
RPPOMLKMMHPFFAU07CC,國風段,59.25,都市：住
RPPOMLKMMHPFFAU07CC,國風段,90.50,都市：住
RPPOMLKMMHPFFAU07CC,慈安段,51.00,都市：住
RPRNMLQJNHPFFAU67DC,慈安段,84.00,都市：住
RPVNMLQJNHPFFAU97CC,民享段,13.12,都市：商
RPPOMLPJNHPFFAU37CC,吉興段,72.97,都市：住
