編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVNMLMKKHPFFAV27CA,25,100.22,見其他登記事項,鋼筋混凝土造,84年2月17日,八層,五層
RPVNMLMKKHPFFAV27CA,25,17.65,見其他登記事項,鋼筋混凝土造,84年2月17日,八層,
RPVNMLMKKHPFFAV27CA,25,12.74,見其他登記事項,鋼筋混凝土造,84年2月17日,八層,
RPQNMLMKKHPFFAV76CA,8,214.66,住家用,見其他登記事項,100年9月28日,三層,一層 二層 三層
RPPNMLRLKHPFFAV27CA,24,216.83,見其他登記事項,鋼筋混凝土造,84年12月23日,七層,六層
RPPNMLRLKHPFFAV27CA,24,69.68,見其他登記事項,鋼筋混凝土造,84年12月3日,七層,
RPQNMLPLKHPFFAV17CA,27,29.19,見其他登記事項,鋼筋混凝土造,82年5月22日,十二層,七層
RPQNMLPLKHPFFAV17CA,27,7.49,見其他登記事項,鋼筋混凝土造,82年5月22日,十二層,
RPQNMLPLKHPFFAV17CA,27,3.56,共有部分,鋼筋混凝土造,82年5月22日,十二層,
RPSNMLMKKHPFFAV96CA,13,221.68,住家用,見其他登記事項,95年9月15日,三層,一層 二層 三層
RPQNMLNKKHPFFAV86CA,26,150.53,見其他登記事項,鋼筋混凝土造,83年3月8日,三層,一層 二層 三層
RPQNMLOKKHPFFAV96CA,41,93.92,住家用,加強磚造,67年12月24日,二層,一層 二層
RPOOMLNKKHPFFAV76CA,23,155.09,住家用,鋼筋混凝土造,85年9月10日,三層,一層 二層 三層
RPVNMLOKKHPFFAV47CA,26,18.22,見其他登記事項,鋼筋混凝土造,83年3月2日,五層,三層
RPVNMLOKKHPFFAV47CA,26,8.02,見其他登記事項,鋼筋混凝土造,83年3月2日,五層,
RPQNMLSKKHPFFAV37CA,,179.04,住家用,見其他登記事項,108年9月20日,三層,一層 二層 三層
RPQNMLPJLHPFFAV07CA,,102.64,住家用,見其他登記事項,,一層,一層
RPQNMLTKKHPFFDV77CA,25,34.45,見其他登記事項,鋼筋混凝土造,83年9月30日,八層,四層
RPQNMLTKKHPFFDV77CA,25,7.16,見其他登記事項,鋼筋混凝土造,83年9月30日,八層,
RPPNMLPKKHPFFCV17CA,27,200.00,農舍,見其他登記事項,81年10月6日,一層,一層
RPUNMLTKKHPFFAV87CA,44,47.60,住家用,見其他登記事項,65年3月1日,一層,一層
RPRNMLRKKHPFFAV37CA,2,243.38,見其他登記事項,見其他登記事項,106年12月21日,三層,一層 二層 三層 見其他登記事項
RPPNMLSKKHPFFAV27CA,37,240.32,住家用,鋼筋混凝土造,72年5月2日,四層,一層 二層 三層 四層 騎樓
RPPNMLPKKHPFFAV96CA,37,158.76,住家用,鋼筋混凝土造,72年6月7日,三層,一層 二層 三層 騎樓
RPQNMLRKKHPFFAV27CA,34,190.95,住商用,鋼筋混凝土造,75年1月17日,四層,一層 二層 三層 四層
RPPNMLRKKHPFFBV27CA,19,171.83,住家用,鋼筋混凝土造,89年7月19日,二層,一層 二層 屋頂突出物
RPRNMLKLKHPFFAV76CA,1,230.35,住家用,見其他登記事項,108年4月15日,三層,一層 二層 三層
RPPNMLOLKHPFFAV96CA,,179.04,住家用,見其他登記事項,108年9月20日,三層,一層 二層 三層
RPSNMLRKKHPFFAV47CA,24,47.98,見其他登記事項,鋼筋混凝土造,84年12月11日,三層,
RPSNMLRKKHPFFAV47CA,24,374.39,見其他登記事項,鋼筋混凝土造,84年12月11日,三層,一層 二層 三層 地下層
