編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPTNMLMKKHPFFAV17DA,利家段,151.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPSNMLQLKHPFFAV47CA,澱粉段,107.07,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLOKKHPFFBV96CA,長濱段,115.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLNKKHPFFAV07CA,豐年段,165.77,都市：其他
RPQNMLMKKHPFFCV96CA,水井段,4618.01,非都市：特定農業區 ; 非都市編定：農牧用地
RPVNMLLKKHPFFAV17CA,利家段,2933.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPVNMLMKKHPFFAV27CA,東海段,22.69,都市：住
RPVNMLMKKHPFFAV27CA,東海段,1.46,都市：住
RPUNMLNKKHPFFAV37DA,新園段,97.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLMKKHPFFAV76CA,南清段,109.50,都市：住
RPRNMLLKKHPFFCV07DA,加拿段,403.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLNKKHPFFCV07DA,瑞里段,55.14,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLNKKHPFFCV07DA,瑞里段,6.93,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLRLKHPFFAV27CA,新生段,49.86,都市：住
RPQNMLPLKHPFFAV17CA,台東段,3.87,都市：商
RPXNMLOKKHPFFAV67CA,龍過脈段,1422.50,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPWNMLOKKHPFFAV67DA,利家段,1716.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLRLKHPFFCV57DA,新福段,287.88,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLOKKHPFFAV86CA,建華段,1067.42,都市：住
RPPNMLOKKHPFFAV86CA,建華段,38.19,都市：其他
RPVNMLNKKHPFFAV37CA,豐榮段,89.35,都市：住
RPVNMLNKKHPFFAV37CA,豐榮段,5.63,都市：其他
RPRNMLSKKHPFFAV47CA,台東段,440.00,都市：住
RPSNMLMKKHPFFAV96CA,南清段,125.63,都市：住
RPQNMLNKKHPFFAV86CA,豐里段,101.29,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLNKKHPFFAV86CA,豐里段,11.67,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLRKKHPFFAV57CA,豐源段,12.29,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLRKKHPFFAV57CA,豐源段,153.66,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLRKKHPFFAV57CA,豐源段,191.63,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLOKKHPFFAV96CA,北南王段,92.33,都市：住
RPOOMLNKKHPFFAV76CA,利卡夢段,66.96,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOOMLNKKHPFFAV76CA,利卡夢段,21.23,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLOKKHPFFAV47CA,台東段,7.92,都市：住
RPPNMLTKKHPFFAV37CA,台東段,94.00,都市：住
RPPNMLSKKHPFFDV57CA,北溪段,24.32,都市：商
RPQNMLSKKHPFFAV37CA,南王段,108.26,都市：住
RPPNMLRLKHPFFDV57CA,秀山段,1195.17,都市：農
RPPNMLRLKHPFFDV57CA,秀山段,379.55,都市：農
RPPNMLOKKHPFFCV17DA,瑞和段,882.37,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPQNMLSKKHPFFCV67DA,紅葉段,1811.00,都市：其他
RPQNMLSKKHPFFCV67DA,紅葉段,17.00,都市：住
RPQNMLSKKHPFFCV67DA,紅葉段,33.00,都市：其他
RPQNMLSKKHPFFCV67DA,紅葉段,84.00,都市：住
RPRNMLPKKHPFFBV37DA,北都歷段,1445.83,非都市：風景區 ; 非都市編定：農牧用地
RPPNMLRKKHPFFCV37CA,崁頂段,330.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLRKKHPFFCV37CA,崁頂段,16920.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLPJLHPFFAV07CA,新生段,8.00,都市：住
RPQNMLPJLHPFFAV07CA,新生段,54.00,都市：住
RPQNMLPJLHPFFAV07CA,新生段,392.00,都市：住
RPPNMLPKKHPFFBV07CA,忠仁段,170.19,都市：其他
RPQNMLTKKHPFFDV77CA,秀山段,10.39,都市：其他
RPQNMLTKKHPFFDV77CA,秀山段,.00,都市：其他
RPPNMLPKKHPFFCV17CA,鹿寮段,1665.31,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUNMLTKKHPFFAV87CA,豐航段,73.01,都市：住
RPRNMLRKKHPFFAV37CA,南王段,112.63,都市：住
RPPNMLSKKHPFFAV27CA,台東段,64.50,都市：住
RPPNMLSKKHPFFAV27CA,台東段,1.50,都市：住
RPPNMLPKKHPFFAV96CA,台東段,70.00,都市：住
RPPNMLPKKHPFFAV96CA,台東段,6.00,都市：住
RPQNMLRKKHPFFAV27CA,台東段,56.13,都市：商
RPPNMLLLKHPFFAV66CA,梅園段,255.44,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLRKKHPFFBV27CA,都豐段,358.31,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLKLKHPFFAV76CA,利家段,267.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLSKKHPFFAV67CA,富岡段,174.48,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLKLKHPFFBV76CA,大濱段宜灣小段,4630.00,非都市：風景區 ; 非都市編定：農牧用地
RPQNMLKLKHPFFBV76CA,大濱段宜灣小段,2880.00,非都市：風景區 ; 非都市編定：農牧用地
RPPNMLOJLHPFFCV07CA,大同段,60.55,都市：住
RPPNMLOLKHPFFAV96CA,南王段,111.86,都市：住
RPSNMLRKKHPFFAV47CA,豐年段,34.02,都市：農
RPSNMLRKKHPFFAV47CA,豐年段,129.51,都市：農
RPSNMLRKKHPFFAV47CA,豐年段,8.78,都市：農
RPPNMLTKKHPFFDV67CA,北太麻里段,7050.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPVNMLSKKHPFFAV87CA,利家段,3063.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLSKKHPFFAV57CA,馬蘭段,100.00,都市：住
RPSNMLSKKHPFFCV87DA,萬福段,3013.28,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLSKKHPFFCV77DA,水源段,4449.47,非都市：一般農業區 ; 非都市編定：農牧用地
RPUNMLSKKHPFFAV77CA,中山段,45.00,都市：住
RPUNMLSKKHPFFAV77CA,中山段,3.00,都市：住
RPSNMLTKKHPFFAV67CA,石川段,2500.87,非都市：風景區 ; 非都市編定：農牧用地
RPPNMLMLKHPFFAV76CA,建和段,2804.42,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLKLKHPFFDV96CA,秀山段,10.39,都市：其他
RPQNMLKLKHPFFDV96CA,秀山段,.00,都市：其他
RPTNMLTKKHPFFAV77CA,大豐段,2500.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLTKKHPFFAV77CA,大豐段,4825.62,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLOLKHPFFAV37CA,新田段,87.40,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLOLKHPFFAV27CA,新田段,86.04,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLTKKHPFFAV47CA,南清段,144.79,都市：住
RPWNMLTKKHPFFAV08CA,台東段,18.00,都市：住
RPWNMLTKKHPFFAV08CA,台東段,61.00,都市：住
RPPNMLKLKHPFFAV56CA,北南王段,179.46,都市：住
RPPNMLKLKHPFFDV96DA,荒野段,161.31,非都市：一般農業區 ; 非都市編定：水利用地
RPPNMLKLKHPFFDV96DA,荒野段,1127.16,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLKLKHPFFDV96DA,荒野段,154.22,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLPLKHPFFAV27CA,豐年段,22.46,都市：住
RPQNMLRKLHPFFAV37CA,上岩灣段,81.96,都市：住
RPQNMLKLKHPFFCV96DA,永陵段,7410.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLNKLHPFFDV17CA,正興段,164.89,都市：住
RPWNMLOLKHPFFAV67CA,台東段,150.00,都市：住
RPPNMLKLKHPFFCV76CA,豐泉段,694.43,都市：住
RPPNMLKLKHPFFCV76CA,豐泉段,1.87,都市：其他
RPPNMLKLKHPFFCV76CA,豐泉段,15.74,都市：住
RPPNMLKLKHPFFCV76CA,豐泉段,3.94,都市：住
RPUNMLOLKHPFFAV47CA,台東段,159.00,都市：住
RPQNMLKLKHPFFAV66CA,新生段,150.50,都市：住
RPQNMLKLKHPFFAV66CA,新生段,181.00,都市：住
RPPNMLQLKHPFFAV27DA,大南段,8770.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLOLKHPFFAV17CA,南清段,114.38,都市：住
RPQNMLLLKHPFFAV76CA,青林段,136.70,都市：住
RPXNMLOLKHPFFAV77CA,台東段,69.00,都市：住
RPSNMLLKLHPFFAV96CA,台東段,.59,都市：農
RPSNMLLKLHPFFAV96CA,台東段,.00,都市：農
RPTNMLPJLHPFFAV37CA,建康段,93.61,都市：其他
RPUNMLPLKHPFFAV57CA,台東段,3.28,都市：商
RPQNMLRLKHPFFAV37CA,台東段,4.50,都市：商
RPVNMLOLKHPFFAV57CA,利家段,111.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
