編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQNMLMKKHPFFAW86CA,盤山村段,150.00,都市：其他
RPUNMLLKKHPFFAW17CA,庵前劃測段,493.64,都市：其他
RPRNMLMKKHPFFAW96CA,北二三劃測段,323.79,都市：農
RPRNMLMKKHPFFAW96CA,北二三劃測段,36.21,都市：其他
RPSNMLMKKHPFFAW17DA,寧安二劃段,135.35,都市：其他
RPSNMLTKKHPFFAW77CA,北二三劃測段,107.03,都市：住
RPWNMLNKKHPFFAW57CA,吳厝村測段,48.71,都市：其他
RPOOMLNKKHPFFAW86CA,吳厝村測段,48.71,都市：其他
RPQNMLNJLHPFFAW07DA,榮湖段,496.13,都市：其他
RPQNMLNJLHPFFAW07DA,榮湖段,1584.27,都市：農
RPPNMLRKKHPFFAW27CA,寧湖一劃段,6.67,都市：農
RPPNMLRKKHPFFAW27CA,寧湖一劃段,33.80,都市：農
RPPNMLRKKHPFFAW27CA,寧湖一劃段,126.00,都市：農
RPPNMLRKKHPFFAW27CA,舊金城段,508.02,都市：農
RPPNMLRKKHPFFAW27CA,大山段,622.00,都市：農
RPPNMLRKKHPFFAW27CA,陽宅段,20.00,都市：農
RPPOMLNKKHPFFAW96CA,吳厝村測段,48.71,都市：其他
RPQNMLTKKHPFFAW67DA,寧湖一劃段,500.01,都市：農
RPXNMLNKKHPFFAW67CA,吳厝村測段,48.71,都市：其他
RPQNMLRKKHPFFAW37CA,士校段,216.00,都市：其他
RPPNMLLLKHPFFAW76CA,山外段,171.30,都市：其他
RPPNMLLLKHPFFAW76CA,山外段,107.20,都市：其他
RPTNMLRLKHPFFAW77CA,后豐港段,470.80,都市：農
RPTNMLRLKHPFFAW77CA,延平段,347.38,都市：農
RPTNMLRLKHPFFAW77CA,延平段,394.20,都市：農
RPTNMLRLKHPFFAW77CA,延平段,394.12,都市：農
RPTNMLRLKHPFFAW77CA,延平段,349.12,都市：農
RPTNMLRLKHPFFAW77CA,延平段,393.98,都市：農
RPTNMLRLKHPFFAW77CA,延平段,393.21,都市：農
RPTNMLRLKHPFFAW77CA,延平段,393.21,都市：農
RPTNMLRLKHPFFAW77CA,延平段,393.15,都市：農
RPTNMLRLKHPFFAW77CA,延平段,335.32,都市：農
RPTNMLRLKHPFFAW77CA,延平段,232.23,都市：農
RPTNMLRLKHPFFAW77CA,延平段,305.13,都市：農
RPTNMLRLKHPFFAW77CA,延平段,282.80,都市：農
RPTNMLRLKHPFFAW77CA,延平段,358.74,都市：農
RPTNMLRLKHPFFAW77CA,延平段,367.82,都市：農
RPTNMLRLKHPFFAW77CA,延平段,382.64,都市：農
RPTNMLRLKHPFFAW77CA,延平段,179.36,都市：農
RPTNMLRLKHPFFAW77CA,延平段,199.64,都市：農
RPTNMLRLKHPFFAW77CA,延平段,441.71,都市：農
RPTNMLRLKHPFFAW77CA,延平段,394.13,都市：農
RPTNMLRLKHPFFAW77CA,延平段,311.05,都市：農
RPTNMLRLKHPFFAW77CA,洪門港測段,236.17,都市：農
