編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPNMLQJLHPFFAZ57DA,介壽段,64.96,都市：商
RPPNMLOKKHPFFAZ37DA,珠螺段,92.14,都市：其他
RPPNMLSJMHPFFAZ87DA,后沃段,28.52,都市：住
RPPNMLRJMHPFFAZ77DA,塘岐段,145.05,都市：住
RPPNMLOKNHPFFAZ67DA,后沃段,31.34,都市：住
RPQNMLSJMHPFFAZ97DA,后沃段,28.52,都市：住
RPPNMLPJNHPFFAZ67DA,介壽段,6.10,都市：其他
RPPNMLKLKHPFFAZ07DA,珠螺段,36.49,都市：其他
RPPNMLOKMHPFFAZ57DA,清水段,3.48,都市：其他
RPPNMLOKMHPFFAZ57DA,清水段,1.75,都市：其他
RPPNMLOKMHPFFAZ57DA,清水段,1.44,都市：其他
RPPNMLMLMHPFFAZ47DA,東引西段,87.18,都市：商
RPQNMLOKNHPFFAZ77DA,東引西段,15.18,都市：商
RPPNMLNLMHPFFAZ57DA,清水段,6.76,都市：住
RPPNMLTLMHPFFAZ18DA,東引西段,62.41,都市：住
RPPNMLTLMHPFFAZ18DA,東引西段,21.35,都市：住
RPPNMLTLMHPFFAZ18DA,東引西段,23.80,都市：住
