編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSPMLTJOHPFFAA68CA,40,30.16,住家用,鋼筋混凝土造,69年2月1日,五層,五層
RPWNMLNKNHPFFAA28CA,29,112.84,住家用,鋼筋混凝土造,79年11月27日,六層,四層
RPWNMLNKNHPFFAA28CA,29,10.82,共有部分,鋼筋混凝土造,79年11月27日,六層,
RPSNMLMKNHPFFBA87CA,49,90.69,住家用,鋼筋混凝土造,60年6月3日,四層,陽台 二層
RPQNMLMKNHPFFBA67CA,7,90.26,住家用,鋼筋混凝土造,102年8月26日,十三層,四層
RPQNMLMKNHPFFBA67CA,7,35.01,見其他登記事項,鋼筋混凝土造,102年8月26日,十三層,
RPQNMLMKNHPFFBA67CA,7,21.20,見其他登記事項,鋼筋混凝土造,102年8月26日,十三層,
RPSNMLNKNHPFFBA97CA,45,38.04,住家用,鋼筋混凝土造,64年4月28日,四層,三層
RPOQMLQJPHPFFAA18CA,10,47.44,住家用,鋼筋混凝土造,98年12月2日,十二層,十二層
RPOQMLQJPHPFFAA18CA,10,.13,住家用,鋼筋混凝土造,98年12月2日,十三層,十三層
RPOQMLQJPHPFFAA18CA,10,13.46,見其他登記事項,鋼筋混凝土造,98年12月2日,十三層,
RPOQMLQJPHPFFAA18CA,10,8.89,見其他登記事項,鋼筋混凝土造,98年12月2日,十二層,
RPOQMLQJPHPFFAA18CA,10,.04,見其他登記事項,鋼筋混凝土造,98年12月2日,十三層,
RPOQMLQJPHPFFAA18CA,10,36.41,見其他登記事項,鋼筋混凝土造,98年12月2日,十三層,
RPWNMLOKNHPFFBA48CA,13,126.79,見其他登記事項,鋼筋混凝土造,96年2月15日,十三層,一層 騎樓
RPWNMLOKNHPFFBA48CA,13,17.27,共有部分,鋼筋混凝土造,96年2月15日,十三層,
RPPOMLMKNHPFFAA57CA,12,24.79,住家用,見其他登記事項,97年5月13日,十四層,九層
RPPOMLMKNHPFFAA57CA,12,4.11,共有部分,見其他登記事項,97年5月13日,十四層,
RPPOMLMKNHPFFAA57CA,12,9.28,共有部分,見其他登記事項,97年5月13日,十四層,
RPPNMLNKNHPFFBA67CA,47,66.64,住家用,鋼筋混凝土造,62年5月28日,四層,二層
RPPPMLMKNHPFFAA67CA,24,28.16,住家用,鋼筋混凝土造,85年5月3日,六層,三層
RPPPMLMKNHPFFAA67CA,24,9.15,見使用執照,鋼筋混凝土造,85年5月3日,六層,
RPSPMLMKNHPFFAA97CA,9,91.71,住家用,鋼筋混凝土造,100年2月14日,十九層,六層
RPSPMLMKNHPFFAA97CA,9,21.85,見其他登記事項,見其他登記事項,100年2月14日,十九層,
RPSPMLMKNHPFFAA97CA,9,17.59,見其他登記事項,鋼骨鋼筋混凝土造,100年2月14日,十九層,
RPVOMLMKNHPFFAA18CA,7,.07,見其他登記事項,鋼筋混凝土造,102年1月3日,十五層,一層
RPVOMLMKNHPFFAA18CA,7,40.70,見其他登記事項,鋼筋混凝土造,102年1月3日,十五層,
RPVOMLMKNHPFFAA18CA,7,131.56,住家用,鋼筋混凝土造,102年1月3日,十五層,四層
RPVOMLMKNHPFFAA18CA,7,16.34,見其他登記事項,鋼筋混凝土造,102年1月3日,十五層,
RPVOMLMKNHPFFAA18CA,7,13.19,見其他登記事項,鋼筋混凝土造,102年1月3日,十五層,
RPVOMLMKNHPFFAA18CA,7,28.04,見其他登記事項,鋼筋混凝土造,102年1月3日,十五層,
RPPNMLLJOHPFFBA47CA,44,97.96,住家用,鋼筋混凝土造,64年12月8日,四層,四層
RPTOMLMKNHPFFBA08CA,52,72.96,,加強磚造,57年3月28日,三層,三層
RPQOMLTLNHPFFBA58CA,32,139.18,住家用,鋼筋混凝土造,77年5月2日,五層,五層
RPQOMLTLNHPFFBA58CA,32,44.96,共有部分,鋼筋混凝土造,77年5月2日,五層,
RPTOMLLLNHPFFBA08CA,3,79.15,住家用,鋼筋混凝土造,106年3月2日,十三層,九層
RPTOMLLLNHPFFBA08CA,3,49.11,見其他登記事項,鋼筋混凝土造,106年3月2日,十三層,
RPTOMLLLNHPFFBA08CA,3,3.49,見其他登記事項,鋼筋混凝土造,106年3月2日,十三層,
RPTOMLLLNHPFFBA08CA,3,21.57,見其他登記事項,鋼筋混凝土造,106年3月2日,十三層,
RPPNMLPJOHPFFBA87CA,,48.71,住家用,鋼筋混凝土造,109年2月20日,九層,九層
RPPNMLPJOHPFFBA87CA,,29.56,見其他登記事項,鋼筋混凝土造,109年2月20日,九層,
RPPNMLPJOHPFFBA87CA,,15.75,見其他登記事項,鋼筋混凝土造,109年2月20日,九層,
RPQNMLQLNHPFFAA08CA,38,115.22,住家用,鋼筋混凝土造,71年10月16日,五層,五層
RPQNMLQLNHPFFAA08CA,38,9.03,共有部分,鋼筋混凝土造,71年10月16日,五層,
RPQOMLMJOHPFFBA77CA,,50.33,住家用,鋼筋混凝土造,109年2月20日,九層,六層
RPQOMLMJOHPFFBA77CA,,30.07,見其他登記事項,鋼筋混凝土造,109年2月20日,九層,
RPQOMLMJOHPFFBA77CA,,15.75,見其他登記事項,鋼筋混凝土造,109年2月20日,九層,
RPROMLMJOHPFFBA87CA,,48.76,住家用,鋼筋混凝土造,109年2月20日,九層,六層
RPROMLMJOHPFFBA87CA,,29.56,見其他登記事項,鋼筋混凝土造,109年2月20日,九層,
RPROMLMJOHPFFBA87CA,,15.75,見其他登記事項,鋼筋混凝土造,109年2月20日,九層,
RPWQMLLKNHPFFCA58CA,15,28.09,住家用,鋼筋混凝土造,94年8月26日,十四層,二層
RPWQMLLKNHPFFCA58CA,15,2.76,共有部分,鋼筋混凝土造,94年8月26日,十四層,
RPWQMLLKNHPFFCA58CA,15,14.16,共有部分,鋼筋混凝土造,94年8月26日,十四層,
RPWPMLLKNHPFFCA48CA,17,27.82,商業用,鋼筋混凝土造,92年1月22日,十四層,十三層
RPWPMLLKNHPFFCA48CA,17,15.27,共有部分,鋼筋混凝土造,92年1月22日,十四層,
RPWPMLLKNHPFFCA48CA,17,1.85,共有部分,鋼筋混凝土造,92年1月22日,十四層,
RPTQMLLKNHPFFCA28CA,15,24.74,商業用,鋼筋混凝土造,94年8月26日,十四層,十層
RPTQMLLKNHPFFCA28CA,15,12.45,共有部分,鋼筋混凝土造,94年8月26日,十四層,
RPTQMLLKNHPFFCA28CA,15,1.38,共有部分,鋼筋混凝土造,94年8月26日,十四層,
RPSNMLMKNHPFFCA97CA,24,71.50,住家用,鋼筋混凝土造,85年5月17日,七層,七層
RPSNMLMKNHPFFCA97CA,24,43.17,共有部分,鋼筋混凝土造,85年5月17日,七層,
RPSNMLMKNHPFFCA97CA,24,22.03,共有部分,鋼筋混凝土造,85年5月17日,七層,
RPSNMLMKNHPFFCA97CA,24,5.60,共有部分,鋼筋混凝土造,85年5月17日,七層,
RPSNMLMKNHPFFCA97CA,24,5.63,共有部分,鋼筋混凝土造,85年5月17日,七層,
RPSNMLOKNHPFFAA97CA,32,50.10,見使用執照,鋼筋混凝土造,77年2月12日,七層,三層
RPSNMLOKNHPFFAA97CA,32,7.07,共有部分,鋼筋混凝土造,77年2月12日,七層,
RPSNMLOKNHPFFAA97CA,,5.69,共有部分,鋼筋混凝土造,,七層,
RPWNMLMKNHPFFCA38CA,8,52.14,住家用,鋼筋混凝土造,101年4月26日,七層,二層
RPPOMLMKNHPFFCA77CA,42,85.77,住家用,鋼筋混凝土造,66年12月1日,四層,三層
RPWNMLMKNHPFFCA38CA,8,8.89,見其他登記事項,鋼筋混凝土造,101年4月26日,七層,
RPWNMLMKNHPFFCA38CA,8,6.27,見其他登記事項,鋼筋混凝土造,101年4月26日,七層,
RPWNMLMKNHPFFCA38CA,8,3.64,見其他登記事項,鋼筋混凝土造,101年4月26日,七層,
RPVNMLMKNHPFFCA28CA,14,28.74,商業用,鋼筋混凝土造,94年10月25日,十層,八層
RPVNMLMKNHPFFCA28CA,14,1.81,共有部分,鋼筋混凝土造,94年10月25日,十三層,
RPVNMLMKNHPFFCA28CA,14,10.74,共有部分,鋼筋混凝土造,94年10月25日,十層,
RPVNMLMKNHPFFCA28CA,14,4.44,共有部分,鋼筋混凝土造,94年10月25日,十三層,
RPXNMLMKNHPFFCA48CA,12,83.10,住家用,鋼筋混凝土造,97年3月31日,十四層,九層
RPXNMLMKNHPFFCA48CA,12,80.08,共有部分,鋼筋混凝土造,97年3月31日,十五層,
RPQPMLMKNHPFFCA97CA,22,39.83,商業用,鋼筋混凝土造,86年12月3日,十層,四層
RPQPMLMKNHPFFCA97CA,22,7.69,共有部分,鋼筋混凝土造,86年12月3日,十層,
RPQPMLMKNHPFFCA97CA,22,9.66,共有部分,鋼筋混凝土造,86年12月3日,十層,
RPQRMLOKNHPFFCA38CA,31,169.66,住家用,鋼筋混凝土造,77年12月23日,四層,一層 二層 三層 四層
RPQRMLOKNHPFFCA38CA,31,2.46,共有部分,鋼筋混凝土造,77年12月23日,五層,
RPQRMLOKNHPFFCA38CA,31,65.31,見使用執照,鋼筋混凝土造,77年12月23日,四層,地下層
RPVPMLMKNHPFFCA48CA,35,40.47,見其他登記事項,鋼筋混凝土造,74年7月16日,十二層,地下層
RPVPMLMKNHPFFCA48CA,35,2.47,共有部分,鋼筋混凝土造,74年7月16日,十二層,
RPVPMLMKNHPFFCA48CA,35,84.79,商業用,鋼筋混凝土造,74年7月16日,十二層,二層
RPVPMLMKNHPFFCA48CA,35,19.70,共有部分,鋼筋混凝土造,74年7月16日,十二層,
RPSOMLSLNHPFFCA78CA,9,81.27,住家用,鋼筋混凝土造,100年7月26日,十三層,五層
RPSOMLSLNHPFFCA78CA,9,1.04,見其他登記事項,鋼筋混凝土造,100年7月26日,十三層,一層 騎樓
RPSOMLSLNHPFFCA78CA,9,.00,見其他登記事項,鋼筋混凝土造,100年7月26日,十三層,
RPSOMLSLNHPFFCA78CA,9,18.12,見其他登記事項,鋼筋混凝土造,100年7月26日,十三層,
RPSOMLSLNHPFFCA78CA,9,39.18,見其他登記事項,鋼筋混凝土造,100年7月26日,十三層,
RPSOMLSLNHPFFCA78CA,9,21.37,見其他登記事項,鋼筋混凝土造,100年7月26日,十三層,
RPROMLTKNHPFFCA68CA,37,25.23,住家用,鋼筋混凝土造,71年12月24日,十二層,八層
