編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQOMLLKNHPFFAA67CB,政大段四小段,14.52,都市：住,持分移轉
RPQOMLLKNHPFFAA67CB,政大段四小段,8.86,都市：住,持分移轉
RPUOMLLKNHPFFAA08CB,政大段四小段,22.57,都市：住,持分移轉
RPUOMLLKNHPFFAA08CB,政大段四小段,13.77,都市：住,持分移轉
RPOPMLLKNHPFFAA57CB,政大段四小段,14.52,都市：住,持分移轉
RPOPMLLKNHPFFAA57CB,政大段四小段,8.86,都市：住,持分移轉
RPSOMLLKNHPFFAA87CB,政大段四小段,14.39,都市：住,持分移轉
RPSOMLLKNHPFFAA87CB,政大段四小段,8.78,都市：住,持分移轉
RPXOMLLKNHPFFAA38CB,政大段四小段,21.78,都市：住,持分移轉
RPXOMLLKNHPFFAA38CB,政大段四小段,13.29,都市：住,持分移轉
RPPPMLLKNHPFFAA67CB,政大段四小段,21.91,都市：住,持分移轉
RPPPMLLKNHPFFAA67CB,政大段四小段,13.37,都市：住,持分移轉
RPROMLLKNHPFFAA77CB,政大段四小段,26.66,都市：住,持分移轉
RPROMLLKNHPFFAA77CB,政大段四小段,16.27,都市：住,持分移轉
RPWOMLLKNHPFFAA28CB,政大段四小段,14.39,都市：住,持分移轉
RPWOMLLKNHPFFAA28CB,政大段四小段,8.78,都市：住,持分移轉
RPVOMLLKNHPFFAA18CB,政大段四小段,19.27,都市：住,持分移轉
RPVOMLLKNHPFFAA18CB,政大段四小段,11.76,都市：住,持分移轉
RPQPMLLKNHPFFAA77CB,政大段四小段,14.52,都市：住,持分移轉
RPQPMLLKNHPFFAA77CB,政大段四小段,8.86,都市：住,持分移轉
RPRPMLLKNHPFFAA87CB,政大段四小段,14.52,都市：住,持分移轉
RPRPMLLKNHPFFAA87CB,政大段四小段,8.86,都市：住,持分移轉
RPTPMLLKNHPFFAA08CB,政大段四小段,23.89,都市：住,持分移轉
