編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPWRMLLKNHPFFCA88CC,北安段一小段,.00,都市：住,全筆移轉
RPPSMLLKNHPFFCA28CC,榮星段六小段,.00,都市：住,全筆移轉
RPUQMLLKNHPFFCA58CC,德惠段四小段,.00,都市：商,全筆移轉
RPUOMLLKNHPFFCA38CC,中山段三小段,.00,都市：商,全筆移轉
RPSQMLLKNHPFFCA38CC,中山段三小段,.00,都市：商,全筆移轉
RPVOMLLKNHPFFCA48CC,長安段一小段,.00,都市：住,全筆移轉
RPVPMLLKNHPFFCA58CC,榮星段三小段,.00,都市：商,全筆移轉
RPPNMLLKNHPFFCA77CC,吉林段五小段,.00,都市：商,全筆移轉
RPWOMLLKNHPFFCA58CC,榮星段四小段,.00,都市：商,全筆移轉
RPVNMLLKNHPFFBA28CC,迪化段三小段,.00,都市：其他:特定專用區(供特定住宅使用),全筆移轉
RPVNMLLKNHPFFBA28CC,迪化段三小段,.00,都市：其他:特定專用區(供特定住宅使用),全筆移轉
RPUOMLLKNHPFFBA28CC,城中段三小段,.00,都市：商,全筆移轉
RPTOMLLKNHPFFBA18CC,城中段三小段,.00,都市：商,全筆移轉
RPWNMLLKNHPFFBA38CC,文昌段一小段,.00,都市：住,全筆移轉
RPWNMLLKNHPFFBA38CC,文昌段一小段,.00,都市：住,全筆移轉
RPQOMLLKNHPFFBA87CC,臨沂段一小段,.00,都市：商,全筆移轉
RPQOMLLKNHPFFBA87CC,臨沂段一小段,.00,都市：商,全筆移轉
RPPOMLLKNHPFFBA77CC,城中段三小段,.00,都市：商,全筆移轉
RPUOMLLKNHPFFDA48CC,民生段,.00,都市：住,全筆移轉
RPXNMLLKNHPFFDA68CC,經貿段,.00,都市：住,全筆移轉
RPRPMLLKNHPFFDA28CC,寶清段五小段,.00,都市：商,全筆移轉
RPVNMLLKNHPFFDA48CC,祥和段三小段,.00,都市：住,全筆移轉
RPQOMLLKNHPFFDA08CC,敦化段一小段,.00,都市：其他:敦化南北路特定專用區,全筆移轉
RPUPMLLKNHPFFDA58CC,延吉段一小段,.00,都市：住,全筆移轉
RPPPMLLKNHPFFDA08CC,敦化段一小段,.00,都市：商,全筆移轉
