編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPOOMLPKNHPFFFB48CB,市鎮北段,14.61,都市：商,持分移轉
RPPOMLPKNHPFFFB58CB,市鎮北段,14.61,都市：商,持分移轉
RPROMLOKNHPFFFB68CB,市鎮北段,14.61,都市：商,持分移轉
RPSOMLOKNHPFFFB78CB,市鎮北段,14.61,都市：商,持分移轉
RPUNMLPKNHPFFFB98CB,市鎮北段,14.61,都市：商,持分移轉
RPWNMLPKNHPFFFB56CB,市鎮北段,14.61,都市：商,持分移轉
RPVNMLPKNHPFFFB09CB,市鎮北段,14.61,都市：商,持分移轉
RPPOMLOKNHPFFFB48CB,市鎮北段,14.61,都市：商,持分移轉
RPOOMLOKNHPFFFB38CB,市鎮北段,14.61,都市：商,持分移轉
RPQOMLOKNHPFFFB58CB,市鎮北段,14.61,都市：商,持分移轉
RPSOMLPKNHPFFFB88CB,市鎮北段,14.61,都市：商,持分移轉
RPUOMLPKNHPFFFB09CB,市鎮北段,14.61,都市：商,持分移轉
RPROMLPKNHPFFFB78CB,市鎮北段,14.87,都市：商,持分移轉
RPQOMLPKNHPFFFB68CB,市鎮北段,14.61,都市：商,持分移轉
RPTOMLLLNHPFFFB68CB,市鎮北段,14.35,都市：商,持分移轉
RPXOMLLLNHPFFFB09CB,市鎮北段,14.61,都市：商,持分移轉
RPWNMLMLNHPFFFB98CB,市鎮北段,15.12,都市：商,持分移轉
RPVOMLLLNHPFFFB88CB,市鎮北段,14.35,都市：商,持分移轉
RPSPMLLLNHPFFFB68CB,市鎮北段,15.12,都市：商,持分移轉
RPOPMLLLNHPFFFB28CB,市鎮北段,15.12,都市：商,持分移轉
RPQPMLLLNHPFFFB48CB,市鎮北段,15.12,都市：商,持分移轉
RPWOMLLLNHPFFFB98CB,市鎮北段,14.61,都市：商,持分移轉
RPPPMLLLNHPFFFB38CB,市鎮北段,15.12,都市：商,持分移轉
RPXNMLMLNHPFFFB09CB,市鎮北段,15.12,都市：商,持分移轉
RPOOMLMLNHPFFFB28CB,市鎮北段,15.12,都市：商,持分移轉
RPQOMLMLNHPFFFB48CB,市鎮北段,14.87,都市：商,持分移轉
RPPOMLMLNHPFFFB38CB,市鎮北段,15.12,都市：商,持分移轉
RPTOMLMLNHPFFFB78CB,市鎮北段,14.10,都市：商,持分移轉
RPSOMLMLNHPFFFB68CB,市鎮北段,15.12,都市：商,持分移轉
RPROMLMLNHPFFFB58CB,市鎮北段,15.12,都市：商,持分移轉
RPUOMLMLNHPFFFB88CB,市鎮北段,15.12,都市：商,持分移轉
RPVOMLMLNHPFFFB98CB,市鎮北段,11.02,都市：商,持分移轉
RPVNMLMLNHPFFJB66CB,新光段,23.39,都市：住,持分移轉
RPWNMLMLNHPFFJB76CB,新光段,22.61,都市：住,持分移轉
RPRPMLLLNHPFFFB58CB,市鎮北段,15.12,都市：商,持分移轉
RPVPMLMLNHPFFFB09CB,市鎮北段,11.02,都市：商,持分移轉
RPUPMLMLNHPFFFB98CB,市鎮北段,11.02,都市：商,持分移轉
RPRPMLMLNHPFFFB68CB,市鎮北段,10.76,都市：商,持分移轉
RPSPMLMLNHPFFFB78CB,市鎮北段,14.10,都市：商,持分移轉
RPTPMLMLNHPFFFB88CB,市鎮北段,11.02,都市：商,持分移轉
RPXNMLMLNHPFFJB86CB,新光段,23.08,都市：住,持分移轉
RPPPMLMLNHPFFFB48CB,市鎮北段,11.02,都市：商,持分移轉
RPXOMLMLNHPFFFB56CB,市鎮北段,11.02,都市：商,持分移轉
RPWPMLMLNHPFFFB56CB,市鎮北段,11.02,都市：商,持分移轉
RPSNMLNLNHPFFJB09CB,新光段,23.39,都市：住,持分移轉
RPWNMLNLNHPFFJB86CB,新光段,17.14,都市：住,持分移轉
RPQOMLMLNHPFFJB88CB,新光段,22.73,都市：住,持分移轉
RPVNMLNLNHPFFJB76CB,新光段,23.55,都市：住,持分移轉
RPUNMLNLNHPFFJB66CB,新光段,23.08,都市：住,持分移轉
RPTNMLNLNHPFFJB56CB,新光段,23.58,都市：住,持分移轉
RPXNMLNLNHPFFJB96CB,新光段,22.73,都市：住,持分移轉
RPVNMLSLNHPFFJB27CB,新光段,22.73,都市：住,持分移轉
RPWNMLSLNHPFFJB37CB,新光段,23.39,都市：住,持分移轉
RPOOMLSLNHPFFJB66CB,新光段,23.08,都市：住,持分移轉
RPPOMLSLNHPFFJB76CB,新光段,23.58,都市：住,持分移轉
RPTOMLSLNHPFFJB17CB,新光段,22.73,都市：住,持分移轉
RPSOMLSLNHPFFJB07CB,新光段,23.55,都市：住,持分移轉
RPROMLSLNHPFFJB96CB,新光段,22.08,都市：住,持分移轉
RPUOMLSLNHPFFJB27CB,新光段,23.39,都市：住,持分移轉
RPVOMLSLNHPFFJB37CB,新光段,22.61,都市：住,持分移轉
RPWOMLSLNHPFFJB47CB,新光段,23.08,都市：住,持分移轉
RPXOMLSLNHPFFJB57CB,新光段,23.55,都市：住,持分移轉
RPTPMLSLNHPFFJB27CB,新光段,22.08,都市：住,持分移轉
RPWPMLSLNHPFFJB57CB,新光段,23.58,都市：住,持分移轉
RPUPMLSLNHPFFJB37CB,新光段,22.73,都市：住,持分移轉
RPVPMLSLNHPFFJB47CB,新光段,23.39,都市：住,持分移轉
RPXPMLSLNHPFFJB67CB,新光段,23.08,都市：住,持分移轉
RPQQMLSLNHPFFJB07CB,新光段,28.49,都市：住,持分移轉
RPPQMLSLNHPFFJB96CB,新光段,27.02,都市：住,持分移轉
RPRQMLSLNHPFFJB17CB,新光段,22.73,都市：住,持分移轉
RPSQMLSLNHPFFJB27CB,新光段,23.39,都市：住,持分移轉
RPTQMLSLNHPFFJB37CB,新光段,22.61,都市：住,持分移轉
RPQNMLTLNHPFFJB86CB,新光段,23.55,都市：住,持分移轉
RPUQMLSLNHPFFJB47CB,新光段,28.02,都市：住,持分移轉
RPSNMLTLNHPFFJB07CB,新光段,17.14,都市：住,持分移轉
RPTNMLTLNHPFFJB17CB,新光段,22.73,都市：住,持分移轉
RPUNMLTLNHPFFJB27CB,新光段,23.39,都市：住,持分移轉
RPVNMLTLNHPFFJB37CB,新光段,22.61,都市：住,持分移轉
RPXOMLRLNHPFFFB07CB,市鎮北段,11.28,都市：商,持分移轉
RPVOMLRLNHPFFFB86CB,市鎮北段,11.28,都市：商,持分移轉
RPQOMLRLNHPFFFB98CB,市鎮北段,11.02,都市：商,持分移轉
RPXNMLTLNHPFFJB57CB,新光段,23.08,都市：住,持分移轉
RPTNMLRLNHPFFFB56CB,市鎮北段,11.02,都市：商,持分移轉
RPUOMLRLNHPFFFB76CB,市鎮北段,11.28,都市：商,持分移轉
RPTOMLRLNHPFFFB66CB,市鎮北段,11.28,都市：商,持分移轉
RPQOMLTLNHPFFJB96CB,新光段,22.73,都市：住,持分移轉
RPPOMLTLNHPFFJB86CB,新光段,22.08,都市：住,持分移轉
RPOOMLTLNHPFFJB76CB,新光段,28.49,都市：住,持分移轉
RPROMLTLNHPFFJB07CB,新光段,23.39,都市：住,持分移轉
RPSOMLTLNHPFFJB17CB,新光段,18.64,都市：住,持分移轉
RPXOMLTLNHPFFJB67CB,新光段,23.39,都市：住,持分移轉
RPTOMLTLNHPFFJB27CB,新光段,23.08,都市：住,持分移轉
RPOPMLTLNHPFFJB86CB,新光段,22.61,都市：住,持分移轉
RPWOMLTLNHPFFJB57CB,新光段,22.73,都市：住,持分移轉
RPPPMLTLNHPFFJB96CB,新光段,18.14,都市：住,持分移轉
RPQPMLTLNHPFFJB07CB,新光段,23.55,都市：住,持分移轉
RPRPMLTLNHPFFJB17CB,新光段,22.08,都市：住,持分移轉
RPSPMLTLNHPFFJB27CB,新光段,22.08,都市：住,持分移轉
RPTPMLTLNHPFFJB37CB,新光段,22.73,都市：住,持分移轉
RPXPMLTLNHPFFJB77CB,新光段,23.58,都市：住,持分移轉
RPPQMLTLNHPFFJB07CB,新光段,23.55,都市：住,持分移轉
RPOQMLTLNHPFFJB96CB,新光段,23.08,都市：住,持分移轉
RPQQMLTLNHPFFJB17CB,新光段,22.08,都市：住,持分移轉
RPSQMLTLNHPFFJB37CB,新光段,23.39,都市：住,持分移轉
RPRQMLTLNHPFFJB27CB,新光段,22.73,都市：住,持分移轉
RPVQMLTLNHPFFJB67CB,新光段,23.08,都市：住,持分移轉
RPWQMLTLNHPFFJB77CB,新光段,23.55,都市：住,持分移轉
RPTQMLTLNHPFFJB47CB,新光段,22.61,都市：住,持分移轉
RPXQMLTLNHPFFJB87CB,新光段,22.08,都市：住,持分移轉
RPORMLTLNHPFFJB07CB,新光段,38.89,都市：住,持分移轉
RPUNMLTLNHPFFFB86CB,市鎮北段,11.28,都市：商,持分移轉
RPRNMLTLNHPFFFB56CB,市鎮北段,11.28,都市：商,持分移轉
RPWNMLTLNHPFFFB07CB,市鎮北段,11.28,都市：商,持分移轉
RPQOMLTLNHPFFFB56CB,市鎮北段,11.28,都市：商,持分移轉
RPPPMLTLNHPFFFB56CB,市鎮北段,11.02,都市：商,持分移轉
RPOPMLTLNHPFFFB09CB,市鎮北段,11.02,都市：商,持分移轉
RPRPMLTLNHPFFFB76CB,市鎮北段,15.38,都市：商,持分移轉
RPTPMLTLNHPFFFB96CB,市鎮北段,11.02,都市：商,持分移轉
RPWOMLTLNHPFFFB17CB,市鎮北段,11.02,都市：商,持分移轉
RPOQMLTLNHPFFFB56CB,市鎮北段,11.02,都市：商,持分移轉
RPVOMLTLNHPFFFB07CB,市鎮北段,11.02,都市：商,持分移轉
RPPQMLTLNHPFFFB66CB,市鎮北段,11.02,都市：商,持分移轉
RPSPMLTLNHPFFFB86CB,市鎮北段,11.02,都市：商,持分移轉
RPRQMLTLNHPFFFB86CB,市鎮北段,10.25,都市：商,持分移轉
RPOOMLNJOHPFFCB97CB,新富段,66.84,都市：住,持分移轉
RPRNMLOJOHPFFCB28CB,寶山段,30.32,都市：住,持分移轉
RPROMLNJOHPFFCB28CB,新富段,60.52,都市：住,持分移轉
RPPOMLPJOHPFFFB58CB,市鎮北段,10.25,都市：商,持分移轉
RPXNMLPJOHPFFFB66CB,市鎮北段,14.10,都市：商,持分移轉
RPROMLPJOHPFFFB78CB,市鎮北段,10.25,都市：商,持分移轉
RPSOMLPJOHPFFFB88CB,市鎮北段,10.25,都市：商,持分移轉
RPQOMLPJOHPFFFB68CB,市鎮北段,12.82,都市：商,持分移轉
RPSNMLOJOHPFFCB38CB,寶山段,28.99,都市：住,持分移轉
RPTOMLPJOHPFFFB98CB,市鎮北段,10.25,都市：商,持分移轉
RPPOMLKKOHPFFFB18CB,市鎮北段,10.25,都市：商,持分移轉
RPUOMLKKOHPFFFB68CB,市鎮北段,10.25,都市：商,持分移轉
RPROMLKKOHPFFFB38CB,市鎮北段,10.25,都市：商,持分移轉
RPOOMLKKOHPFFFB08CB,市鎮北段,10.25,都市：商,持分移轉
RPOPMLKKOHPFFFB18CB,市鎮北段,10.25,都市：商,持分移轉
RPQPMLKKOHPFFFB38CB,市鎮北段,10.25,都市：商,持分移轉
RPSOMLKKOHPFFFB48CB,市鎮北段,10.25,都市：商,持分移轉
RPQOMLKKOHPFFFB28CB,市鎮北段,10.25,都市：商,持分移轉
