編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPXQMLLKNHPFFBB88CC,中興段,7.56,都市：住,全筆移轉
RPURMLLKNHPFFBB68CC,錦村段,9.43,都市：商,全筆移轉
RPVQMLLKNHPFFBB68CC,錦村段,9.43,都市：商,全筆移轉
RPRNMLMKNHPFFFB48CC,市鎮北段,14.99,都市：商,全筆移轉
RPSNMLLKNHPFFFB48CC,市鎮北段,21.84,都市：商,全筆移轉
RPQPMLLKNHPFFCB18CC,大新段,6.66,都市：住,全筆移轉
RPQPMLLKNHPFFCB18CC,大新段,6.35,都市：住,全筆移轉
RPXOMLLKNHPFFBB68CC,松昌段,.00,都市：住,全筆移轉
RPXNMLMKNHPFFCB78CC,惠民段,.00,都市：其他,全筆移轉
RPSOMLLKNHPFFAB08CC,樹子腳段,17.81,都市：住,全筆移轉
RPWNMLLKNHPFFAB38CC,後子段,41.99,都市：商,全筆移轉
RPSOMLLKNHPFFCB28CC,寶文段,.00,非都市： ; 非都市編定：,全筆移轉
RPTOMLLKNHPFFCB38CC,寶文段,.00,非都市： ; 非都市編定：,全筆移轉
RPXNMLLKNHPFFCB68CC,福安段,900.00,都市：其他,全筆移轉
RPVPMLMKNHPFFCB78CC,國安段,.00,非都市： ; 非都市編定：,全筆移轉
RPTOMLMKNHPFFBB38CC,東信段,15.04,都市：住,全筆移轉
RPROMLMKNHPFFBB18CC,錦村段,9.43,都市：商,全筆移轉
RPQOMLMKNHPFFAB97CC,中墩段三小段,.00,都市：商,全筆移轉
RPOOMLMKNHPFFAB77CC,下橋子頭段,5.00,都市：住,全筆移轉
RPUOMLMKNHPFFAB38CC,萬安段九小段,.00,都市：住,全筆移轉
RPUOMLMKNHPFFAB38CC,正義段九小段,.00,都市：住,全筆移轉
RPUOMLMKNHPFFAB38CC,頂橋子頭段,.00,都市：住,全筆移轉
RPWNMLMKNHPFFAB48CC,下橋子頭段,16.54,都市：住,全筆移轉
RPUPMLMKNHPFFCB68CC,黎明段,47.12,都市：住,全筆移轉
RPSOMLNKNHPFFCB48CC,黎明段,180.00,都市：住,全筆移轉
RPTNMLNKNHPFFCB48CC,大墩段,23.29,都市：住,全筆移轉
RPOQMLNKNHPFFAB08CC,下橋子頭段,.00,都市：住,全筆移轉
RPRNMLOKNHPFFIB09DC,高鐵段,330.00,都市：其他:第一種產業專區,全筆移轉
