編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPURMLLKNHPFFBB68CC,坡道平面,50,,
RPURMLLKNHPFFBB68CC,其他,50,,
RPVQMLLKNHPFFBB68CC,坡道平面,1500,34.65,
RPRNMLMKNHPFFFB48CC,坡道平面,0,32.25,
RPSNMLLKNHPFFFB48CC,坡道平面,0,34.35,
RPSOMLLKNHPFFAB08CC,坡道機械,473,22.57,
RPSOMLLKNHPFFAB08CC,坡道機械,473,22.57,
RPROMLMKNHPFFBB18CC,坡道平面,50,,
RPROMLMKNHPFFBB18CC,其他,50,,
RPOOMLMKNHPFFAB77CC,坡道平面,0,33.34,
RPUOMLMKNHPFFAB38CC,坡道平面,0,,
RPUPMLMKNHPFFCB68CC,坡道平面,0,29.75,
RPTNMLNKNHPFFCB48CC,坡道平面,0,,
RPOQMLNKNHPFFAB08CC,坡道平面,0,29.75,
RPPQMLOKNHPFFCB48CC,坡道機械,0,,
RPWQMLOKNHPFFCB56CC,坡道平面,0,31.44,
RPQQMLMKNHPFFCB38CC,升降機械,0,8.42,
RPOPMLMKNHPFFBB97CC,坡道平面,100,30.64,
RPRPMLPKNHPFFCB68CC,坡道平面,0,,
RPPNMLQKNHPFFCB38CC,坡道平面,0,,
RPPRMLPKNHPFFBB58CC,坡道機械,0,,
RPORMLPKNHPFFBB48CC,坡道平面,0,,
RPTSMLSKNHPFFBB76CC,坡道機械,0,24.44,
RPXOMLPKNHPFFAB98CC,坡道平面,0,,
RPQPMLOKNHPFFBB38CC,坡道機械,0,,
RPSRMLSKNHPFFBB56CC,坡道平面,0,,
RPSRMLSKNHPFFBB56CC,坡道平面,0,,
RPSRMLSKNHPFFBB56CC,坡道機械,0,,
RPSRMLSKNHPFFBB56CC,坡道機械,0,,
RPPNMLQKNHPFFBB28CC,坡道平面,0,33.07,
RPWQMLOKNHPFFBB09CC,坡道機械,0,,
RPOPMLSKNHPFFCB68CC,坡道平面,0,,
RPXQMLSKNHPFFCB07CC,坡道平面,0,,
RPOQMLSKNHPFFAB58CC,坡道平面,0,,
RPXOMLSKNHPFFCB86CC,坡道平面,0,,
RPRQMLSKNHPFFAB88CC,坡道平面,0,27.59,
RPRNMLSKNHPFFFB09CC,坡道平面,0,34.35,
RPUNMLSKNHPFFHB96CC,其他,0,,
RPPSMLKLNHPFFCB38CC,坡道平面,0,28.90,
RPWQMLKLNHPFFCB88CC,坡道平面,0,39.74,
RPSNMLKLNHPFFJB88CC,坡道平面,0,28.68,
RPXOMLLLNHPFFCB88CC,坡道機械,0,,
RPXPMLLLNHPFFCB98CC,坡道平面,0,,
RPXPMLLLNHPFFCB98CC,坡道平面,0,,
RPPPMLLLNHPFFAB97CC,坡道平面,0,,
RPSNMLLLNHPFFHB78CC,坡道機械,0,,
RPXOMLLLNHPFFBB78CC,坡道機械,0,,
RPWPMLLLNHPFFAB68CC,坡道機械,0,,
RPWPMLMLNHPFFBB88CC,坡道平面,3500,27.90,
RPPOMLMLNHPFFBB08CC,坡道平面,0,30.59,
RPXPMLLLNHPFFBB88CC,坡道平面,0,34.81,
RPSRMLMLNHPFFBB68CC,坡道平面,0,,
RPUQMLMLNHPFFBB78CC,坡道平面,0,,
RPWQMLMLNHPFFBB98CC,坡道平面,3148,18.12,
RPRRMLMLNHPFFBB58CC,坡道平面,0,,
RPWRMLMLNHPFFBB09CC,坡道平面,0,,
RPXRMLMLNHPFFBB56CC,坡道平面,0,,
RPOSMLMLNHPFFBB38CC,坡道平面,0,,
RPPPMLMLNHPFFCB28CC,坡道機械,0,,
RPUNMLMLNHPFFFB88CC,坡道平面,0,32.15,
RPWNMLMLNHPFFAB58CC,坡道平面,0,43.04,
RPTNMLMLNHPFFFB78CC,坡道平面,0,26.31,
RPOOMLQLNHPFFAB28CC,坡道機械,0,,
RPTNMLPLNHPFFFB09CC,坡道機械,0,26.31,
RPQOMLRLNHPFFCB78CC,坡道平面,0,,
RPRNMLMLNHPFFIB88CC,坡道平面,0,58.84,
RPROMLRLNHPFFAB68CC,坡道平面,0,32.41,
RPTQMLSLNHPFFCB76CC,升降平面,0,,
RPUQMLSLNHPFFCB86CC,升降平面,0,,
RPROMLSLNHPFFBB88CC,坡道平面,0,42.99,
RPXNMLTLNHPFFCB96CC,一樓平面,0,,
RPQPMLTLNHPFFCB09CC,坡道機械,0,13.92,
RPTOMLTLNHPFFBB56CC,坡道平面,0,28.55,
RPORMLTLNHPFFBB98CC,坡道機械,3200,31.88,
RPVTMLTLNHPFFBB27CC,坡道機械,0,,
RPXOMLTLNHPFFAB86CC,坡道機械,0,9.82,
RPXNMLTLNHPFFAB76CC,坡道機械,0,,
RPUOMLLJOHPFFDB58CC,坡道平面,0,31.68,
RPSNMLLJOHPFFFB48CC,坡道平面,0,34.35,
RPTOMLMJOHPFFCB48CC,坡道平面,0,,
RPUSMLMJOHPFFCB98CC,坡道機械,0,,
RPSSMLMJOHPFFCB78CC,坡道平面,0,,
RPSSMLMJOHPFFCB78CC,坡道機械,0,,
RPSSMLMJOHPFFCB78CC,坡道機械,0,,
RPOTMLMJOHPFFCB48CC,一樓平面,0,18.77,
RPOTMLMJOHPFFCB48CC,一樓平面,0,18.77,
RPOTMLMJOHPFFCB48CC,一樓平面,0,18.77,
RPOTMLMJOHPFFCB48CC,一樓平面,0,20.27,
RPOTMLMJOHPFFCB48CC,一樓平面,0,20.27,
RPOTMLMJOHPFFCB48CC,一樓平面,0,20.27,
RPOTMLMJOHPFFCB48CC,一樓平面,0,20.27,
RPOTMLMJOHPFFCB48CC,一樓平面,0,20.27,
RPOTMLMJOHPFFCB48CC,一樓平面,0,20.27,
RPUNMLLJOHPFFBB28CC,升降機械,0,,
RPVNMLLJOHPFFBB38CC,坡道平面,0,35.62,
RPVNMLLJOHPFFBB38CC,坡道平面,0,35.62,
RPPTMLMJOHPFFCB58CC,坡道機械,0,,
RPSTMLMJOHPFFCB88CC,坡道平面,0,,
RPRQMLNJOHPFFCB68DC,坡道機械,0,26.73,
RPSNMLMJOHPFFAB18DC,坡道平面,0,29.63,
RPUOMLNJOHPFFAB58DC,坡道平面,0,,
RPUOMLNJOHPFFAB58DC,坡道機械,0,,
RPPRMLNJOHPFFCB48CC,坡道平面,0,,
RPOQMLNJOHPFFCB28CC,坡道平面,3500,,
RPOQMLNJOHPFFCB28CC,坡道平面,3500,,
RPQRMLNJOHPFFCB58CC,坡道機械,0,,
RPTRMLNJOHPFFCB88CC,坡道平面,0,,
RPTRMLNJOHPFFCB88CC,坡道平面,0,,
RPQRMLOJOHPFFBB58CC,坡道平面,0,15.19,
RPPQMLOJOHPFFCB48CC,坡道平面,0,27.23,
RPQNMLOJOHPFFCB28CC,坡道平面,0,23.27,
RPQNMLOJOHPFFCB28CC,坡道平面,0,23.27,
RPOQMLOJOHPFFCB38CC,坡道平面,0,29.08,
RPSOMLOJOHPFFAB38CC,一樓平面,0,,
RPRNMLSJOHPFFFB09CC,坡道平面,0,32.25,
RPOPMLSJOHPFFFB98CC,坡道平面,0,21.00,
RPROMLSJOHPFFIB86CC,坡道平面,0,38.20,
RPUQMLSJOHPFFAB56CC,坡道平面,0,30.09,
RPSQMLSJOHPFFBB09CC,坡道機械,2200,15.94,
RPOQMLSJOHPFFBB68CC,坡道平面,0,,
RPXPMLSJOHPFFBB86CC,坡道平面,0,28.35,
RPRQMLSJOHPFFBB98CC,坡道平面,0,25.81,
RPUQMLSJOHPFFBB66CC,坡道平面,0,,
RPPTMLSJOHPFFCB56CC,坡道機械,1000,18.99,
RPRTMLSJOHPFFCB76CC,坡道平面,3000,37.80,
RPQTMLSJOHPFFCB66CC,坡道機械,1500,18.99,
RPPQMLSJOHPFFCB88CC,坡道平面,0,,
RPOOMLTJOHPFFCB68CC,坡道機械,0,,
RPQOMLTJOHPFFCB88CC,坡道平面,0,,
RPROMLTJOHPFFCB98CC,坡道機械,0,,
RPSPMLTJOHPFFBB09CC,坡道平面,0,20.89,
RPSPMLTJOHPFFBB09CC,坡道平面,0,,
