編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPNMLSKNHPFFBC38CA,光明段,26.63,都市：住,持分移轉
RPPNMLSKNHPFFBC38CA,光明段,.02,都市：其他:機關用地,持分移轉
RPPNMLSKNHPFFBC38CA,光明段,.15,都市：其他:機關用地,持分移轉
RPPNMLSKNHPFFBC38CA,光明段,.03,都市：其他:機關用地,持分移轉
RPPNMLSKNHPFFBC38CA,光明段,.07,都市：其他:道路用地,持分移轉
RPPNMLSKNHPFFBC38CA,光明段,.04,都市：其他:機關用地,持分移轉
RPPNMLRKNHPFFBC28CA,調和段,5.64,都市：住,持分移轉
RPQNMLPKNHPFFBC18CA,深美段,.20,都市：住,持分移轉
RPQNMLPKNHPFFBC18CA,深美段,.24,都市：住,持分移轉
RPQNMLPKNHPFFBC18CA,深美段,26.78,都市：住,持分移轉
RPQNMLPKNHPFFBC18CA,深美段,4.98,都市：住,持分移轉
RPWNMLNKNHPFFBC58CA,長潭段,15.60,都市：商,持分移轉
RPWNMLNKNHPFFBC58CA,長潭段,.00,都市：其他:道路用地,持分移轉
RPWOMLLLNHPFFBC58CA,深澳段,66.15,都市：住,全筆移轉
RPWNMLNKNHPFFBC58CA,長潭段,.00,都市：其他:道路用地,持分移轉
RPWNMLNKNHPFFBC58CA,長潭段,.01,都市：其他:道路用地,持分移轉
RPPOMLMKNHPFFBC87CA,深澳段,25.31,都市：住,持分移轉
RPTNMLMLNHPFFBC28CA,深美段,.13,都市：其他:保護區,持分移轉
RPOOMLMKNHPFFBC77CA,長潭段,1.52,都市：住,持分移轉
RPTNMLMLNHPFFBC28CA,深美段,1.25,都市：住,持分移轉
RPOOMLMKNHPFFBC77CA,長潭段,15.24,都市：住,持分移轉
RPTNMLMLNHPFFBC28CA,祥豐段,.21,都市：住,持分移轉
RPTNMLMLNHPFFBC28CA,深美段,23.81,都市：住,持分移轉
RPTNMLPLNHPFFBC58CA,深澳段,24.51,都市：住,持分移轉
RPSNMLOKNHPFFCC38CA,德育段,11.17,都市：住,持分移轉
RPSNMLOKNHPFFCC38CA,德育段,.97,都市：住,持分移轉
RPSNMLOKNHPFFCC38CA,德育段,.02,都市：住,持分移轉
RPSOMLOJOHPFFBC38CA,深美段,51.26,都市：住,持分移轉
RPTOMLOJOHPFFBC48CA,深美段,56.79,都市：住,持分移轉
RPQOMLOJOHPFFBC18CA,深美段,56.28,都市：住,持分移轉
RPROMLOJOHPFFBC28CA,深美段,56.28,都市：住,持分移轉
RPTOMLNKNHPFFCC48CA,暖暖段暖暖小段,48.60,都市：住,持分移轉
RPOOMLNKNHPFFCC97CA,大武崙段內寮小段,19.89,都市：其他:部份住宅區部份保護區,持分移轉
RPOOMLNKNHPFFCC97CA,大武崙段內寮小段,1.78,都市：住,持分移轉
RPTNMLMKNHPFFCC28CA,德育段,11.17,都市：住,持分移轉
RPTNMLMKNHPFFCC28CA,德育段,.97,都市：住,持分移轉
RPTNMLMKNHPFFCC28CA,德育段,.02,都市：住,持分移轉
RPRNMLOKNHPFFCC48EA,新城段,.50,都市：其他:道路用地,持分移轉
RPRNMLOKNHPFFCC48EA,新城段,.00,都市：其他:道路用地,持分移轉
RPRNMLOKNHPFFCC48EA,新城段,1.00,都市：住,持分移轉
RPRNMLOKNHPFFCC48EA,新城段,.01,都市：其他:道路用地,持分移轉
RPRNMLOKNHPFFCC48EA,新城段,3.48,都市：住,持分移轉
RPRNMLOKNHPFFCC48EA,新城段,.21,都市：其他:道路用地,持分移轉
RPRNMLOKNHPFFCC48EA,新城段,.02,都市：其他:道路用地,持分移轉
RPTNMLOKNHPFFCC48CA,台五線段,1.65,都市：住,持分移轉
RPTNMLOKNHPFFCC48CA,台五線段,10.62,都市：住,持分移轉
RPTNMLOKNHPFFCC48CA,台五線段,6.90,都市：住,持分移轉
RPTNMLOKNHPFFCC48CA,台五線段,2.46,都市：其他:道路用地,持分移轉
RPTNMLOKNHPFFCC48CA,台五線段,.05,都市：住,持分移轉
RPTNMLOKNHPFFCC48CA,台五線段,41.30,都市：住,持分移轉
RPTNMLOKNHPFFCC48CA,台五線段,.54,都市：其他:道路用地,持分移轉
RPTNMLOKNHPFFCC48CA,台五線段,7.61,都市：其他:兒童遊樂場用地,持分移轉
RPTNMLOKNHPFFCC48CA,台五線段,2.10,都市：其他:綠地用地,持分移轉
RPTNMLOKNHPFFCC48CA,台五線段,4.91,都市：其他:綠地用地,持分移轉
RPTNMLOKNHPFFCC48CA,台五線段,6.85,都市：其他:綠地用地,持分移轉
RPTNMLOKNHPFFCC48CA,台五線段,2.20,都市：其他:綠地用地,持分移轉
RPTNMLOKNHPFFCC48CA,台五線段,1.54,都市：其他:綠地用地,持分移轉
RPRNMLPJOHPFFBC28CA,深美段,56.79,都市：住,持分移轉
RPPNMLLMNHPFFCC97CA,瑪陵坑段東勢下股小段,207.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,全筆移轉
RPPNMLQLNHPFFCC38CA,溪頭段,1.27,都市：其他:倉儲區,持分移轉
RPPNMLQLNHPFFCC38CA,溪頭段,9.26,都市：其他:倉儲區,持分移轉
RPPNMLQLNHPFFCC38CA,台五線段,9.21,都市：工,持分移轉
RPTOMLSKNHPFFCC98CA,明德段,23.50,都市：住,持分移轉
RPVNMLMLNHPFFCC78EA,八德段,46.56,都市：住,持分移轉
RPWNMLMLNHPFFCC88EA,新城段,80.29,都市：住,持分移轉
RPTOMLTLNHPFFCC56CA,麥金段,42.80,都市：住,持分移轉
RPVOMLOJOHPFFBC68CA,深美段,57.29,都市：住,持分移轉
RPPPMLOJOHPFFBC18CA,深美段,56.28,都市：住,持分移轉
RPRPMLOJOHPFFBC38CA,深美段,56.28,都市：住,持分移轉
RPQPMLOJOHPFFBC28CA,深美段,56.28,都市：住,持分移轉
RPSPMLOJOHPFFBC48CA,深美段,56.28,都市：住,持分移轉
