編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPWNMLPLNHPFFCC56CC,麥金段,.00,都市：住,全筆移轉
RPPNMLMKNHPFFCC08CC,工建段,17.77,都市：住,全筆移轉
RPTNMLLLNHPFFBC38CC,長潭段,.00,都市：住,全筆移轉
RPTNMLMKNHPFFBC38CC,港濱段,.00,都市：住,全筆移轉
RPSNMLMKNHPFFBC28CC,調和段,.00,都市：住,全筆移轉
RPUNMLMKNHPFFBC48CC,田寮段,.00,都市：商,全筆移轉
RPUNMLMKNHPFFBC48CC,田寮段,.00,都市：商,全筆移轉
RPUNMLMKNHPFFBC48CC,田寮段,.00,都市：商,全筆移轉
RPUNMLMKNHPFFBC48CC,田寮段,.00,都市：商,全筆移轉
RPUNMLMKNHPFFBC48CC,田寮段,.00,都市：商,全筆移轉
RPUNMLMKNHPFFBC48CC,田寮段,.00,都市：商,全筆移轉
RPPNMLMJOHPFFBC08DC,東信段三小段,.00,都市：住,全筆移轉
RPRNMLMKNHPFFBC18CC,調和段,.00,都市：住,全筆移轉
RPWNMLNJOHPFFBC78CC,延平段,66.00,都市：商,全筆移轉
RPWNMLNJOHPFFBC78CC,延平段,16.00,都市：商,全筆移轉
RPUNMLNJOHPFFBC58CC,延平段,76.00,都市：商,全筆移轉
RPRNMLKLNHPFFCC18CC,五堵段五堵北小段,410.00,都市：住,全筆移轉
RPRNMLKLNHPFFCC18CC,五堵段五堵北小段,1539.00,都市：住,全筆移轉
RPRNMLKLNHPFFCC18CC,五堵段五堵北小段,1398.00,都市：住,全筆移轉
RPRNMLKLNHPFFCC18CC,五堵段五堵北小段,800.00,都市：住,全筆移轉
RPRNMLKLNHPFFCC18CC,五堵段五堵北小段,626.00,都市：住,全筆移轉
RPPNMLQJOHPFFCC48CC,五堵段五堵北小段,36.91,都市：住,全筆移轉
RPQNMLQJOHPFFCC58CC,五堵段五堵北小段,36.91,都市：住,全筆移轉
RPXNMLKLNHPFFCC88DC,麥金段,6.82,都市：住,全筆移轉
RPXNMLKLNHPFFCC88DC,麥金段,.01,都市：住,全筆移轉
RPXNMLKLNHPFFCC88DC,麥金段,.00,都市：住,全筆移轉
RPXNMLSJOHPFFBC76CC,成功段,.00,都市：住,全筆移轉
RPXNMLTJOHPFFBC86CC,新店段三小段,17.25,都市：商,全筆移轉
RPWNMLTJOHPFFBC86DC,延平段,.00,都市：商,全筆移轉
RPWNMLTJOHPFFBC86DC,延平段,.00,都市：商,全筆移轉
RPRNMLPKOHPFFCC68CC,情人湖段,25.26,都市：住,全筆移轉
RPRNMLPKOHPFFCC68CC,情人湖段,.07,都市：住,全筆移轉
RPOOMLRKOHPFFBC58CC,長潭段,32.97,都市：商,全筆移轉
RPOOMLRKOHPFFBC58CC,長潭段,3.63,都市：商,全筆移轉
RPRNMLKLOHPFFCC28CC,新會段,19.68,都市：其他:空白,全筆移轉
RPRNMLKLOHPFFCC28CC,新會段,1.43,都市：其他:空白,全筆移轉
RPRNMLKLOHPFFCC28CC,新會段,.90,都市：其他:空白,全筆移轉
RPRNMLKLOHPFFCC28CC,新會段,.07,都市：其他:空白,全筆移轉
RPRNMLKLOHPFFCC28CC,新會段,3.65,都市：其他:空白,全筆移轉
RPRNMLKLOHPFFCC28CC,新會段,.53,都市：其他:空白,全筆移轉
RPRNMLKLOHPFFCC28CC,新會段,1.20,都市：其他:空白,全筆移轉
RPRNMLKLOHPFFCC28CC,新會段,.12,都市：其他:空白,全筆移轉
RPSNMLKLOHPFFCC38CC,源遠段,.00,都市：住,全筆移轉
RPTNMLKLOHPFFCC48CC,麥金段,20.80,都市：住,全筆移轉
RPTNMLKLOHPFFCC48CC,麥金段,.60,都市：住,全筆移轉
RPOOMLSLNHPFFBC68CC,福祿段,.00,都市：住,全筆移轉
RPTNMLQLNHPFFBC88CC,調和段,.00,都市：住,全筆移轉
RPRNMLOKNHPFFBC38CC,福祿段,51.00,都市：商,全筆移轉
RPRNMLOKNHPFFBC38CC,福祿段,1.00,都市：商,全筆移轉
