鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
安平區,房地(土地+建物)+車位,臺南市安平區永華路二段811~840號,8.54,住,,,1090316,土地1建物1車位1,十九層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1081217,100.11,2,1,1,有,有,7150000,85029,坡道機械,28.37,1050000,,RPOOMLMKNHPFFAD77CA,41.4,2.91,3.76,
安平區,房地(土地+建物)+車位,臺南市安平區永華路二段811~840號,8.54,住,,,1060416,土地1建物1車位1,七層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1081217,100.11,2,1,1,有,有,4900000,58545,坡道機械,28.37,700000,此交易日期為預售屋簽約日期。,RPPOMLMKNHPFFAD87CA,41.4,2.91,3.76,
北區,建物,臺南市北區公園路746巷6弄1~30號,0.0,,,,1090411,土地0建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0651001,119.31,4,2,3,有,無,3550000,29754,,0.0,0,土地為仁愛之家所有,RPOPMLMKNHPFFAD87CA,119.31,0.0,0.0,
中西區,土地,新臨安段1861~1890地號,321.74,其他,,,1090416,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4756980,14785,,0.0,0,包含公共設施保留地之交易。;,RPQNMLNKNHPFFAD97CA,0.0,0.0,0.0,
安平區,房地(土地+建物),臺南市安平區建平七街271~300號,84.0,住,,,1090221,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0820421,296.38,5,4,3,有,無,11400000,38464,,0.0,0,,RPPOMLNKNHPFFAD97CA,271.92,0.0,24.46,
北區,房地(土地+建物),臺南市北區開元路511~540號,6.42,商,,,1090328,土地3建物1車位0,十一層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1041105,86.72,2,1,1,有,有,4850000,55927,,0.0,0,,RPXNMLOKNHPFFAD78CA,50.03,1.82,8.95,
北區,房地(土地+建物),臺南市北區公園北路151~180號,19.42,商,,,1090420,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,0951001,119.18,3,2,2,有,有,7280000,61084,,0.0,0,,RPPQMLSKNHPFFAD68CA,73.9,2.38,10.63,
中西區,土地,頂美段2701~2730地號,963.75,住,,,1090314,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,115000000,119326,,0.0,0,,RPOPMLKLNHPFFAD77CA,0.0,0.0,0.0,
中西區,房地(土地+建物),臺南市中西區西寧街61~90號,56.65,住,,,1090410,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0550101,76.46,4,2,2,有,無,4600000,60162,,0.0,0,,RPVOMLLLNHPFFAD48CA,76.46,0.0,0.0,
