編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPSQMLKLOHPFFAD48CB,北元段,11.15,都市：住,持分移轉
RPVQMLKLOHPFFAD78CB,北元段,11.15,都市：住,持分移轉
RPOQMLKLOHPFFAD08CB,北元段,11.15,都市：住,持分移轉
RPWQMLKLOHPFFAD88CB,北元段,15.18,都市：住,持分移轉
RPRQMLKLOHPFFAD38CB,北元段,15.21,都市：住,持分移轉
RPUQMLKLOHPFFAD68CB,北元段,15.14,都市：住,持分移轉
RPQQMLKLOHPFFAD28CB,北元段,11.15,都市：住,持分移轉
RPORMLKLOHPFFAD18CB,北元段,15.18,都市：住,持分移轉
RPXQMLKLOHPFFAD98CB,北元段,11.15,都市：住,持分移轉
RPTQMLKLOHPFFAD58CB,北元段,15.18,都市：住,持分移轉
RPPRMLKLOHPFFAD28CB,北元段,15.18,都市：住,持分移轉
RPURMLKLOHPFFAD78CB,北元段,15.21,都市：住,持分移轉
RPQRMLKLOHPFFAD38CB,北元段,15.14,都市：住,持分移轉
RPTRMLKLOHPFFAD68CB,北元段,15.18,都市：住,持分移轉
RPSRMLKLOHPFFAD58CB,北元段,11.15,都市：住,持分移轉
RPVRMLKLOHPFFAD88CB,北元段,15.21,都市：住,持分移轉
RPWRMLKLOHPFFAD98CB,北元段,15.21,都市：住,持分移轉
RPXRMLKLOHPFFAD09CB,北元段,15.14,都市：住,持分移轉
RPPSMLKLOHPFFAD38CB,北元段,15.18,都市：住,持分移轉
RPOSMLKLOHPFFAD28CB,北元段,11.15,都市：住,持分移轉
RPSSMLKLOHPFFAD68CB,北元段,11.15,都市：住,持分移轉
RPUSMLKLOHPFFAD88CB,北元段,11.15,都市：住,持分移轉
RPQSMLKLOHPFFAD48CB,北元段,15.21,都市：住,持分移轉
RPTSMLKLOHPFFAD78CB,北元段,15.18,都市：住,持分移轉
RPOTMLKLOHPFFAD38CB,北元段,15.18,都市：住,持分移轉
RPVSMLKLOHPFFAD98CB,北元段,11.15,都市：住,持分移轉
RPXSMLKLOHPFFAD56CB,北元段,15.21,都市：住,持分移轉
RPPTMLKLOHPFFAD48CB,北元段,15.21,都市：住,持分移轉
RPQTMLKLOHPFFAD58CB,北元段,15.18,都市：住,持分移轉
RPRTMLKLOHPFFAD68CB,北元段,15.18,都市：住,持分移轉
RPUTMLKLOHPFFAD98CB,北元段,11.15,都市：住,持分移轉
RPWTMLKLOHPFFAD56CB,北元段,15.18,都市：住,持分移轉
RPVTMLKLOHPFFAD09CB,北元段,11.15,都市：住,持分移轉
RPOUMLKLOHPFFAD48CB,北元段,15.14,都市：住,持分移轉
RPXTMLKLOHPFFAD66CB,北元段,15.21,都市：住,持分移轉
RPPUMLKLOHPFFAD58CB,北元段,15.21,都市：住,持分移轉
RPRUMLKLOHPFFAD78CB,北元段,11.15,都市：住,持分移轉
RPSUMLKLOHPFFAD88CB,北元段,15.21,都市：住,持分移轉
RPVUMLKLOHPFFAD56CB,北元段,15.21,都市：住,持分移轉
RPWUMLKLOHPFFAD66CB,北元段,15.18,都市：住,持分移轉
RPXUMLKLOHPFFAD76CB,北元段,11.15,都市：住,持分移轉
RPOVMLKLOHPFFAD58CB,北元段,11.15,都市：住,持分移轉
RPTUMLKLOHPFFAD98CB,北元段,15.21,都市：住,持分移轉
RPPVMLKLOHPFFAD68CB,北元段,15.18,都市：住,持分移轉
