編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPXNMLLKNHPFFAD68CC,仁愛段,.00,都市：住,全筆移轉
RPXNMLLKNHPFFAD68CC,仁愛段,.00,都市：住,全筆移轉
RPPNMLLKNHPFFAD87CC,永華段,27.70,都市：商,全筆移轉
RPUOMLLKNHPFFKD86CC,六甲頂段,5.45,都市：住,全筆移轉
RPTNMLLKNHPFFKD66CC,永華段,.00,都市：住,全筆移轉
RPSOMLLKNHPFFKD66CC,永和段,.00,都市：商,全筆移轉
RPWNMLLKNHPFFCD78CC,虎尾寮段,.00,都市：住,全筆移轉
RPPOMLLKNHPFFCD18CC,新興段,.00,都市：住,全筆移轉
RPSOMLLKNHPFFCD48CC,府東段,.00,都市：住,全筆移轉
RPSOMLLKNHPFFCD48CC,府東段,.00,都市：住,全筆移轉
RPROMLLKNHPFFCD38CC,虎尾寮段,.00,都市：住,全筆移轉
RPTOMLLKNHPFFCD58CC,水交社段,.00,都市：商,全筆移轉
RPSNMLLKNHPFFCD38CC,仁和段,.00,都市：住,全筆移轉
RPQNMLLKNHPFFCD18CC,東光段,.00,都市：商,全筆移轉
RPSNMLMKNHPFFDD58CC,新東段,.00,非都市： ; 非都市編定：,全筆移轉
RPVNMLMKNHPFFKD96CC,大灣段,.00,都市：商,全筆移轉
RPQNMLMKNHPFFED48CC,頂豐段,482.07,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPQNMLMKNHPFFED48CC,頂豐段,479.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPWNMLLKNHPFFDD88CC,華城段,.00,都市：住,全筆移轉
RPSNMLMKNHPFFBD38CC,怡中段,.00,都市：住,全筆移轉
RPTNMLMKNHPFFID56CC,興安段,.00,都市：工,全筆移轉
RPOOMLMKNHPFFCD18CC,富農段,.00,都市：住,全筆移轉
