編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVNMLLKNHPFFAE38CA,21,52.96,住家用,鋼筋混凝土造,88年9月30日,十四層,七層
RPVNMLLKNHPFFAE38CA,21,24.46,共有部分,鋼筋混凝土造,88年9月30日,十四層,
RPSNMLLLNHPFFAE18CA,5,219.98,見其它登記事項,見其它登記事項,104年9月15日,三十八層,十八層
RPSNMLLLNHPFFAE18CA,5,152.91,見其它登記事項,見其它登記事項,104年9月15日,三十八層,
RPTOMLOKNHPFFAE58CA,24,66.72,住家用,鋼筋混凝土造,84年12月19日,二十四層,四層
RPTOMLOKNHPFFAE58CA,24,19.94,見使用執照,鋼筋混凝土造,84年12月19日,二十四層,
RPTOMLOKNHPFFAE58CA,24,12.60,見使用執照,鋼筋混凝土造,84年12月19日,二十四層,
RPWNMLTLNHPFFAE76CA,4,338.40,見其它登記事項,見其它登記事項,104年11月4日,三十六層,二十二層
RPWNMLTLNHPFFAE76CA,4,263.16,見其它登記事項,見其它登記事項,104年11月4日,三十六層,
RPPNMLQKNHPFFAE28CA,13,135.78,住家用,鋼筋混凝土造,96年3月28日,十四層,十四層
RPPNMLQKNHPFFAE28CA,13,76.44,見其它登記事項,鋼筋混凝土造,96年3月28日,十四層,
RPUNMLNKNHPFFAE48CA,40,84.12,,鋼筋混凝土造,69年4月24日,八層,七層
RPQNMLPJOHPFFAE28CA,7,162.60,住家用,鋼筋混凝土造,102年6月19日,二十四層,二層
RPQNMLPJOHPFFAE28CA,7,107.19,見其它登記事項,鋼筋混凝土造,102年6月19日,二十四層,
RPTNMLLKNHPFFAE18CA,25,143.59,住商用,鋼筋混凝土造,84年6月23日,十二層,一層 二層 騎樓
RPTNMLLKNHPFFAE18CA,25,38.73,見使用執照,鋼筋混凝土造,84年6月23日,十二層,
RPUNMLOKNHPFFAE58CA,38,26.85,,鋼筋混凝土造,70年10月3日,十二層,三層
RPUNMLOKNHPFFAE58CA,38,10.83,,鋼筋混凝土造,70年10月3日,十二層,
RPRNMLPLNHPFFAE48CA,3,202.91,見其它登記事項,鋼筋混凝土造,106年6月1日,二十九層,十四層
RPRNMLPLNHPFFAE48CA,3,186.78,見其它登記事項,鋼筋混凝土造,106年6月1日,二十九層,
RPUNMLMKNHPFFAE38CA,34,35.07,,鋼筋混凝土造,75年2月17日,十六層,九層
RPUNMLMKNHPFFAE38CA,34,3.62,,鋼筋混凝土造,75年2月17日,十六層,
RPUNMLMKNHPFFAE38CA,34,11.40,,鋼筋混凝土造,75年2月17日,十六層,
RPSNMLNKNHPFFBE38CA,19,30.71,見其他登記事項,鋼筋混凝土造,90年5月29日,二十四層,
RPXNMLMKNHPFFBE78CA,10,95.69,住家用,鋼筋混凝土造,99年5月4日,十五層,九層
RPXNMLMKNHPFFBE78CA,10,59.88,見其他登記事項,鋼筋混凝土造,99年5月4日,十五層,
RPTNMLTKNHPFFBE09CA,55,68.96,住家用,加強磚造,54年9月29日,二層,一層 二層
RPQOMLMKNHPFFBE18CA,32,136.09,,鋼筋混凝土造,77年6月27日,十七層,十三層
RPQOMLMKNHPFFBE18CA,32,45.53,,鋼筋混凝土造,77年6月27日,十七層,
RPOOMLTKNHPFFBE68CA,,99.44,見其他登記事項,見其他登記事項,109年1月3日,十五層,十一層
RPOOMLTKNHPFFBE68CA,,75.94,共有部分,見其他登記事項,109年1月3日,十五層,
RPRNMLNKNHPFFBE28CA,44,156.36,,鋼筋混凝土造,64年12月30日,三層,一層 二層 三層 騎樓
RPPNMLTKNHPFFBE68CA,48,218.15,,鋼筋混凝土造,60年11月3日,四層,一層 二層 三層 四層 騎樓 地下層
RPTPMLTKNHPFFBE66CA,3,154.57,住家用,鋼筋混凝土造,105年10月11日,十四層,十層
RPTPMLTKNHPFFBE66CA,3,126.47,共有部分,鋼筋混凝土造,105年10月11日,十四層,
