編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPVNMLLKNHPFFAE38CA,龍華段八小段,7.55,都市：商,持分移轉
RPSNMLLLNHPFFAE18CA,龍中段,21.36,都市：商,持分移轉
RPTOMLOKNHPFFAE58CA,前金段,5.99,都市：住,持分移轉
RPTOMLOKNHPFFAE58CA,北金段,3.51,都市：住,持分移轉
RPWNMLTLNHPFFAE76CA,龍中段,35.99,都市：商,持分移轉
RPPNMLSJOHPFFAE48CA,龍華段七小段,91.57,都市：住,持分移轉
RPPNMLQKNHPFFAE28CA,青海段,29.17,都市：住,持分移轉
RPUNMLNKNHPFFAE48CA,文東段,1.20,都市：商,持分移轉
RPUNMLNKNHPFFAE48CA,文東段,13.20,都市：商,持分移轉
RPUNMLNKNHPFFAE48CA,文東段,2.28,都市：商,持分移轉
RPQNMLPJOHPFFAE28CA,青海段,28.14,都市：住,持分移轉
RPTNMLLKNHPFFAE18CA,龍華段八小段,17.20,都市：商,持分移轉
RPRNMLPLNHPFFAE48CA,青海段,35.04,都市：住,持分移轉
RPSNMLOKNHPFFBE48CA,五權段,42.00,都市：住,全筆移轉
RPSNMLNKNHPFFBE38CA,苓雅寮段,2.75,都市：住,持分移轉
RPXNMLMKNHPFFBE78CA,林德官段一小段,17.42,都市：住,持分移轉
RPTNMLTKNHPFFBE09CA,新興段一小段,26.00,都市：商,全筆移轉
RPTNMLTKNHPFFBE09CA,新興段一小段,31.00,都市：商,全筆移轉
RPQOMLMKNHPFFBE18CA,林德官段一小段,19.16,都市：其他:市場用地,持分移轉
RPOOMLTKNHPFFBE68CA,五塊厝段,25.04,都市：住,持分移轉
RPRNMLNKNHPFFBE28CA,武聖段,79.00,都市：住,全筆移轉
RPPNMLTKNHPFFBE68CA,新興段二小段,61.00,都市：商,全筆移轉
RPTPMLTKNHPFFBE66CA,林德官段一小段,24.48,都市：住,持分移轉
RPQNMLSKNHPFFBE68CA,五權段,9.44,都市：商,持分移轉
RPQNMLSKNHPFFBE68CA,五權段,6.34,都市：住,持分移轉
RPQOMLLLNHPFFBE18CA,新興段四小段,11.46,都市：商,持分移轉
RPWNMLKLNHPFFBE58CA,五權段,18.13,都市：住,持分移轉
RPROMLOKNHPFFCE58CA,坪頂段,120.97,都市：住,全筆移轉
RPTNMLOKNHPFFCE68CA,鎮昌段,41.67,都市：住,持分移轉
RPXNMLPLNHPFFBE56CA,成功段,3.76,都市：商,持分移轉
RPUNMLOKNHPFFCE78CA,鎮昌段一小段,2.77,都市：商,持分移轉
RPUNMLOKNHPFFCE78CA,鎮昌段一小段,12.04,都市：商,持分移轉
RPOOMLNKNHPFFDE28CA,大港段,30.00,都市：住,持分移轉
RPPNMLMJOHPFFCE08CA,瑞隆段二小段,26.35,都市：住,持分移轉
RPPNMLMJOHPFFCE08CA,瑞隆段二小段,2.02,都市：商,持分移轉
RPQOMLNKNHPFFDE48CA,獅頭段一小段,21.02,都市：住,持分移轉
RPPNMLOKNHPFFCE28CA,瑞隆段二小段,18.58,都市：住,持分移轉
RPXNMLNJOHPFFCE98CA,鎮昌段,242.00,都市：住,全筆移轉
RPVNMLMKNHPFFDE78CA,三塊厝段四小段,49.00,都市：住,全筆移轉
RPQOMLLLNHPFFCE28CA,愛群段,14.95,都市：商,持分移轉
RPROMLLLNHPFFCE38CA,愛群段,29.91,都市：商,持分移轉
RPSOMLLJOHPFFCE38CA,瑞隆段三小段,42.50,都市：住,持分移轉
RPXOMLSKNHPFFDE07CA,鼎盛段,45.02,都市：其他:公設保留地(公園用地),持分移轉
RPROMLMJOHPFFDE48CA,中華段二小段,5.67,都市：商,持分移轉
RPUNMLNKNHPFFCE68CA,坪頂段,180.06,都市：住,全筆移轉
RPSNMLNKNHPFFCE48CA,坪頂段,156.13,都市：住,全筆移轉
RPQQMLMJOHPFFDE58CA,覆鼎金段覆鼎金小段,13.65,都市：住,持分移轉
RPVPMLNKNHPFFDE09CA,三塊厝段,25.00,都市：其他:道路用地,全筆移轉
RPRPMLOKNHPFFDE78CA,灣復段,5.67,都市：商,持分移轉
RPQPMLNKNHPFFDE58CA,鼎泰段,53.98,都市：住,持分移轉
RPUOMLOKNHPFFDE98CA,鼎泰段,3.06,都市：住,持分移轉
RPQRMLPKNHPFFDE98CA,獅頭段一小段,1050.82,都市：商,持分移轉
RPTOMLOKNHPFFDE88CA,獅頭段,3.62,都市：商,持分移轉
RPOQMLLKOHPFFDE38CA,灣華段,25.51,都市：住,持分移轉
RPVNMLMKNHPFFEE88CA,左南段,17.02,都市：住,持分移轉
RPPRMLMJOHPFFDE58CA,覆鼎金段覆鼎金小段,12.09,都市：住,持分移轉
RPQRMLMJOHPFFDE68CA,覆鼎金段覆鼎金小段,18.59,都市：住,持分移轉
RPRQMLMJOHPFFDE68CA,覆鼎金段覆鼎金小段,13.65,都市：住,持分移轉
RPSQMLMJOHPFFDE78CA,覆鼎金段覆鼎金小段,18.59,都市：住,持分移轉
RPVQMLMJOHPFFDE09CA,覆鼎金段覆鼎金小段,19.76,都市：住,持分移轉
RPTQMLMJOHPFFDE88CA,覆鼎金段覆鼎金小段,13.65,都市：住,持分移轉
RPXQMLMJOHPFFDE66CA,覆鼎金段覆鼎金小段,13.65,都市：住,持分移轉
RPXNMLMKNHPFFEE09CA,新福段十小段,105.74,都市：住,持分移轉
RPWQMLMJOHPFFDE56CA,覆鼎金段覆鼎金小段,18.59,都市：住,持分移轉
RPUQMLMJOHPFFDE98CA,覆鼎金段覆鼎金小段,19.76,都市：住,持分移轉
RPRNMLNKNHPFFEE58CA,左南段,105.00,都市：住,全筆移轉
RPPPMLOKNHPFFEE68CA,後段,4.50,都市：住,持分移轉
RPPPMLOKNHPFFEE68CA,後段,16.20,都市：住,持分移轉
RPPPMLOKNHPFFEE68CA,後段,.45,都市：住,持分移轉
RPVNMLPKNHPFFEE56CA,楠梓段三小段,12.69,都市：商,持分移轉
RPOOMLPKNHPFFEE58CA,新光段,10.65,都市：商,持分移轉
RPROMLNKNHPFFEE68CA,新庄段四小段,78.00,都市：住,全筆移轉
RPQNMLQKNHPFFEE78CA,新福段九小段,11.92,都市：商,持分移轉
RPOOMLOKNHPFFEE48CA,新光段,3.44,都市：商,持分移轉
RPOQMLMJOHPFFEE48CA,土庫段二小段,106.00,都市：住,全筆移轉
RPOOMLMLNHPFFEE38CA,新夏段,33.24,都市：住,持分移轉
RPUNMLMKNHPFFFE88CA,梓中段,240.14,都市：商,全筆移轉
RPUNMLMKNHPFFFE88CA,梓中段,51.16,都市：其他:道,持分移轉
RPPQMLPJOHPFFEE88CA,右昌段六小段,1.26,都市：其他:道路用地,持分移轉
RPPQMLPJOHPFFEE88CA,右昌段六小段,30.49,都市：住,持分移轉
RPXNMLMKNHPFFFE56CA,中崙段,61.34,都市：住,全筆移轉
RPOPMLTLNHPFFEE56CA,楠都段三小段,.03,都市：其他:道路用地,持分移轉
RPOPMLTLNHPFFEE56CA,楠都段三小段,4.66,都市：商,持分移轉
RPSNMLNJOHPFFEE68CA,楠梓段一小段,110.00,都市：住,全筆移轉
RPSNMLNJOHPFFEE68CA,楠梓段一小段,4.79,都市：住,持分移轉
RPOOMLPLNHPFFEE68CA,新光段,13.95,都市：商,持分移轉
RPSOMLTKNHPFFEE76CA,清豐段,.67,都市：住,持分移轉
RPSOMLTKNHPFFEE76CA,清豐段,5.27,都市：商,持分移轉
RPSQMLSKNHPFFEE86CA,新庄段十二小段,10.52,都市：住,持分移轉
RPRPMLKLNHPFFEE58CA,援中段一小段,233.38,都市：住,持分移轉
RPSNMLMLNHPFFEE68CA,福山段,11.81,都市：商,持分移轉
RPVRMLLLNHPFFEE66CA,援中段一小段,12.94,都市：住,持分移轉
RPXNMLKLNHPFFFE09CA,信義段,85.38,都市：住,持分移轉
RPRNMLPKNHPFFFE88CA,程香段,627.00,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPQNMLPKNHPFFFE78CA,程香段,2400.00,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPPNMLTKNHPFFFE09CA,瓊東段,50.73,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPPNMLTKNHPFFFE09CA,瓊東段,98.39,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPWNMLNKNHPFFGE66CA,中興段,82.63,都市：住,全筆移轉
RPWNMLNKNHPFFGE66CA,中興段,2.65,都市：住,全筆移轉
RPWNMLNKNHPFFGE66CA,中興段,6.12,都市：其他:公共設施道路用地,全筆移轉
RPVNMLNKNHPFFGE56CA,道爺段,33.00,都市：商,全筆移轉
RPVNMLNKNHPFFGE56CA,道爺段,22.00,都市：商,全筆移轉
RPVNMLNKNHPFFGE56CA,道爺段,19.00,都市：商,全筆移轉
RPSNMLNKNHPFFGE88CA,竹子腳段,32.73,都市：住,持分移轉
RPTOMLMKNHPFFGE98CA,保成段,90.27,都市：住,全筆移轉
RPROMLKLNHPFFFE58CA,嘉興段,1202.00,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPRNMLMJOHPFFFE58CA,甲圍段,84.75,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPXNMLTKNHPFFFE27CA,新莊段,1.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPXNMLTKNHPFFFE27CA,新莊段,62.27,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPXNMLTKNHPFFFE27CA,新莊段,13.81,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPXNMLTKNHPFFFE27CA,新莊段,127.16,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPSNMLKLNHPFFFE58CA,海城段,72.80,都市：農,全筆移轉
RPQNMLNKNHPFFIE88CA,大竹段,26.49,都市：其他:排水溝用地,持分移轉
RPQNMLNKNHPFFIE88CA,大竹段,3.79,都市：其他:道路用地,持分移轉
RPQNMLNKNHPFFIE88CA,大竹段,27.09,都市：住,持分移轉
RPQNMLNKNHPFFIE88CA,大竹段,8.50,都市：其他:道路用地,持分移轉
RPWNMLQLNHPFFIE27CA,草潭段,99.94,都市：住,全筆移轉
RPTNMLPKNHPFFHE66CA,東平段,31.08,非都市：特定農業區 ; 非都市編定：丁種建築用地,全筆移轉
RPTNMLPKNHPFFHE66CA,東平段,115.79,非都市：特定農業區 ; 非都市編定：丁種建築用地,全筆移轉
RPTNMLPKNHPFFHE66CA,東平段,368.63,非都市：特定農業區 ; 非都市編定：丁種建築用地,全筆移轉
RPTNMLPKNHPFFHE66CA,東平段,103.50,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPTNMLPKNHPFFHE66CA,東平段,238.41,非都市：特定農業區 ; 非都市編定：丁種建築用地,全筆移轉
RPTNMLPKNHPFFHE66CA,東平段,122.86,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPTNMLPKNHPFFHE66CA,東平段,51.06,非都市：特定農業區 ; 非都市編定：丁種建築用地,全筆移轉
RPRNMLLJOHPFFGE58CA,文山段,49.53,都市：住,持分移轉
RPUNMLSLNHPFFIE27CA,仁龍段,366.81,都市：農,全筆移轉
RPUNMLSLNHPFFIE27CA,仁龍段,10356.62,都市：農,全筆移轉
RPUNMLSLNHPFFIE27CA,仁龍段,3284.47,都市：農,全筆移轉
RPPNMLKMNHPFFIE68CA,大腿段,21.43,都市：工,持分移轉
RPPNMLKMNHPFFIE68CA,大腿段,59.19,都市：工,持分移轉
RPPNMLKMNHPFFIE68CA,大腿段,227.00,都市：工,全筆移轉
RPPNMLKMNHPFFIE68CA,大腿段,15.00,都市：工,全筆移轉
RPPNMLKMNHPFFIE68CA,大腿段,2.17,都市：其他:河川地,持分移轉
RPPNMLKMNHPFFIE68CA,大腿段,2.95,都市：其他:道路用地,持分移轉
RPRNMLOJOHPFFIE09CA,大昌段,32.34,都市：住,持分移轉
RPQNMLQKNHPFFGE98CA,道爺段,42.58,都市：住,持分移轉
RPSNMLSLNHPFFJE17CA,華正段,118.07,非都市：一般農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPQNMLLLNHPFFGE58CA,文英段,25.00,都市：住,持分移轉
RPPNMLLLNHPFFGE48CA,華鳳段,21.15,都市：住,持分移轉
RPPNMLLLNHPFFGE48CA,華鳳段,2.73,都市：住,持分移轉
RPPNMLQKNHPFFGE88CA,中崙段,39.44,都市：住,持分移轉
RPPNMLQKNHPFFGE88CA,中崙段,.08,都市：住,持分移轉
RPPNMLOKNHPFFKE09CA,美濃段二小段,114.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPPNMLMKNHPFFKE88CA,龍中段,1395.00,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPVNMLNKNHPFFJE86CA,中華段,2421.65,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPXNMLNKNHPFFJE07CA,工專段,120.47,都市：住,全筆移轉
RPWNMLNKNHPFFJE96CA,青安段,109.81,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPTNMLKLNHPFFKE56CA,美濃段,635.00,非都市：特定農業區 ; 非都市編定：農牧用地,持分移轉
RPQNMLKLNHPFFGE48CA,鳳甲段,6.27,都市：住,持分移轉
RPROMLKLNHPFFGE68CA,赤山段,15.57,都市：商,持分移轉
RPSNMLKLNHPFFGE68CA,鳳甲段,33.44,都市：住,持分移轉
RPSNMLMLNHPFFKE66CA,瀰濃段,8.71,都市：其他:道路用地,持分移轉
RPTNMLMLNHPFFKE76CA,瀰濃段,8.71,都市：其他:道路用地,持分移轉
RPRNMLMLNHPFFKE56CA,瀰濃段,8.71,都市：其他:道路用地,持分移轉
RPXNMLOKNHPFFLE37CA,溪州段,29.64,都市：住,持分移轉
RPUNMLOKNHPFFLE07CA,林子邊段,120.00,都市：住,全筆移轉
RPUNMLNLNHPFFLE07CA,翁公園段,36.49,都市：商,持分移轉
RPRNMLMKNHPFFDE48DA,鼎中段,59.87,都市：住,全筆移轉
