編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPVNMLLLNHPFFBE68CB,苓洲段,4.95,都市：商,持分移轉
RPRPMLLLNHPFFBE48CB,苓洲段,4.99,都市：商,持分移轉
RPPPMLLLNHPFFBE28CB,苓洲段,5.25,都市：商,持分移轉
RPTPMLLLNHPFFBE68CB,苓洲段,4.31,都市：商,持分移轉
RPWPMLLLNHPFFBE98CB,苓洲段,5.25,都市：商,持分移轉
RPRQMLLLNHPFFBE58CB,苓洲段,4.31,都市：商,持分移轉
RPTQMLLLNHPFFBE78CB,苓洲段,4.95,都市：商,持分移轉
RPVQMLLLNHPFFBE98CB,苓洲段,5.25,都市：商,持分移轉
RPSNMLNLNHPFFBE58CB,苓洲段,4.99,都市：商,持分移轉
RPTNMLNLNHPFFBE68CB,苓洲段,4.31,都市：商,持分移轉
RPUNMLNLNHPFFBE78CB,苓洲段,4.95,都市：商,持分移轉
RPWNMLNLNHPFFBE98CB,苓洲段,6.18,都市：商,持分移轉
RPXNMLNLNHPFFBE09CB,苓洲段,4.99,都市：商,持分移轉
RPOOMLNLNHPFFBE28CB,苓洲段,4.31,都市：商,持分移轉
RPQOMLNLNHPFFBE48CB,苓洲段,4.95,都市：商,持分移轉
RPTPMLKLNHPFFBE58CB,苓洲段,6.18,都市：商,持分移轉
RPSPMLKLNHPFFBE48CB,苓洲段,5.25,都市：商,持分移轉
RPOQMLKLNHPFFBE18CB,苓洲段,4.31,都市：商,持分移轉
RPRPMLKLNHPFFBE38CB,苓洲段,4.95,都市：商,持分移轉
RPROMLNLNHPFFBE58CB,苓洲段,5.25,都市：商,持分移轉
RPTOMLNLNHPFFBE78CB,苓洲段,4.31,都市：商,持分移轉
RPSOMLNLNHPFFBE68CB,苓洲段,4.99,都市：商,持分移轉
RPOPMLKLNHPFFBE08CB,苓洲段,4.99,都市：商,持分移轉
RPXOMLKLNHPFFBE88CB,苓洲段,6.18,都市：商,持分移轉
RPPPMLKLNHPFFBE18CB,苓洲段,4.31,都市：商,持分移轉
RPWOMLPLNHPFFBE66CB,苓洲段,4.95,都市：住,持分移轉
RPSPMLPLNHPFFBE98CB,苓洲段,4.95,都市：商,持分移轉
RPPPMLPLNHPFFBE68CB,苓洲段,4.43,都市：商,持分移轉
RPRPMLPLNHPFFBE88CB,苓洲段,6.18,都市：商,持分移轉
RPTPMLPLNHPFFBE09CB,苓洲段,6.18,都市：商,持分移轉
RPVPMLPLNHPFFBE66CB,苓洲段,6.18,都市：商,持分移轉
RPQPMLPLNHPFFBE78CB,苓洲段,4.99,都市：商,持分移轉
RPUPMLPLNHPFFBE56CB,苓洲段,4.99,都市：商,持分移轉
RPXPMLPLNHPFFBE86CB,苓洲段,5.25,都市：商,持分移轉
RPWPMLPLNHPFFBE76CB,苓洲段,5.25,都市：商,持分移轉
RPOQMLPLNHPFFBE68CB,苓洲段,6.18,都市：商,持分移轉
RPPQMLPLNHPFFBE78CB,苓洲段,4.99,都市：商,持分移轉
RPQQMLPLNHPFFBE88CB,苓洲段,4.31,都市：商,持分移轉
RPSQMLPLNHPFFBE09CB,苓洲段,5.25,都市：商,持分移轉
RPRQMLPLNHPFFBE98CB,苓洲段,4.95,都市：商,持分移轉
RPXQMLPLNHPFFBE96CB,苓洲段,5.25,都市：商,持分移轉
RPORMLPLNHPFFBE78CB,苓洲段,6.18,都市：商,持分移轉
RPTQMLPLNHPFFBE56CB,苓洲段,6.18,都市：商,持分移轉
RPSPMLRLNHPFFBE56CB,苓洲段,4.99,都市：商,持分移轉
RPUQMLPLNHPFFBE66CB,苓洲段,4.31,都市：商,持分移轉
RPVQMLPLNHPFFBE76CB,苓洲段,4.95,都市：商,持分移轉
RPSNMLSLNHPFFBE09CB,苓洲段,4.31,都市：商,持分移轉
RPTNMLSLNHPFFBE56CB,苓洲段,5.25,都市：商,持分移轉
RPUNMLSLNHPFFBE66CB,苓洲段,4.99,都市：商,持分移轉
RPVNMLSLNHPFFBE76CB,苓洲段,4.31,都市：商,持分移轉
RPOOMLSLNHPFFBE78CB,苓洲段,4.31,都市：商,持分移轉
RPWNMLSLNHPFFBE86CB,苓洲段,6.18,都市：商,持分移轉
RPROMLSLNHPFFBE09CB,苓洲段,4.99,都市：商,持分移轉
RPXNMLSLNHPFFBE96CB,苓洲段,4.99,都市：商,持分移轉
RPQOMLSLNHPFFBE98CB,苓洲段,6.18,都市：商,持分移轉
RPPOMLSLNHPFFBE88CB,苓洲段,5.25,都市：商,持分移轉
RPSOMLSLNHPFFBE56CB,苓洲段,4.31,都市：商,持分移轉
RPTOMLSLNHPFFBE66CB,苓洲段,4.95,都市：商,持分移轉
RPVOMLSLNHPFFBE86CB,苓洲段,5.25,都市：商,持分移轉
RPVNMLLJOHPFFBE58CB,苓洲段,6.18,都市：商,持分移轉
RPWNMLLJOHPFFBE68CB,苓洲段,4.99,都市：商,持分移轉
RPWOMLSLNHPFFBE96CB,苓洲段,6.18,都市：商,持分移轉
RPPOMLLJOHPFFBE08CB,苓洲段,6.18,都市：商,持分移轉
RPXOMLSLNHPFFBE07CB,苓洲段,4.99,都市：商,持分移轉
RPOPMLSLNHPFFBE88CB,苓洲段,4.31,都市：商,持分移轉
RPQOMLLJOHPFFBE18CB,苓洲段,5.25,都市：商,持分移轉
RPROMLLJOHPFFBE28CB,苓洲段,4.95,都市：商,持分移轉
RPPPMLSLNHPFFBE98CB,苓洲段,4.95,都市：商,持分移轉
RPQPMLSLNHPFFBE09CB,苓洲段,5.25,都市：商,持分移轉
RPSOMLLJOHPFFBE38CB,苓洲段,4.95,都市：商,持分移轉
RPTOMLLJOHPFFBE48CB,苓洲段,4.95,都市：商,持分移轉
