編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPOMLRLNHPFFAF68CA,大庭段,59.00,都市：住,全筆移轉
RPSPMLTLNHPFFAF66CA,重慶段,10.20,都市：商,持分移轉
RPSPMLTLNHPFFAF66CA,重慶段,10.70,都市：商,持分移轉
RPQNMLTKNHPFFAF78CA,光環段,13.52,都市：住,持分移轉
RPXNMLNKNHPFFAF88CA,大庭段,87.00,都市：住,全筆移轉
RPSNMLNKNHPFFAF38CA,篤行段,11.86,都市：住,持分移轉
RPSNMLNKNHPFFAF38CA,篤行段,20.72,都市：住,持分移轉
RPPPMLNKNHPFFAF28CA,江翠段,6.61,都市：商,持分移轉
RPOOMLNKNHPFFAF08CA,振興段,36.30,都市：住,持分移轉
RPTQMLNJOHPFFAF78CA,光華段,21.33,都市：住,持分移轉
RPVQMLNJOHPFFAF98CA,光華段,19.58,都市：住,持分移轉
RPVQMLLKNHPFFBF88CA,瓊林段,95.83,都市：其他:道路用地,持分移轉
RPRNMLMKNHPFFAF18CA,光仁段,24.18,都市：工,持分移轉
RPTNMLMKNHPFFAF38CA,新興段,3.20,都市：商,持分移轉
RPQNMLMKNHPFFAF08CA,新興段,9.74,都市：商,持分移轉
RPQNMLMKNHPFFAF08CA,新興段,.02,都市：其他:道路用地,持分移轉
RPORMLNJOHPFFAF38CA,光華段,.93,都市：住,持分移轉
RPSPMLPJOHPFFAF78CA,江子翠段溪頭小段,14.99,都市：住,持分移轉
RPRQMLMKNHPFFBF58CA,和平段,13.81,都市：住,持分移轉
RPROMLMKNHPFFBF38CA,四維段,8.69,都市：住,持分移轉
RPRPMLPJOHPFFAF68CA,江子翠段溪頭小段,14.11,都市：住,持分移轉
RPTOMLMKNHPFFBF58CA,昌隆段,12.07,都市：其他:市場用地,持分移轉
RPPOMLNKNHPFFBF28CA,龍鳳段,1.75,都市：住,持分移轉
RPVQMLMKNHPFFBF98CA,公館段,662.95,都市：工,全筆移轉
RPVQMLMKNHPFFBF98CA,公館段,23.11,都市：其他:道路用地,全筆移轉
RPQNMLNKNHPFFBF28CA,建林段,58.98,都市：住,持分移轉
RPOPMLNKNHPFFBF28CA,丹鳳段,21.16,都市：住,持分移轉
RPWOMLNKNHPFFBF98CA,光榮段,9.95,都市：住,持分移轉
RPXOMLNKNHPFFBF09CA,光榮段,9.95,都市：住,持分移轉
RPTOMLNKNHPFFBF68CA,光榮段,12.87,都市：住,持分移轉
RPVOMLNKNHPFFBF88CA,光榮段,9.95,都市：住,持分移轉
RPSOMLNKNHPFFBF58CA,光榮段,12.87,都市：住,持分移轉
RPSRMLMKNHPFFBF78CA,力行段,9.60,都市：住,持分移轉
RPTQMLNKNHPFFBF88CA,國宅段,26.52,都市：住,持分移轉
RPPQMLOKNHPFFBF58CA,文程段,9.96,都市：其他,持分移轉
RPPQMLOKNHPFFBF58CA,文程段,.16,都市：其他,持分移轉
RPPQMLOKNHPFFBF58CA,文程段,.03,都市：其他,持分移轉
RPXSMLSKNHPFFBF37CA,瓊林段,31.66,都市：住,持分移轉
RPPUMLSKNHPFFBF76CA,芳洲段,.28,都市：住,持分移轉
RPUNMLLLNHPFFBF58CA,力行段,884.45,都市：住,全筆移轉
RPORMLLLNHPFFBF38CA,同榮段,19.33,都市：住,持分移轉
RPORMLLLNHPFFBF38CA,同榮段,.01,都市：住,持分移轉
