編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPPMLTKNHPFFAF98CB,永翠段,13.63,都市：住,持分移轉
RPTOMLTKNHPFFAF66CB,永翠段,13.63,都市：住,持分移轉
RPUOMLTKNHPFFAF76CB,永翠段,13.63,都市：住,持分移轉
RPXNMLTKNHPFFAF96CB,永翠段,20.45,都市：住,持分移轉
RPOOMLTKNHPFFAF78CB,永翠段,20.45,都市：住,持分移轉
RPWOMLTKNHPFFAF96CB,永翠段,13.63,都市：住,持分移轉
RPXOMLTKNHPFFAF07CB,永翠段,13.63,都市：住,持分移轉
RPROMLTKNHPFFAF09CB,永翠段,13.63,都市：住,持分移轉
RPTQMLTKNHPFFAF86CB,永翠段,20.02,都市：住,持分移轉
RPORMLTKNHPFFAF09CB,永翠段,20.02,都市：住,持分移轉
RPUPMLTKNHPFFAF86CB,永翠段,13.63,都市：住,持分移轉
RPXQMLTKNHPFFAF27CB,永翠段,20.45,都市：住,持分移轉
RPPQMLTKNHPFFAF09CB,永翠段,13.63,都市：住,持分移轉
RPRPMLTKNHPFFAF56CB,永翠段,13.63,都市：住,持分移轉
RPSRMLTKNHPFFAF86CB,永翠段,20.02,都市：住,持分移轉
RPWPMLTKNHPFFAF07CB,永翠段,13.63,都市：住,持分移轉
RPPRMLTKNHPFFAF56CB,永翠段,20.02,都市：住,持分移轉
RPQRMLTKNHPFFAF66CB,永翠段,20.02,都市：住,持分移轉
RPTRMLTKNHPFFAF96CB,永翠段,20.02,都市：住,持分移轉
RPRRMLTKNHPFFAF76CB,永翠段,20.02,都市：住,持分移轉
RPURMLTKNHPFFAF07CB,永翠段,20.02,都市：住,持分移轉
RPUNMLTKNHPFFAF66CB,永翠段,20.45,都市：住,持分移轉
RPWNMLTKNHPFFAF86CB,永翠段,20.45,都市：住,持分移轉
RPWSMLTKNHPFFAF37CB,永翠段,12.78,都市：住,持分移轉
RPPTMLTKNHPFFAF76CB,永翠段,12.78,都市：住,持分移轉
RPSTMLTKNHPFFAF07CB,永翠段,12.78,都市：住,持分移轉
RPPSMLTKNHPFFAF66CB,永翠段,20.02,都市：住,持分移轉
RPTSMLTKNHPFFAF07CB,永翠段,12.78,都市：住,持分移轉
RPRTMLTKNHPFFAF96CB,永翠段,12.78,都市：住,持分移轉
RPVRMLTKNHPFFAF17CB,永翠段,20.02,都市：住,持分移轉
RPVSMLTKNHPFFAF27CB,永翠段,12.78,都市：住,持分移轉
RPXRMLTKNHPFFAF37CB,永翠段,20.02,都市：住,持分移轉
RPWTMLTKNHPFFAF47CB,永翠段,12.78,都市：住,持分移轉
RPPUMLTKNHPFFAF86CB,永翠段,12.78,都市：住,持分移轉
RPOTMLTKNHPFFAF66CB,永翠段,12.78,都市：住,持分移轉
RPOUMLTKNHPFFAF76CB,永翠段,12.78,都市：住,持分移轉
RPRUMLTKNHPFFAF07CB,永翠段,12.78,都市：住,持分移轉
RPPVMLTKNHPFFAF96CB,永翠段,23.43,都市：住,持分移轉
RPOVMLTKNHPFFAF86CB,永翠段,15.76,都市：住,持分移轉
RPUTMLTKNHPFFAF27CB,永翠段,12.78,都市：住,持分移轉
RPSUMLTKNHPFFAF17CB,永翠段,12.78,都市：住,持分移轉
RPXVMLTKNHPFFAF77CB,永翠段,20.45,都市：住,持分移轉
RPQWMLTKNHPFFAF17CB,永翠段,11.08,都市：住,持分移轉
RPTOMLKLNHPFFAF48CB,永翠段,11.50,都市：住,持分移轉
RPQOMLKLNHPFFAF18CB,永翠段,26.41,都市：住,持分移轉
RPPPMLKLNHPFFAF18CB,永翠段,11.50,都市：住,持分移轉
RPTPMLKLNHPFFAF58CB,永翠段,17.89,都市：住,持分移轉
RPXOMLKLNHPFFAF88CB,永翠段,11.50,都市：住,持分移轉
RPRPMLKLNHPFFAF38CB,永翠段,11.50,都市：住,持分移轉
RPPRMLKLNHPFFAF38CB,永翠段,20.45,都市：住,持分移轉
RPOQMLKLNHPFFAF18CB,永翠段,20.02,都市：住,持分移轉
RPVPMLKLNHPFFAF78CB,永翠段,20.45,都市：住,持分移轉
RPRRMLKLNHPFFAF58CB,永翠段,12.78,都市：住,持分移轉
RPWOMLKLNHPFFAF78CB,永翠段,11.50,都市：住,持分移轉
RPVOMLLLNHPFFAF78CB,永翠段,23.01,都市：住,持分移轉
RPXOMLLLNHPFFAF98CB,永翠段,23.01,都市：住,持分移轉
RPTOMLLLNHPFFAF58CB,永翠段,23.01,都市：住,持分移轉
RPPQMLLLNHPFFAF38CB,永翠段,23.43,都市：住,持分移轉
RPPPMLLLNHPFFAF28CB,永翠段,23.43,都市：住,持分移轉
RPRQMLLLNHPFFAF58CB,永翠段,23.43,都市：住,持分移轉
RPOPMLLLNHPFFAF18CB,永翠段,23.01,都市：住,持分移轉
RPWPMLLLNHPFFAF98CB,永翠段,23.43,都市：住,持分移轉
RPXPMLLLNHPFFAF09CB,永翠段,23.43,都市：住,持分移轉
RPTQMLLLNHPFFAF78CB,永翠段,23.43,都市：住,持分移轉
RPPRMLLLNHPFFAF48CB,永翠段,11.08,都市：住,持分移轉
RPTRMLLLNHPFFAF88CB,永翠段,11.08,都市：住,持分移轉
RPORMLLLNHPFFAF38CB,永翠段,19.60,都市：住,持分移轉
RPQRMLLLNHPFFAF58CB,永翠段,11.08,都市：住,持分移轉
RPURMLLLNHPFFAF98CB,永翠段,11.08,都市：住,持分移轉
RPOSMLLLNHPFFAF48CB,永翠段,11.08,都市：住,持分移轉
RPQSMLLLNHPFFAF68CB,永翠段,11.08,都市：住,持分移轉
RPSRMLLLNHPFFAF78CB,永翠段,11.08,都市：住,持分移轉
RPWRMLLLNHPFFAF56CB,永翠段,11.08,都市：住,持分移轉
RPRSMLLLNHPFFAF78CB,永翠段,11.08,都市：住,持分移轉
RPSSMLLLNHPFFAF88CB,永翠段,24.71,都市：住,持分移轉
RPVSMLLLNHPFFAF56CB,永翠段,11.50,都市：住,持分移轉
RPUSMLLLNHPFFAF09CB,永翠段,11.08,都市：住,持分移轉
RPOTMLLLNHPFFAF58CB,永翠段,20.45,都市：住,持分移轉
RPXSMLLLNHPFFAF76CB,永翠段,20.45,都市：住,持分移轉
RPQTMLLLNHPFFAF78CB,永翠段,20.45,都市：住,持分移轉
RPUOMLMLNHPFFHF96DB,安平段,3.76,都市：住,持分移轉
RPUOMLMLNHPFFHF96DB,安平段,4.17,都市：住,持分移轉
RPUOMLMLNHPFFHF96DB,安平段,3.24,都市：住,持分移轉
RPUOMLMLNHPFFHF96DB,安平段,2.24,都市：住,持分移轉
RPVOMLMLNHPFFHF07DB,安平段,3.76,都市：住,持分移轉
RPVOMLMLNHPFFHF07DB,安平段,4.17,都市：住,持分移轉
RPVOMLMLNHPFFHF07DB,安平段,3.24,都市：住,持分移轉
RPVOMLMLNHPFFHF07DB,安平段,2.24,都市：住,持分移轉
RPVNMLMLNHPFFCF98CB,斯馨段,27.80,都市：住,持分移轉
RPRNMLNLNHPFFAF48CB,永翠段,19.60,都市：住,持分移轉
