鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
五股區,建物,新北市五股區登林路61~90號,0.0,住,,,1090508,土地0建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900611,66.12,1,1,1,有,有,有,14800,224,,0.0,0,國家住宅及都市更新中心-社會住宅包租代管 第二期計畫,RPRPMLLKNHPFFBF58CC
板橋區,建物,新北市板橋區民生路二段181~210號,0.0,住,,,1090424,土地0建物1車位0,一層,12,店面(店鋪),見其他登記事項,鋼筋混凝土造,0911025,106.68,0,0,0,無,有,無,40000,375,,0.0,0,,RPVNMLLKNHPFFAF68CC
板橋區,建物,新北市板橋區國慶路211~240號,0.0,住,,,1090430,土地0建物0車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830914,29.21,4,1,4,有,有,有,12000,411,,0.0,0,含管理費、稅金或水電等費用。;,RPWNMLLKNHPFFAF78CC
土城區,建物,新北市土城區裕民路61~90號,0.0,住,,,1090508,土地0建物1車位0,見其他登記事項,12,店面(店鋪),住商用,鋼筋混凝土造,0830301,152.47,0,0,0,無,無,無,113520,745,,0.0,0,,RPVPMLLKNHPFFAF88CC
板橋區,建物,新北市板橋區文化路一段188巷9弄61~90號,0.0,住,,,1090424,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,加強磚造,,81.27,2,1,1,有,無,有,16200,199,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為21434，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，房東願以較低的金額出租，故實際租賃契約金額為16200。,RPXPMLLKNHPFFAF09CC
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段91~120號,18.15,住,,,1090508,土地1建物1車位1,二層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,123.75,2,2,2,有,有,有,16500,133,坡道平面,0.0,0,,RPTOMLLKNHPFFEF98CC
八里區,建物,新北市八里區文昌七街181~210號,0.0,住,,,1090425,土地0建物1車位0,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080729,129.23,3,1,2,有,有,有,18000,139,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為27011，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，房東願以較低的金額出租，故實際租賃契約金額為18000。機車位為無償使用。,RPTQMLLKNHPFFEF56CC
淡水區,房地(土地+建物),新北市淡水區新春街121~150號,14.55,住,,,1090415,土地2建物6車位0,,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030423,79.69,2,2,1,有,無,無,16000,201,,0.0,0,,RPWQMLLKNHPFFEF86CC
淡水區,建物,新北市淡水區新市一路三段101巷91~120號,0.0,住,,,1090420,土地0建物1車位0,十三層,15,套房(1房1廳1衛),住家用,鋼筋混凝土造,1000922,56.78,1,1,1,有,有,有,15000,264,,0.0,0,租金含管理費。,RPTRMLLKNHPFFEF66CC
