編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPTRMLLKNHPFFEF66CC,公司田段,.00,都市：住,全筆移轉
RPTOMLLKNHPFFEF98CC,公司田段,18.15,都市：住,全筆移轉
RPTQMLLKNHPFFEF56CC,中庄段,.00,都市：住,全筆移轉
RPWQMLLKNHPFFEF86CC,新興段,14.49,都市：住,全筆移轉
RPWQMLLKNHPFFEF86CC,新興段,.06,都市：住,全筆移轉
RPUOMLLKNHPFFHF76CC,新和段,.00,都市：住,全筆移轉
RPTOMLLKNHPFFHF66CC,福和段,.00,都市：住,全筆移轉
RPRPMLLKNHPFFBF58CC,福德段,.00,都市：住,全筆移轉
RPPPMLLKNHPFFHF98CC,莊敬段,.00,都市：住,全筆移轉
RPPPMLLKNHPFFHF98CC,莊敬段,.00,都市：商,全筆移轉
RPXOMLLKNHPFFHF07CC,中正段,.00,都市：商,全筆移轉
RPVOMLLKNHPFFHF86CC,德光段,.00,都市：住,全筆移轉
RPTOMLLKNHPFFCF78CC,竹林段,.00,都市：住,全筆移轉
RPXPMLLKNHPFFAF09CC,文化段,.00,都市：住,全筆移轉
RPVPMLLKNHPFFAF88CC,樂利段,.00,都市：住,全筆移轉
RPWNMLLKNHPFFAF78CC,和平段,.00,都市：住,全筆移轉
RPVNMLLKNHPFFAF68CC,文化段,.00,都市：住,全筆移轉
RPRNMLLKNHPFFCF48CC,行政段,14.52,都市：住,全筆移轉
RPQPMLLKNHPFFIF56CC,大埔段二鬮小段,123.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,全筆移轉
RPPOMLLKNHPFFCF38CC,復興段,320.42,都市：工,全筆移轉
RPUNMLLKNHPFFHF76DC,信義段,2.69,都市：商,全筆移轉
RPUNMLLKNHPFFHF76DC,信義段,1.32,都市：住,全筆移轉
RPRSMLMKNHPFFGF86CC,二重段,.00,都市：住,全筆移轉
RPQNMLMKNHPFFCF48CC,民安段,22.93,都市：住,全筆移轉
RPTNMLLKNHPFFEF09EC,舊小基隆段四棧橋小段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,全筆移轉
RPQNMLLKNHPFFAF38EC,新雅段,.00,都市：住,全筆移轉
RPOPMLMKNHPFFHF98CC,大智段,.00,都市：住,全筆移轉
RPRPMLMKNHPFFEF98CC,新興段,13.30,都市：住,全筆移轉
RPPRMLMKNHPFFGF76EC,過田段,.00,都市：商,全筆移轉
RPROMLMKNHPFFIF66CC,中華段,16.62,都市：住,全筆移轉
RPOOMLMKNHPFFIF98CC,大學段二小段,9.09,都市：商,全筆移轉
RPROMLMKNHPFFCF68CC,安德段,.00,都市：住,全筆移轉
RPXNMLMKNHPFFAF98CC,大庭段,.00,都市：住,全筆移轉
RPPPMLMKNHPFFAF38CC,中山段,.00,都市：住,全筆移轉
RPUPMLMKNHPFFAF88CC,力行段,.00,都市：住,全筆移轉
RPSNMLMKNHPFFCF68CC,安德段,12.68,都市：住,全筆移轉
RPPPMLMKNHPFFHF09CC,國光段,.00,都市：住,全筆移轉
RPPPMLMKNHPFFHF09CC,國光段,.00,都市：住,全筆移轉
RPPPMLMKNHPFFHF09CC,國光段,.00,都市：住,全筆移轉
RPPPMLMKNHPFFHF09CC,國光段,.00,都市：住,全筆移轉
RPTPMLMKNHPFFDF09CC,厚德段,.00,都市：住,全筆移轉
RPQNMLMKNHPFFDF58CC,智興段,.00,都市：住,全筆移轉
RPPNMLMKNHPFFDF48CC,智興段,.00,都市：住,全筆移轉
RPQPMLNKNHPFFBF68CC,五工段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,全筆移轉
RPSNMLNKNHPFFBF68CC,御史段,.00,都市：住,全筆移轉
RPRNMLNKNHPFFBF58CC,芳洲段,.00,都市：商,全筆移轉
RPUOMLNKNHPFFBF98CC,五工段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,全筆移轉
RPROMLNKNHPFFAF58CC,民族段,36.40,都市：住,全筆移轉
RPROMLNKNHPFFAF58CC,民族段,6.40,都市：住,全筆移轉
RPTNMLMKNHPFFEF98CC,學府段,.00,都市：住,全筆移轉
RPQQMLNKNHPFFDF98CC,環河段,.00,都市：工,全筆移轉
RPQQMLNKNHPFFDF98CC,環河段,.00,都市：工,全筆移轉
RPTQMLMKNHPFFBF98CC,國宅段,18.12,都市：住,全筆移轉
RPSOMLNKNHPFFAF68CC,幸福段,.00,都市：住,全筆移轉
RPXOMLNKNHPFFAF56CC,光仁段,.00,都市：住,全筆移轉
RPUNMLLKNHPFFEF56EC,海天段,8.96,都市：住,全筆移轉
RPUOMLNKNHPFFEF66CC,新巿段,.00,都市：住,全筆移轉
RPVOMLNKNHPFFEF76CC,新巿段,.00,非都市： ; 非都市編定：,全筆移轉
RPTOMLNKNHPFFEF56CC,公司田段,.00,都市：住,全筆移轉
RPSNMLNKNHPFFEF98CC,中興段,20.11,都市：住,全筆移轉
RPWNMLNKNHPFFEF76CC,海鷗段,13.49,都市：住,全筆移轉
RPWNMLNKNHPFFEF76CC,海鷗段,4.08,都市：住,全筆移轉
RPROMLNKNHPFFHF66CC,民樂段,16.80,都市：住,全筆移轉
RPSOMLNKNHPFFHF76CC,安邦段,.00,都市：工,全筆移轉
RPQPMLNKNHPFFEF98CC,公司田段,.00,都市：住,全筆移轉
RPPOMLNKNHPFFEF78CC,海天段,3.00,都市：住,全筆移轉
RPTNMLNKNHPFFHF96EC,板南段,.00,都市：工,全筆移轉
RPXNMLNKNHPFFHF17CC,新和段,.00,都市：住,全筆移轉
RPPOMLOKNHPFFDF88DC,水源段,20.52,都市：住,全筆移轉
RPPOMLOKNHPFFDF88DC,新峰段,2.50,都市：住,全筆移轉
RPTOMLNKNHPFFHF86CC,圓通段,.00,都市：住,全筆移轉
RPWNMLNKNHPFFHF07CC,福美段,.00,都市：其他,全筆移轉
