編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTOMLLKNHPFFEF98CC,坡道平面,0,,
RPTOMLLKNHPFFCF78CC,坡道機械,2200,16.79,
RPRNMLLKNHPFFCF48CC,坡道平面,5000,36.60,
RPPOMLLKNHPFFCF38CC,一樓平面,0,,
RPOOMLMKNHPFFIF98CC,坡道平面,0,30.05,
RPUPMLMKNHPFFAF88CC,坡道平面,0,31.97,
RPTQMLMKNHPFFBF98CC,坡道平面,0,,
RPUOMLNKNHPFFEF66CC,坡道平面,0,32.40,
RPVOMLNKNHPFFEF76CC,坡道平面,0,,
RPTOMLNKNHPFFEF56CC,坡道平面,0,30.10,
RPROMLNKNHPFFHF66CC,坡道平面,0,36.97,
RPQPMLNKNHPFFEF98CC,坡道機械,0,24.17,
RPPOMLNKNHPFFEF78CC,坡道平面,3000,36.15,
RPPOMLOKNHPFFDF88DC,坡道平面,0,38.24,
RPXNMLOKNHPFFHF27CC,坡道平面,0,30.21,
RPXPMLOKNHPFFEF17CC,坡道平面,0,,
RPXTMLPKNHPFFBF37CC,其他,0,18.19,
RPTQMLOKNHPFFBF56CC,坡道平面,0,,
RPRUMLPKNHPFFBF86CC,坡道平面,0,20.08,
RPPUMLPKNHPFFBF66CC,坡道平面,0,48.65,
RPSPMLPKNHPFFEF76CC,坡道平面,0,33.07,
RPOQMLPKNHPFFEF09CC,坡道平面,0,26.54,
RPOQMLPKNHPFFAF68CC,坡道平面,0,37.94,
RPTQMLPKNHPFFEF96CC,坡道平面,0,30.89,
RPWQMLPKNHPFFEF27CC,坡道平面,1700,27.60,
RPTRMLPKNHPFFGF27CC,坡道平面,0,26.99,
RPWRMLPKNHPFFGF57CC,坡道平面,0,26.99,
RPOSMLPKNHPFFGF86CC,坡道平面,0,23.39,
RPRSMLPKNHPFFGF17CC,坡道平面,0,26.99,
RPVSMLPKNHPFFGF57CC,坡道平面,0,26.99,
RPSSMLPKNHPFFGF27CC,坡道平面,0,26.99,
RPQSMLPKNHPFFGF07CC,坡道平面,0,26.99,
RPWSMLPKNHPFFGF67CC,坡道平面,0,26.99,
RPSNMLSKNHPFFEF86CC,坡道平面,0,35.85,
RPQNMLRKNHPFFEF56CC,坡道平面,0,31.66,
RPUNMLRKNHPFFEF96CC,坡道平面,0,25.58,
RPTNMLSKNHPFFDF86CC,坡道平面,0,31.50,
RPTQMLSKNHPFFDF17CC,坡道平面,0,33.62,
RPWNMLSKNHPFFAF86CC,坡道機械,0,12.64,
RPOPMLSKNHPFFIF07CC,坡道平面,0,36.69,
RPROMLTKNHPFFIF37CC,坡道平面,0,36.82,
RPXOMLTKNHPFFEF57CC,坡道平面,0,29.20,
RPQOMLTKNHPFFDF76CC,坡道平面,0,29.56,
RPOPMLTKNHPFFEF76CC,坡道平面,0,29.88,
RPQPMLTKNHPFFEF96CC,坡道平面,0,25.02,
RPVNMLKLNHPFFIF86CC,坡道平面,0,36.14,
RPQOMLKLNHPFFIF09CC,坡道機械,0,9.12,
RPRPMLKLNHPFFEF88CC,坡道平面,0,35.33,
RPSOMLKLNHPFFGF09CC,坡道平面,0,26.99,
RPTOMLKLNHPFFGF56CC,坡道平面,0,26.99,
RPOQMLLLNHPFFBF48CC,坡道機械,0,14.82,
RPUPMLMLNHPFFEF76CC,坡道平面,0,30.46,
RPWPMLMLNHPFFEF96CC,坡道機械,0,15.54,
RPTNMLMLNHPFFBF78CC,坡道平面,0,38.70,
RPUQMLMLNHPFFEF86CC,坡道平面,0,36.85,
RPPQMLMLNHPFFEF98CC,坡道平面,0,30.04,
RPTQMLMLNHPFFEF76CC,坡道平面,0,30.04,
RPVPMLMLNHPFFEF86CC,坡道平面,0,33.52,
RPSOMLOLNHPFFEF66CC,坡道平面,0,42.94,
RPQOMLOLNHPFFEF09CC,坡道平面,0,30.47,
RPPOMLOLNHPFFEF98CC,坡道機械,0,15.42,
RPSOMLMLNHPFFGF66CC,坡道平面,0,26.99,
RPUNMLPLNHPFFEF86CC,坡道平面,0,30.84,
RPQPMLPLNHPFFEF66CC,坡道平面,2000,34.06,
RPSQMLPLNHPFFEF96CC,坡道平面,0,25.02,
RPRPMLPLNHPFFHF07CC,一樓平面,0,,
RPRPMLPLNHPFFHF07CC,一樓平面,0,,
RPTNMLPLNHPFFEF76CC,坡道機械,0,15.42,
