編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPRNMLKLNHPFFBG48CC,艮門五段,39.54,都市：商,全筆移轉
RPRNMLOKNHPFFAG68CC,東光段,35.00,都市：商,全筆移轉
RPVNMLMKNHPFFBG98CC,艮門五段,.00,都市：商,全筆移轉
RPUPMLTKNHPFFAG07CC,季新段,53.46,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPPNMLSKNHPFFAG88CC,學進段,.00,都市：住,全筆移轉
RPOPMLMKNHPFFAG38CC,石圍段,.00,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPRNMLMLNHPFFAG58CC,羅莊段,.00,都市：住,全筆移轉
RPPNMLLJOHPFFBG28CC,新公園段,91.71,都市：住,全筆移轉
RPPNMLLJOHPFFBG28CC,新公園段,3.39,都市：住,全筆移轉
RPXOMLMKNHPFFAG56CC,信義段,11.03,都市：商,全筆移轉
RPWNMLOJOHPFFAG56CC,羅莊段,22.73,都市：住,全筆移轉
RPPOMLLLNHPFFBG48CC,建業段,.00,都市：住,全筆移轉
RPOOMLSJOHPFFBG98CC,艮門三段,.00,都市：商,全筆移轉
RPRNMLSJOHPFFAG56DC,新協和段,11.30,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPTNMLSLNHPFFBG86CC,女中段,.00,都市：住,全筆移轉
RPUNMLSJOHPFFAG86DC,新西安段,75.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPRNMLLKOHPFFBG58CC,金六結段七結小段,95.00,都市：住,全筆移轉
RPTNMLTJOHPFFAG86DC,公正段,49.00,都市：住,全筆移轉
RPRPMLMKOHPFFAG78CC,義成二段,83.03,都市：商,全筆移轉
RPUOMLMKOHPFFAG98CC,興東段,8.16,都市：商,全筆移轉
RPQOMLQKOHPFFAG98CC,公正段,7.76,都市：住,全筆移轉
RPQOMLQKOHPFFAG98CC,公正段,8.19,都市：住,全筆移轉
RPROMLQKOHPFFAG09CC,群英段,21.41,都市：住,全筆移轉
RPXNMLMKOHPFFBG66CC,珍子滿力段擺厘小段,.00,都市：住,全筆移轉
RPQNMLRKOHPFFBG09CC,女中段,.00,都市：住,全筆移轉
RPWNMLTKOHPFFAG37EC,新協和段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPPRMLQJPHPFFAG56CC,蘇聖段,160.11,都市：商,全筆移轉
RPPRMLQJPHPFFAG56CC,蘇聖段,31.06,都市：商,全筆移轉
RPPRMLQJPHPFFAG56CC,蘇聖段,105.78,都市：商,全筆移轉
RPPRMLQJPHPFFAG56CC,蘇聖段,28.04,都市：住,全筆移轉
RPPRMLQJPHPFFAG56CC,蘇聖段,98.60,都市：住,全筆移轉
RPOPMLMLOHPFFAG58CC,中華段,4.36,都市：商,全筆移轉
RPUOMLOLOHPFFAG66CC,南昌段,108.00,都市：住,全筆移轉
RPTOMLLJPHPFFAG78CC,興東段,61.00,都市：商,全筆移轉
RPTOMLLJPHPFFAG78CC,興東段,18.00,都市：商,全筆移轉
RPROMLTLOHPFFAG86CC,百福段,424.52,都市：工,全筆移轉
RPXNMLMLNHPFFBG66CC,龍泉段,56.29,都市：商,全筆移轉
RPXNMLMLNHPFFBG66CC,龍泉段,18.23,都市：商,全筆移轉
RPWNMLRJPHPFFBG17DC,女中段,.00,都市：住,全筆移轉
RPVOMLRJPHPFFAG96CC,中華段,.00,都市：商,全筆移轉
RPXNMLTJPHPFFAG37DC,頂義段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPUNMLTJPHPFFBG07CC,女中段,.00,都市：其他,全筆移轉
RPUNMLTJPHPFFBG07CC,女中段,.00,都市：住,全筆移轉
RPPNMLNKPHPFFAG58CC,國華段,.00,都市：住,全筆移轉
RPVNMLNKPHPFFAG56CC,尾塹二段,2078.71,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPXNMLRKPHPFFBG47EC,外員段,.00,都市：住,全筆移轉
RPXNMLRKPHPFFBG47EC,外員段,.00,都市：住,全筆移轉
RPTOMLPKPHPFFBG76CC,坤門一段,.00,都市：商,全筆移轉
RPVPMLLLPHPFFAG66CC,國華段,13.80,都市：住,全筆移轉
RPUNMLLLPHPFFBG09CC,金泰段,.00,都市：住,全筆移轉
RPUNMLOLPHPFFAG66CC,蘇港段,74.84,都市：商,全筆移轉
RPUNMLOLPHPFFAG66CC,蘇港段,.47,都市：商,全筆移轉
RPTNMLRLPHPFFBG96CC,拔雅林五段,.00,都市：住,全筆移轉
RPOQMLLLPHPFFAG68CC,維揚段,23.96,都市：住,全筆移轉
RPSNMLKMPHPFFBG88CC,黎明段,47.93,都市：住,全筆移轉
RPPNMLTLPHPFFBG76CC,金六結段七結小段,.00,都市：住,全筆移轉
RPTOMLKMPHPFFBG09CC,健康段,.00,都市：商,全筆移轉
RPXNMLOJQHPFFAG86CC,蘇聖段,150.79,都市：住,全筆移轉
RPQOMLQJQHPFFAG09CC,公正段,.00,都市：住,全筆移轉
RPPOMLRJQHPFFBG56CC,五峰段,.00,都市：住,全筆移轉
RPOPMLOJQHPFFAG78CC,國華段,.00,都市：住,全筆移轉
RPTNMLQJQHPFFBG76CC,健康段,.00,都市：商,全筆移轉
RPOOMLOJQHPFFAG68CC,文化段,124.68,都市：住,全筆移轉
RPQNMLQJQHPFFBG09CC,健康段,.00,都市：商,全筆移轉
RPXNMLRJQHPFFBG27CC,民生段,76.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPXOMLRJQHPFFBG37CC,新興一段,.00,都市：住,全筆移轉
RPWOMLKKQHPFFAG56CC,羅莊段,23.53,都市：住,全筆移轉
