編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQNMLMKNHPFFAH28CA,中路段,14.70,都市：工,持分移轉
RPUPMLMKNHPFFAH88CA,桃園段武陵小段,.54,都市：商,持分移轉
RPVNMLSKNHPFFAH76CA,小檜溪段,11.07,都市：商,持分移轉
RPXNMLMKNHPFFAH98CA,新埔段,37.05,都市：住,持分移轉
RPQQMLLKNHPFFAH48CA,大有段,5.11,都市：住,持分移轉
RPWPMLMKNHPFFAH09CA,小檜溪段,14.54,都市：住,持分移轉
RPWPMLMKNHPFFAH09CA,小檜溪段,6.60,都市：住,持分移轉
RPWPMLMKNHPFFAH09CA,東國段,9.02,都市：住,持分移轉
RPVPMLLKNHPFFAH88CA,寶山段,15.01,都市：住,持分移轉
RPWOMLNKNHPFFAH09CA,福元段,43.57,都市：其他:綠地用地,持分移轉
RPTNMLOLNHPFFAH88CA,富國段,28.35,都市：住,持分移轉
RPQPMLSKNHPFFAH09CA,中正段,27.31,都市：住,持分移轉
RPTSMLSKNHPFFAH07CA,和平段,2.48,都市：住,持分移轉
RPVNMLTKNHPFFAH86CA,鹽埕段,11.26,都市：其他:綠地用地,持分移轉
RPOSMLTKNHPFFAH66CA,龍壽段,989.71,都市：農,全筆移轉
RPOSMLSLNHPFFAH66CA,龍安段,9.46,都市：商,持分移轉
RPQNMLNKNHPFFAH38CA,埔子段北門埔子小段,.03,都市：商,持分移轉
RPQNMLNKNHPFFAH38CA,埔子段北門埔子小段,3.28,都市：商,持分移轉
RPUNMLTLNHPFFAH86CA,中路三段,.03,都市：住,持分移轉
RPUNMLTLNHPFFAH86CA,中路三段,.29,都市：住,持分移轉
RPUNMLTLNHPFFAH86CA,中路三段,.00,都市：住,持分移轉
RPUNMLTLNHPFFAH86CA,中路三段,.11,都市：住,持分移轉
RPXPMLNKNHPFFAH66CA,國聖段,7.11,都市：工,持分移轉
RPWOMLOKNHPFFAH56CA,法政段,23.44,都市：住,持分移轉
RPWOMLOKNHPFFAH56CA,法政段,.20,都市：住,持分移轉
RPPPMLKLNHPFFAH28CA,大有段,73.12,都市：住,全筆移轉
