編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPVOMLOKNHPFFAH56CB,坡道平面,1650000,41.41,
RPVOMLKLNHPFFBH09DB,坡道平面,0,,
RPQPMLKLNHPFFBH68DB,坡道平面,0,,
RPXOMLKLNHPFFBH66DB,坡道平面,0,,
RPRPMLKLNHPFFBH78DB,坡道平面,0,,
RPWOMLKLNHPFFBH56DB,坡道平面,0,,
RPWOMLKLNHPFFBH56DB,坡道平面,0,,
RPTPMLKLNHPFFBH98DB,坡道平面,0,,
RPRQMLKLNHPFFBH88DB,坡道平面,0,,
RPWQMLKLNHPFFBH76DB,坡道平面,0,,
RPVQMLKLNHPFFBH66DB,坡道平面,0,,
RPVQMLKLNHPFFBH66DB,坡道平面,0,,
RPUQMLKLNHPFFBH56DB,坡道平面,0,,
RPOTMLKLNHPFFBH88DB,坡道平面,0,,
RPQTMLKLNHPFFBH09DB,坡道平面,0,,
RPVRMLKLNHPFFBH76DB,坡道平面,0,,
RPPRMLKLNHPFFBH78DB,坡道平面,0,,
RPSSMLKLNHPFFBH56DB,坡道平面,0,,
RPOSMLKLNHPFFBH78DB,坡道平面,0,,
RPSNMLKLNHPFFBH68DB,坡道平面,0,,
RPSNMLKLNHPFFBH68DB,坡道平面,0,,
RPRSMLKLNHPFFBH09DB,坡道平面,0,,
RPQSMLKLNHPFFBH98DB,坡道平面,0,,
RPQSMLKLNHPFFBH98DB,坡道平面,0,,
RPXTMLKLNHPFFBH17DB,坡道平面,0,,
RPXTMLKLNHPFFBH17DB,坡道平面,0,,
RPXUMLKLNHPFFBH27DB,坡道平面,0,,
RPVUMLKLNHPFFBH07DB,坡道平面,0,,
RPOVMLKLNHPFFBH09DB,坡道平面,0,,
RPPVMLKLNHPFFBH56DB,坡道平面,0,,
RPRVMLKLNHPFFBH76DB,坡道平面,0,,
RPVPMLKLNHPFFGH96CB,坡道平面,1500000,49.20,
RPQQMLKLNHPFFGH56CB,坡道平面,1400000,49.20,
RPUPMLKLNHPFFGH86CB,坡道平面,1400000,49.20,
RPTPMLKLNHPFFGH76CB,坡道平面,1500000,49.20,
RPWPMLKLNHPFFGH07CB,坡道平面,1400000,49.20,
RPPQMLKLNHPFFGH09CB,坡道平面,1600000,50.37,
RPRQMLKLNHPFFGH66CB,坡道平面,1600000,49.20,
RPXPMLKLNHPFFGH17CB,坡道平面,1500000,49.20,
RPSTMLKLNHPFFBH66DB,坡道平面,0,,
RPRTMLKLNHPFFBH56DB,坡道平面,0,,
RPRTMLKLNHPFFBH56DB,坡道平面,0,,
RPSQMLKLNHPFFGH76CB,坡道平面,1400000,49.20,
RPTQMLKLNHPFFGH86CB,坡道平面,1600000,49.20,
RPOOMLLLNHPFFGH88CB,坡道平面,1400000,49.20,
RPTOMLLLNHPFFGH76CB,坡道平面,1400000,50.37,
RPXOMLLLNHPFFGH17CB,坡道平面,1550000,48.02,
RPOPMLLLNHPFFGH98CB,坡道平面,1600000,49.20,
RPVOMLLLNHPFFGH96CB,坡道平面,1500000,49.20,
RPSOMLLLNHPFFGH66CB,坡道平面,1500000,49.20,
RPPOMLLLNHPFFGH98CB,坡道平面,1600000,49.20,
RPXNMLLLNHPFFGH07CB,坡道平面,1400000,49.20,
RPUOMLLLNHPFFGH86CB,坡道平面,1400000,49.20,
RPWOMLLLNHPFFGH07CB,坡道平面,1600000,49.20,
RPQPMLLLNHPFFGH56CB,坡道平面,1500000,49.20,
RPPPMLLLNHPFFGH09CB,坡道平面,1600000,49.20,
RPRPMLLLNHPFFGH66CB,坡道平面,1500000,49.20,
RPTPMLLLNHPFFGH86CB,坡道平面,1400000,49.20,
RPUPMLLLNHPFFGH96CB,坡道平面,1400000,50.37,
RPSPMLLLNHPFFGH76CB,坡道平面,1500000,49.20,
RPVPMLLLNHPFFGH07CB,坡道平面,1400000,49.20,
RPWPMLLLNHPFFGH17CB,坡道平面,1500000,49.20,
RPOQMLLLNHPFFGH09CB,坡道平面,1600000,50.37,
RPPQMLLLNHPFFGH56CB,坡道平面,1500000,50.37,
RPPQMLLLNHPFFGH56CB,坡道平面,1600000,49.20,
RPRQMLLLNHPFFGH76CB,坡道平面,1500000,49.20,
RPSQMLLLNHPFFGH86CB,坡道平面,1500000,49.20,
RPPRMLLLNHPFFBH88DB,坡道平面,0,,
RPUQMLLLNHPFFBH66DB,坡道平面,0,,
RPVQMLLLNHPFFBH76DB,坡道平面,0,,
RPWQMLLLNHPFFBH86DB,坡道平面,0,,
RPUOMLLLNHPFFBH09DB,坡道平面,0,,
RPPQMLLLNHPFFBH78DB,坡道平面,0,,
RPQQMLLLNHPFFBH88DB,坡道平面,0,,
RPVRMLLLNHPFFBH86DB,坡道平面,0,,
RPTSMLLLNHPFFBH76DB,坡道平面,0,,
