鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
桃園區,建物,桃園市桃園區鎮二街61~90號,0.0,住,,,1090419,土地0建物1車位0,見其他登記事項,5,店面(店鋪),見其他登記事項,鋼筋混凝土造,0800226,146.48,0,0,0,無,無,無,17000,116,,0.0,0,,RPUPMLLKNHPFFAH98CC
桃園區,建物,桃園市桃園區民生路271~300號,0.0,商,,,1090420,土地0建物0車位0,一層,,店面(店鋪),,,,74.22,0,0,0,無,無,無,28000,377,,0.0,0,,RPWPMLLKNHPFFAH56CC
桃園區,建物,桃園市桃園區經國路391~420號,0.0,住,,,1090416,土地0建物1車位0,二層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831026,81.86,2,2,1,有,有,有,12500,153,,0.0,0,租金含管理費。,RPXPMLLKNHPFFAH66CC
桃園區,房地(土地+建物)+車位,桃園市桃園區國豐三街91~120號,19.75,住,,,1090507,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040706,194.37,4,2,2,有,有,有,22500,116,坡道平面,0.0,0,,RPOQMLLKNHPFFAH48CC
桃園區,建物,桃園市桃園區新埔三街38巷1~30號,0.0,住,,,1090421,土地0建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070529,109.69999999999999,2,1,1,有,有,有,15800,144,坡道平面,0.0,2500,,RPPRMLLKNHPFFAH68CC
中壢區,房地(土地+建物),桃園市中壢區正神路125巷1~30號,9.2,住,,,1090418,土地1建物1車位0,四層,4,套房(1房1廳1衛),住家用,加強磚造,0610110,36.0,1,1,1,有,無,有,8500,236,,0.0,0,,RPXPMLLKNHPFFBH76CC
中壢區,建物,桃園市中壢區忠義路14巷1~30號,0.0,工,,,1090414,土地0建物1車位0,全,2,透天厝,見其他登記事項,加強磚造,0761228,136.62,6,2,4,有,無,有,18000,132,,0.0,0,含增建或未登記建物。;,RPPQMLLKNHPFFBH68CC
中壢區,建物,桃園市中壢區新興路61~90號,0.0,住,,,1090430,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0801230,71.07,1,0,1,有,有,有,9900,139,,0.0,0,,RPWQMLLKNHPFFBH76CC
大園區,房地(土地+建物),桃園市大園區開和路1~30號,3828.63,,一般農業區,丁種建築用地,1090415,土地1建物1車位0,見其他登記事項,2,工廠,見其他登記事項,見其他登記事項,1000818,3161.33,0,0,0,無,無,無,550000,,,0.0,0,第一年~第三年月租金55萬元;第四年~第六年月租金56.1萬;第七年~第九年月租金57.222萬;第十年月租金58.3664萬。,RPWOMLLKNHPFFEH86CC
