編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPXPMLLKNHPFFBH76CC,仁愛段,9.20,都市：住,全筆移轉
RPWOMLLKNHPFFEH86CC,舊厝段,3828.63,非都市：一般農業區 ; 非都市編定：丁種建築用地,全筆移轉
RPPQMLLKNHPFFBH68CC,普義段,.00,都市：工,全筆移轉
RPUQMLLKNHPFFEH86CC,西園段,.00,都市：住,全筆移轉
RPROMLMKNHPFFGH76DC,延平段,42.22,都市：商,全筆移轉
RPOOMLLKNHPFFHH98CC,山頂段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,全筆移轉
RPWNMLMKNHPFFBH76EC,忠孝段,43.73,都市：住,全筆移轉
RPXNMLMKNHPFFBH86EC,復興段,24.84,都市：住,全筆移轉
RPWPMLLKNHPFFAH56CC,桃園段公館頭小段,.00,都市：商,全筆移轉
RPWPMLLKNHPFFAH56CC,桃園段公館頭小段,.00,都市：商,全筆移轉
RPXOMLMKNHPFFEH07CC,五福段,29.40,都市：住,全筆移轉
RPXPMLLKNHPFFAH66CC,同安段,.00,都市：住,全筆移轉
RPPRMLLKNHPFFAH68CC,新埔段,.00,都市：住,全筆移轉
RPUPMLLKNHPFFAH98CC,小檜溪段,.00,都市：住,全筆移轉
RPXOMLMKNHPFFAH76DC,中路二段,450.67,都市：住,全筆移轉
RPWQMLLKNHPFFBH76CC,石頭段,.00,都市：住,全筆移轉
RPOPMLMKNHPFFAH48CC,成功段,121.33,都市：其他,全筆移轉
RPWNMLMKNHPFFGH07CC,廣豐段,.00,都市：住,全筆移轉
RPVPMLMKNHPFFAH56CC,中埔段,.00,都市：住,全筆移轉
RPRPMLMKNHPFFAH78CC,會稽段,55.60,都市：住,全筆移轉
RPQNMLNKNHPFFFH09CC,興豐段,.00,都市：住,全筆移轉
RPOQMLLKNHPFFAH48CC,龍安段,19.75,都市：住,全筆移轉
RPTNMLNKNHPFFGH86CC,廣東段,.00,都市：住,全筆移轉
RPQPMLMKNHPFFAH68CC,富國段,29.36,都市：住,全筆移轉
RPWPMLOKNHPFFEH27CC,竹圍段崁下小段,.00,非都市：一般農業區 ; 非都市編定：甲種建築用地,全筆移轉
