編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPOOMLLKNHPFFHH98CC,坡道平面,2500,,
RPXNMLMKNHPFFBH86EC,坡道平面,0,31.38,
RPXOMLMKNHPFFEH07CC,坡道平面,0,40.01,
RPPRMLLKNHPFFAH68CC,坡道平面,2500,,
RPOQMLLKNHPFFAH48CC,坡道平面,0,,
RPOQMLMKNHPFFAH58CC,坡道平面,0,31.10,
RPQOMLOKNHPFFDH09CC,坡道平面,0,29.75,
RPPOMLOKNHPFFDH98CC,坡道平面,0,29.75,
RPROMLOKNHPFFDH56CC,坡道平面,0,31.70,
RPTOMLMKNHPFFAH88CC,坡道平面,0,,
RPUPMLOKNHPFFAH66CC,坡道平面,0,30.69,
RPUNMLPKNHPFFCH76CC,坡道平面,0,35.93,
RPTRMLPKNHPFFBH96CC,坡道平面,0,,
RPUNMLPKNHPFFAH56CC,坡道機械,0,14.24,
RPUOMLPKNHPFFDH96CC,坡道平面,0,31.70,
RPPOMLPKNHPFFCH98CC,坡道平面,3900,35.93,
RPPNMLQKNHPFFBH88CC,坡道平面,0,28.05,
RPQNMLQKNHPFFBH98CC,坡道平面,0,2.42,
RPROMLPKNHPFFGH07DC,坡道平面,0,33.69,
RPTNMLPKNHPFFGH07CC,坡道平面,0,30.21,
RPRNMLQKNHPFFBH09CC,升降機械,0,1.21,
RPSOMLPKNHPFFGH07CC,坡道平面,0,,
RPTRMLSKNHPFFBH27CC,坡道平面,0,40.81,
RPOOMLPKNHPFFFH56CC,坡道平面,0,,
RPQSMLSKNHPFFBH07CC,坡道平面,0,37.29,
RPWOMLSKNHPFFAH17CC,坡道平面,0,38.93,
RPOQMLSKNHPFFAH56CC,坡道平面,0,40.77,
RPRPMLSKNHPFFAH76CC,坡道平面,0,13.15,
RPXPMLSKNHPFFAH37CC,坡道平面,0,34.29,
RPQRMLSKNHPFFAH86CC,坡道平面,0,29.99,
RPQNMLSKNHPFFHH17CC,坡道平面,0,36.39,
RPVOMLSKNHPFFDH37CC,坡道平面,0,37.71,
RPXOMLSKNHPFFDH57CC,坡道平面,0,39.81,
RPTOMLSKNHPFFDH17CC,坡道平面,0,31.70,
RPWSMLSKNHPFFBH77DC,坡道平面,0,37.08,
RPSNMLTKNHPFFGH37CC,坡道平面,0,21.41,
RPXNMLTKNHPFFHH97CC,坡道平面,0,36.39,
RPRNMLTKNHPFFGH27CC,坡道平面,0,,
RPRNMLTKNHPFFAH66CC,坡道平面,0,32.36,
RPXRMLTKNHPFFAH67CC,坡道平面,2000,36.80,
RPTOMLTKNHPFFBH07CC,坡道平面,0,,
RPRQMLTKNHPFFBH07CC,坡道平面,0,25.36,
RPPQMLTKNHPFFBH86CC,坡道平面,0,,
RPWQMLTKNHPFFBH57CC,坡道平面,0,,
RPVRMLTKNHPFFBH57CC,坡道平面,0,,
RPOSMLTKNHPFFBH96CC,坡道平面,0,,
RPUPMLKLNHPFFBH09CC,坡道平面,0,,
RPUOMLKLNHPFFAH88CC,坡道平面,0,,
RPVPMLKLNHPFFAH09CC,坡道平面,0,,
RPSOMLKLNHPFFAH68CC,坡道平面,0,,
RPPSMLKLNHPFFAH78CC,坡道平面,0,24.03,
RPTPMLKLNHPFFFH76CC,坡道平面,0,,
RPUQMLKLNHPFFFH96CC,坡道平面,0,,
RPVSMLKLNHPFFFH27CC,坡道平面,0,,
RPSNMLLLNHPFFDH98CC,坡道平面,0,20.57,
RPVOMLKLNHPFFGH96CC,坡道平面,0,42.36,
RPROMLLLNHPFFEH09CC,坡道平面,0,,
RPWNMLKLNHPFFEH76CC,坡道平面,0,,
RPVNMLKLNHPFFEH66CC,坡道平面,0,,
RPXNMLKLNHPFFEH86CC,坡道平面,0,,
RPWQMLLLNHPFFFH27CC,其他,0,,
RPVQMLLLNHPFFFH27DC,坡道平面,0,30.21,
RPVNMLLLNHPFFAH98CC,坡道平面,0,,
RPQPMLLLNHPFFAH68CC,坡道平面,0,,
RPQNMLLLNHPFFAH48CC,坡道平面,0,,
RPXOMLLLNHPFFAH66CC,坡道平面,0,,
RPTOMLLLNHPFFAH88CC,坡道平面,0,,
RPWNMLLLNHPFFBH56CC,坡道平面,0,,
RPROMLMLNHPFFBH88CC,坡道平面,0,,
RPSPMLMLNHPFFBH09CC,坡道平面,0,,
RPPPMLMLNHPFFEH09CC,坡道平面,0,,
RPVPMLMLNHPFFEH07CC,坡道平面,0,34.00,
RPTNMLMLNHPFFDH56CC,坡道平面,0,,
RPUNMLMLNHPFFGH96CC,坡道平面,0,,
RPVNMLMLNHPFFGH07CC,坡道平面,0,,
RPUQMLPLNHPFFBH07CC,坡道機械,2500,17.10,
RPVNMLQLNHPFFAH86CC,坡道平面,0,,
RPWOMLQLNHPFFBH17CC,坡道平面,0,,
RPOOMLQLNHPFFAH88CC,坡道平面,0,,
RPQPMLQLNHPFFEH96CC,坡道平面,0,,
RPSNMLQLNHPFFEH96CC,坡道平面,0,,
RPVOMLQLNHPFFEH57EC,坡道平面,0,85.82,
RPSPMLQLNHPFFGH37CC,坡道平面,0,,
RPQPMLRLNHPFFEH07CC,坡道平面,0,36.38,
RPVNMLRLNHPFFFH47CC,坡道平面,0,,
RPWOMLRLNHPFFFH67CC,坡道平面,0,,
RPWOMLRLNHPFFCH37CC,坡道平面,0,,
RPQOMLRLNHPFFFH07CC,坡道平面,0,,
RPQPMLRLNHPFFCH86CC,坡道平面,0,,
RPTRMLRLNHPFFAH17CC,坡道平面,0,,
RPVRMLRLNHPFFAH37CC,坡道平面,0,,
RPXPMLRLNHPFFAH37CC,坡道平面,0,,
RPOQMLRLNHPFFAH56CC,坡道平面,0,,
RPUPMLRLNHPFFAH07CC,坡道平面,0,,
RPXNMLSLNHPFFBH37CC,坡道平面,0,,
RPXNMLSLNHPFFHH97CC,坡道平面,0,,
RPQOMLSLNHPFFDH96CC,坡道平面,0,,
RPOOMLSLNHPFFDH76CC,坡道平面,0,,
RPQOMLTLNHPFFEH17CC,坡道平面,0,,
RPXNMLTLNHPFFHH18DC,坡道平面,0,75.68,
RPSOMLTLNHPFFAH96CC,坡道平面,0,,
RPRNMLTLNHPFFHH47CC,坡道平面,0,29.69,
RPSPMLTLNHPFFBH17CC,坡道平面,0,,
RPRPMLTLNHPFFBH07CC,坡道平面,0,,
RPPOMLTLNHPFFBH76CC,坡道平面,0,,
RPWRMLTLNHPFFBH77CC,坡道機械,0,,
RPQOMLTLNHPFFBH86CC,坡道平面,0,,
RPQPMLLJOHPFFBH68CC,坡道平面,0,,
RPSRMLLJOHPFFBH09CC,坡道平面,0,,
RPTNMLLJOHPFFHH76CC,坡道平面,0,31.50,
RPPOMLLJOHPFFAH38CC,坡道平面,0,,
RPSOMLLJOHPFFEH09CC,坡道平面,0,35.23,
RPRPMLLJOHPFFEH09CC,坡道平面,0,,
RPPNMLMJOHPFFFH88CC,坡道平面,0,,
RPUOMLMJOHPFFAH98CC,坡道平面,0,31.10,
