編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPOOMLTKNHPFFAI98CA,劉厝段劉厝小段,13.72,都市：住,持分移轉
RPOOMLTKNHPFFAI98CA,劉厝段劉厝小段,.51,都市：住,持分移轉
RPOOMLTKNHPFFAI98CA,劉厝段劉厝小段,4.30,都市：住,持分移轉
RPQOMLTKNHPFFAI56CA,湖子內段湖內小段,3457.00,都市：農,全筆移轉
RPVNMLQLNHPFFAI76CA,湖子內段興安小段,.10,都市：住,持分移轉
RPVNMLQLNHPFFAI76CA,湖子內段興安小段,.10,都市：住,持分移轉
RPVNMLQLNHPFFAI76CA,湖子內段興安小段,.10,都市：住,持分移轉
RPVNMLQLNHPFFAI76CA,湖子內段興安小段,.47,都市：住,持分移轉
RPVNMLQLNHPFFAI76CA,湖子內段興安小段,.10,都市：住,持分移轉
RPVNMLQLNHPFFAI76CA,湖子內段興安小段,.10,都市：住,持分移轉
RPVNMLQLNHPFFAI76CA,湖子內段興安小段,16.66,都市：住,持分移轉
RPVNMLQLNHPFFAI76CA,湖子內段興安小段,.86,都市：住,持分移轉
RPVNMLQLNHPFFAI76CA,湖子內段興安小段,.10,都市：住,持分移轉
RPVNMLQLNHPFFAI76CA,湖子內段興安小段,.10,都市：住,持分移轉
RPVNMLQLNHPFFAI76CA,湖子內段興安小段,.10,都市：住,持分移轉
RPVNMLQLNHPFFAI76CA,湖子內段興安小段,.10,都市：住,持分移轉
RPOPMLQLNHPFFAI88CA,湖子內段興安小段,22.69,都市：住,持分移轉
RPOPMLQLNHPFFAI88CA,湖子內段興安小段,.87,都市：住,持分移轉
RPSOMLQLNHPFFAI56CA,湖子內段興安小段,.11,都市：住,持分移轉
RPOPMLQLNHPFFAI88CA,湖子內段興安小段,.10,都市：住,持分移轉
RPOPMLQLNHPFFAI88CA,湖子內段興安小段,.10,都市：住,持分移轉
RPSOMLQLNHPFFAI56CA,湖子內段興安小段,16.34,都市：住,持分移轉
RPOPMLQLNHPFFAI88CA,湖子內段興安小段,.10,都市：住,持分移轉
RPOPMLQLNHPFFAI88CA,湖子內段興安小段,.10,都市：住,持分移轉
RPOPMLQLNHPFFAI88CA,湖子內段興安小段,.47,都市：住,持分移轉
RPSOMLQLNHPFFAI56CA,湖子內段興安小段,.86,都市：住,持分移轉
RPOPMLQLNHPFFAI88CA,湖子內段興安小段,.10,都市：住,持分移轉
RPOPMLQLNHPFFAI88CA,湖子內段興安小段,.10,都市：住,持分移轉
RPOPMLQLNHPFFAI88CA,湖子內段興安小段,.10,都市：住,持分移轉
RPSOMLQLNHPFFAI56CA,湖子內段興安小段,.11,都市：住,持分移轉
RPOPMLQLNHPFFAI88CA,湖子內段興安小段,.10,都市：住,持分移轉
RPSOMLQLNHPFFAI56CA,湖子內段興安小段,.10,都市：住,持分移轉
RPOPMLQLNHPFFAI88CA,湖子內段興安小段,.10,都市：住,持分移轉
RPSOMLQLNHPFFAI56CA,湖子內段興安小段,.10,都市：住,持分移轉
RPSOMLQLNHPFFAI56CA,湖子內段興安小段,.47,都市：住,持分移轉
RPSOMLQLNHPFFAI56CA,湖子內段興安小段,.12,都市：住,持分移轉
RPSOMLQLNHPFFAI56CA,湖子內段興安小段,.10,都市：住,持分移轉
RPSOMLQLNHPFFAI56CA,湖子內段興安小段,.10,都市：住,持分移轉
RPSOMLQLNHPFFAI56CA,湖子內段興安小段,.10,都市：住,持分移轉
RPSOMLQLNHPFFAI56CA,湖子內段興安小段,.11,都市：住,持分移轉
RPUOMLQLNHPFFAI76CA,湖子內段興安小段,16.66,都市：住,持分移轉
RPUOMLQLNHPFFAI76CA,湖子內段興安小段,.86,都市：住,持分移轉
RPUOMLQLNHPFFAI76CA,湖子內段興安小段,.10,都市：住,持分移轉
RPUOMLQLNHPFFAI76CA,湖子內段興安小段,.10,都市：住,持分移轉
RPUOMLQLNHPFFAI76CA,湖子內段興安小段,.10,都市：住,持分移轉
RPUOMLQLNHPFFAI76CA,湖子內段興安小段,.10,都市：住,持分移轉
RPUOMLQLNHPFFAI76CA,湖子內段興安小段,1.47,都市：住,持分移轉
RPUOMLQLNHPFFAI76CA,湖子內段興安小段,.10,都市：住,持分移轉
RPUOMLQLNHPFFAI76CA,湖子內段興安小段,.10,都市：住,持分移轉
RPUOMLQLNHPFFAI76CA,湖子內段興安小段,.10,都市：住,持分移轉
RPUOMLQLNHPFFAI76CA,湖子內段興安小段,.10,都市：住,持分移轉
RPUOMLQLNHPFFAI76CA,湖子內段興安小段,.10,都市：住,持分移轉
RPPPMLQLNHPFFAI98CA,湖子內段興安小段,.10,都市：住,持分移轉
RPPPMLQLNHPFFAI98CA,湖子內段興安小段,22.69,都市：住,持分移轉
RPPPMLQLNHPFFAI98CA,湖子內段興安小段,.87,都市：住,持分移轉
RPPPMLQLNHPFFAI98CA,湖子內段興安小段,.10,都市：住,持分移轉
RPPPMLQLNHPFFAI98CA,湖子內段興安小段,.10,都市：住,持分移轉
RPPPMLQLNHPFFAI98CA,湖子內段興安小段,.10,都市：住,持分移轉
RPPPMLQLNHPFFAI98CA,湖子內段興安小段,.10,都市：住,持分移轉
RPPPMLQLNHPFFAI98CA,湖子內段興安小段,.47,都市：住,持分移轉
RPPPMLQLNHPFFAI98CA,湖子內段興安小段,.10,都市：住,持分移轉
RPPPMLQLNHPFFAI98CA,湖子內段興安小段,.10,都市：住,持分移轉
RPPPMLQLNHPFFAI98CA,湖子內段興安小段,.10,都市：住,持分移轉
RPPPMLQLNHPFFAI98CA,湖子內段興安小段,.10,都市：住,持分移轉
RPQOMLNLNHPFFAI68CA,東川段,23.64,都市：住,持分移轉
RPQOMLNLNHPFFAI68CA,東川段,78.00,都市：住,全筆移轉
RPXOMLOKNHPFFAI76CA,同興段,103.00,都市：住,全筆移轉
