編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTPMLKLNHPFFBJ98CA,3,217.46,住家用,鋼筋混凝土造,106年3月29日,二十三層,十二層
RPTPMLKLNHPFFBJ98CA,3,106.98,見其他登記事項,鋼筋混凝土造,106年3月29日,二十三層,
RPTPMLKLNHPFFBJ98CA,3,.22,見其他登記事項,鋼筋混凝土造,106年3月29日,一層,一層
RPTPMLKLNHPFFBJ98CA,3,78.52,見其他登記事項,鋼筋混凝土造,106年3月29日,二十三層,
RPPOMLLKNHPFFBJ48CA,,89.48,住家用,鋼筋混凝土造,109年1月17日,十四層,六層
RPPOMLLKNHPFFBJ48CA,,77.51,見其他登記事項,鋼筋混凝土造,109年1月17日,十四層,
RPPOMLKLNHPFFBJ48CA,12,.05,商業用,鋼筋混凝土造,97年2月1日,十九層,一層
RPPOMLKLNHPFFBJ48CA,12,.02,共用部分,鋼筋混凝土造,97年2月1日,十九層,
RPPOMLKLNHPFFBJ48CA,12,60.17,共用部分,鋼筋混凝土造,97年2月1日,十九層,
RPPOMLKLNHPFFBJ48CA,12,193.56,住家用,鋼筋混凝土造,97年2月1日,十九層,十二層
RPPOMLKLNHPFFBJ48CA,12,54.76,共用部分,鋼筋混凝土造,97年2月1日,十九層,
RPPOMLKLNHPFFBJ48CA,12,23.03,共用部分,鋼筋混凝土造,97年2月1日,十九層,
RPRQMLRLNHPFFBJ96CA,,53.14,住家用,鋼筋混凝土造,108年10月14日,二十三層,十三層
RPRQMLRLNHPFFBJ96CA,,31.21,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPRQMLRLNHPFFBJ96CA,,35.92,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPRQMLRLNHPFFBJ96CA,,3.31,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPTQMLRLNHPFFBJ17CA,,40.00,住家用,鋼筋混凝土造,108年10月14日,二十三層,十七層
RPTQMLRLNHPFFBJ17CA,,22.24,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPTQMLRLNHPFFBJ17CA,,17.96,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPTQMLRLNHPFFBJ17CA,,3.31,見其他登記事項,鋼筋混凝土造,108年10月14日,二十三層,
RPOQMLMKNHPFFBJ68CA,13,67.87,住家用,鋼筋混凝土造,96年6月15日,十二層,十層
RPOQMLMKNHPFFBJ68CA,13,11.36,共用部分,鋼筋混凝土造,96年6月15日,十二層,
RPOQMLMKNHPFFBJ68CA,13,43.14,共用部分,鋼筋混凝土造,96年6月15日,十二層,
RPSUMLMKNHPFFBJ86CA,,58.38,住家用,鋼筋混凝土造,108年10月4日,十二層,十二層
RPSUMLMKNHPFFBJ86CA,,74.81,見其他登記事項,鋼筋混凝土造,108年10月4日,十二層,
RPRUMLMKNHPFFBJ76CA,,58.38,住家用,鋼筋混凝土造,108年10月4日,十二層,七層
RPRUMLMKNHPFFBJ76CA,,74.81,見其他登記事項,鋼筋混凝土造,108年10月4日,十二層,
RPQUMLMKNHPFFBJ66CA,,58.38,住家用,鋼筋混凝土造,108年10月4日,十二層,四層
