編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPVPMLTKNHPFFBJ37CA,關農段,1606.52,都市：農,全筆移轉
RPVPMLTKNHPFFBJ37CA,關農段,1655.85,都市：農,全筆移轉
RPVPMLTKNHPFFBJ37CA,關農段,575.21,都市：農,全筆移轉
RPTPMLKLNHPFFBJ98CA,永興段,61.06,都市：住,持分移轉
RPRNMLNKNHPFFBJ78CA,福田段,196.06,都市：住,全筆移轉
RPPOMLLKNHPFFBJ48CA,莊敬段,25.39,都市：住,持分移轉
RPPOMLKLNHPFFBJ48CA,家興段,51.37,都市：住,持分移轉
RPRQMLRLNHPFFBJ96CA,永興段,19.28,都市：住,持分移轉
RPTQMLRLNHPFFBJ17CA,永興段,13.73,都市：住,持分移轉
RPOQMLMKNHPFFBJ68CA,隘興段,20.72,都市：住,持分移轉
RPSUMLMKNHPFFBJ86CA,隘興段,25.43,都市：住,持分移轉
RPRUMLMKNHPFFBJ76CA,隘興段,25.45,都市：住,持分移轉
RPQUMLMKNHPFFBJ66CA,隘興段,25.43,都市：住,持分移轉
RPPUMLMKNHPFFBJ56CA,隘興段,25.45,都市：住,持分移轉
RPRQMLLLNHPFFBJ98CA,莊敬段,26.77,都市：住,持分移轉
RPSQMLRLNHPFFBJ07CA,永興段,13.73,都市：住,持分移轉
RPUQMLRLNHPFFBJ27CA,永興段,20.65,都市：住,持分移轉
RPWOMLSKNHPFFBJ27CA,台元段,30.19,都市：工,持分移轉
RPWOMLSKNHPFFBJ27CA,台元段,114.30,都市：工,全筆移轉
RPQQMLRLNHPFFBJ86CA,永興段,19.28,都市：住,持分移轉
RPVQMLRLNHPFFBJ37CA,永興段,20.65,都市：住,持分移轉
RPWPMLRLNHPFFBJ37CA,永興段,13.73,都市：住,持分移轉
RPWQMLRLNHPFFBJ47CA,永興段,20.65,都市：住,持分移轉
RPOPMLTLNHPFFBJ76CA,莊敬段,22.81,都市：住,持分移轉
RPXOMLTLNHPFFBJ57CA,莊敬段,22.81,都市：住,持分移轉
RPVPMLRLNHPFFBJ27CA,永興段,13.73,都市：住,持分移轉
RPVOMLTLNHPFFBJ37CA,莊敬段,23.19,都市：住,持分移轉
RPQPMLTLNHPFFBJ96CA,莊敬段,23.19,都市：住,持分移轉
RPRPMLTLNHPFFBJ07CA,莊敬段,17.58,都市：住,持分移轉
RPUOMLTLNHPFFBJ27CA,莊敬段,23.19,都市：住,持分移轉
RPOQMLRLNHPFFBJ66CA,永興段,19.28,都市：住,持分移轉
RPUPMLRLNHPFFBJ17CA,永興段,20.62,都市：住,持分移轉
RPXPMLRLNHPFFBJ47CA,永興段,13.73,都市：住,持分移轉
RPSNMLLMNHPFFBJ88CA,縣愛段,163.58,都市：住,全筆移轉
RPXPMLMKNHPFFCJ96CA,石井段,83.57,非都市：山坡地保育區 ; 非都市編定：林業用地,全筆移轉
RPXPMLMKNHPFFCJ96CA,石井段,156.88,非都市：山坡地保育區 ; 非都市編定：農牧用地,持分移轉
RPXPMLMKNHPFFCJ96CA,石井段,678.91,非都市：山坡地保育區 ; 非都市編定：農牧用地,全筆移轉
RPXPMLMKNHPFFCJ96CA,石井段,320.59,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,全筆移轉
RPXPMLMKNHPFFCJ96CA,石井段,11.21,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPPNMLTKNHPFFCJ66CA,竹東段竹東小段,17.67,都市：住,持分移轉
RPPNMLTKNHPFFCJ66CA,竹東段竹東小段,.04,都市：住,持分移轉
RPPNMLTKNHPFFCJ66CA,竹東段竹東小段,.04,都市：住,持分移轉
RPPNMLTKNHPFFCJ66CA,竹東段竹東小段,10.64,都市：商,持分移轉
RPPNMLTKNHPFFCJ66CA,竹東段竹東小段,.04,都市：住,持分移轉
RPWOMLMKNHPFFCJ76CA,新城段新城小段,824.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,全筆移轉
RPWOMLMKNHPFFCJ76CA,新城段新城小段,664.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,全筆移轉
RPWOMLMKNHPFFCJ76CA,新城段新城小段,698.00,非都市：山坡地保育區 ; 非都市編定：水利用地,全筆移轉
RPOQMLMKNHPFFCJ78CA,石井段,11.21,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPOQMLMKNHPFFCJ78CA,石井段,262.29,非都市：山坡地保育區 ; 非都市編定：林業用地,全筆移轉
RPOQMLMKNHPFFCJ78CA,石井段,156.88,非都市：山坡地保育區 ; 非都市編定：農牧用地,持分移轉
RPOQMLMKNHPFFCJ78CA,石井段,343.72,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,全筆移轉
RPOQMLMKNHPFFCJ78CA,石井段,788.05,非都市：山坡地保育區 ; 非都市編定：農牧用地,全筆移轉
