編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQQMLOJQHPFFBJ76CB,仰德段,80.70,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPPQMLOJQHPFFBJ66CB,仰德段,82.99,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPWQMLOJQHPFFBJ37CB,仰德段,87.77,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPRQMLOJQHPFFBJ86CB,仰德段,72.97,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPSQMLOJQHPFFBJ96CB,仰德段,72.90,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPUPMLOJQHPFFBJ07CB,仰德段,73.77,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPVQMLOJQHPFFBJ27CB,仰德段,72.98,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPUQMLOJQHPFFBJ17CB,仰德段,89.51,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPORMLOJQHPFFBJ66CB,仰德段,79.48,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPXQMLOJQHPFFBJ47CB,仰德段,82.99,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPPRMLOJQHPFFBJ76CB,仰德段,85.95,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPRRMLOJQHPFFBJ96CB,仰德段,102.90,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPSRMLOJQHPFFBJ07CB,仰德段,80.53,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPURMLOJQHPFFBJ27CB,仰德段,84.16,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPQRMLOJQHPFFBJ86CB,仰德段,76.65,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPVRMLOJQHPFFBJ37CB,仰德段,78.48,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPTRMLOJQHPFFBJ17CB,仰德段,90.03,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
