編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQOMLMKNHPFFDJ09CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPROMLMKNHPFFDJ56CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPXOMLOKNHPFFDJ37CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPWOMLOKNHPFFDJ27CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPPNMLLLNHPFFDJ88CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPWNMLLLNHPFFDJ96CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPOOMLLLNHPFFDJ88CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPUOMLPLNHPFFDJ27CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPVOMLPLNHPFFDJ37CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPTOMLTKNHPFFBJ27CC,縣華段,143.50,都市：住,全筆移轉
RPWNMLNKNHPFFBJ86CC,仁安段,124.96,非都市：特定農業區 ; 非都市編定：丁種建築用地,全筆移轉
RPWNMLNKNHPFFBJ86CC,仁安段,409.75,非都市：特定農業區 ; 非都市編定：丁種建築用地,全筆移轉
RPWNMLNKNHPFFBJ86CC,仁安段,105.35,非都市：特定農業區 ; 非都市編定：丁種建築用地,全筆移轉
RPWNMLNKNHPFFBJ86CC,仁安段,1041.12,非都市：特定農業區 ; 非都市編定：丁種建築用地,全筆移轉
RPVNMLLKNHPFFBJ56CC,公園段,36.35,都市：住,全筆移轉
RPXOMLLJOHPFFBJ86CC,大學段,.00,都市：住,全筆移轉
RPWOMLLLNHPFFBJ86CC,大學段,.00,都市：住,全筆移轉
RPTPMLPKNHPFFBJ96CC,翰林段,.00,都市：住,全筆移轉
RPSNMLPLNHPFFBJ76CC,大學段,.00,都市：住,全筆移轉
RPQPMLNJOHPFFBJ56DC,隘興段,1193.22,都市：住,全筆移轉
RPUOMLLLNHPFFBJ66CC,公園段,.00,都市：住,全筆移轉
RPTOMLLLNHPFFBJ56CC,大學段,.00,都市：住,全筆移轉
RPWOMLNJOHPFFBJ96CC,永興段,.00,都市：住,全筆移轉
RPVOMLLLNHPFFBJ76CC,隘興段,.00,都市：住,全筆移轉
RPPPMLTLNHPFFBJ07CC,大學段,.00,都市：住,全筆移轉
RPPOMLTKNHPFFBJ86CC,家興段,.00,都市：商,全筆移轉
RPUNMLTJOHPFFBJ27CC,新國段,216.20,都市：住,全筆移轉
RPPPMLTJOHPFFBJ96CC,自強段,137.80,都市：住,全筆移轉
RPPPMLTJOHPFFBJ96CC,自強段,46.73,都市：住,全筆移轉
RPUNMLTJOHPFFDJ47CC,中興段新興小段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,全筆移轉
RPWNMLSJOHPFFBJ37CC,自強段,.00,都市：住,全筆移轉
RPUNMLSJOHPFFBJ17CC,台元段,.00,都市：工,全筆移轉
RPTOMLSJOHPFFBJ17CC,世興段,.00,都市：商,全筆移轉
RPXNMLSJOHPFFBJ47CC,隘興段,.00,都市：住,全筆移轉
RPOOMLSJOHPFFBJ66CC,世興段,.00,都市：商,全筆移轉
RPROMLSJOHPFFBJ96CC,世興段,.00,都市：商,全筆移轉
RPVPMLKKOHPFFDJ96CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPUPMLKKOHPFFDJ86CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPUPMLKKOHPFFDJ86CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPPQMLKKOHPFFDJ09CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPXPMLKKOHPFFDJ17CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPWPMLKKOHPFFDJ07CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPQQMLKKOHPFFDJ56CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPPPMLKKOHPFFDJ98CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPPPMLKKOHPFFDJ98CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPOPMLKKOHPFFDJ88CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPSPMLKKOHPFFDJ66CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPQPMLKKOHPFFDJ09CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
