編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPOOMLLLNHPFFBK58CA,仁隆段,509.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,全筆移轉
RPOOMLLLNHPFFBK58CA,仁隆段,1028.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,全筆移轉
RPOOMLLLNHPFFBK58CA,仁隆段,354.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,全筆移轉
RPOOMLLLNHPFFBK58CA,仁隆段,504.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,全筆移轉
RPOOMLLLNHPFFBK58CA,仁隆段,121.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,全筆移轉
RPOOMLLLNHPFFBK58CA,仁隆段,1009.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,全筆移轉
RPOOMLLLNHPFFBK58CA,仁隆段,815.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,全筆移轉
RPQNMLMKNHPFFAK58CA,仙山段,2500.02,非都市：森林區 ; 非都市編定：農牧用地,全筆移轉
RPRNMLMKNHPFFBK78CA,館明段,117.04,都市：住,全筆移轉
RPTNMLNKNHPFFCK56CA,苑西段,20.06,都市：住,持分移轉
RPWNMLPJOHPFFBK96CA,文發段,28.10,都市：住,持分移轉
RPQNMLNKNHPFFBK78CA,齊佳段,15.47,都市：住,持分移轉
RPXNMLLKNHPFFDK86CA,水尾子段,2304.00,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPSNMLMKNHPFFCK98CA,田心段,1127.00,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPSNMLMKNHPFFCK98CA,田心段,1128.00,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPPNMLNKNHPFFDK88CA,淡文湖段,15.61,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPSNMLOKNHPFFEK76CA,水美段,1.13,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPSNMLOKNHPFFEK76CA,水美段,34.47,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPSNMLOKNHPFFEK76CA,水美段,66.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPPOMLNKNHPFFDK98CA,文化段,36.78,都市：住,持分移轉
SPROMLMKNHPFFDK56CA,東平段,26.38,都市：商,持分移轉
SPROMLMKNHPFFDK56CA,東平段,1.99,都市：住,持分移轉
RPUNMLPJOHPFFBK76CA,苗栗段,18.16,都市：住,持分移轉
RPPNMLMKNHPFFDK78CA,竹南段一小段,25.83,都市：住,持分移轉
RPQNMLMKNHPFFDK88CA,新崎頂段,92.97,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPROMLMKNHPFFDK09CA,東平段,26.40,都市：商,持分移轉
RPRNMLMKNHPFFCK88CA,文山段,94.03,都市：住,全筆移轉
RPRNMLMKNHPFFCK88CA,文山段,121.16,都市：住,全筆移轉
RPROMLMKNHPFFDK09CA,東平段,1.99,都市：住,持分移轉
RPRNMLMKNHPFFDK98CA,大同段,15.30,都市：住,持分移轉
RPRNMLMKNHPFFDK98CA,大同段,140.18,都市：住,全筆移轉
RPPOMLNKNHPFFFK56CA,藤坪段,230.72,非都市：特定農業區 ; 非都市編定：丁種建築用地,全筆移轉
RPPOMLNKNHPFFFK56CA,藤坪段,1.70,非都市：特定農業區 ; 非都市編定：丁種建築用地,持分移轉
RPPOMLNKNHPFFFK56CA,藤坪段,1.32,非都市：特定農業區 ; 非都市編定：丁種建築用地,持分移轉
RPPOMLNKNHPFFFK56CA,藤坪段,32.87,非都市：特定農業區 ; 非都市編定：甲種建築用地,持分移轉
RPPOMLNKNHPFFFK56CA,藤坪段,.22,非都市：特定農業區 ; 非都市編定：甲種建築用地,持分移轉
RPVNMLPKNHPFFFK27CA,藤坪段,1181.59,非都市：山坡地保育區 ; 非都市編定：農牧用地,全筆移轉
RPUNMLPKNHPFFFK17CA,濫坑段,2505.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,全筆移轉
RPUNMLPKNHPFFFK17CA,濫坑段,65.47,非都市：山坡地保育區 ; 非都市編定：農牧用地,持分移轉
RPPNMLQKNHPFFFK76CA,和平段,43.57,都市：商,全筆移轉
RPPNMLQKNHPFFFK76CA,和平段,78.53,都市：商,全筆移轉
RPPNMLQKNHPFFFK76CA,和平段,54.67,都市：商,全筆移轉
RPPNMLQKNHPFFFK76CA,和平段,48.71,都市：商,全筆移轉
RPPNMLQKNHPFFFK76CA,和平段,42.27,都市：商,全筆移轉
RPSNMLOKNHPFFFK86CA,親民段,83.91,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPPNMLNKNHPFFFK09CA,大化段,6.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPPNMLNKNHPFFFK09CA,大化段,187.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPSNMLNKNHPFFFK76CA,仁愛段,.83,都市：工,持分移轉
RPSNMLNKNHPFFFK76CA,仁愛段,34.05,都市：工,持分移轉
RPSNMLNKNHPFFFK76CA,仁愛段,140.01,都市：工,全筆移轉
RPOOMLTJOHPFFFK07CA,濫坑段,52.00,非都市：特定農業區 ; 非都市編定：丁種建築用地,全筆移轉
RPOOMLTJOHPFFFK07CA,濫坑段,1858.00,非都市：特定農業區 ; 非都市編定：丁種建築用地,全筆移轉
RPXNMLNKNHPFFFK27CA,信義段,69.39,都市：住,全筆移轉
RPXNMLNKNHPFFFK27CA,信義段,.65,都市：住,持分移轉
RPXNMLNKNHPFFFK27CA,信義段,1.55,都市：住,持分移轉
RPXNMLNKNHPFFFK27CA,信義段,.52,都市：住,持分移轉
RPXNMLNKNHPFFFK27CA,信義段,.02,都市：住,持分移轉
RPXNMLNKNHPFFFK27CA,信義段,6.87,都市：住,持分移轉
RPXNMLNKNHPFFFK27CA,信義段,.27,都市：住,持分移轉
RPPNMLLJOHPFFDK68CA,竹圍段,152.38,都市：農,持分移轉
RPRNMLLJOHPFFDK88CA,外埔段,2140.00,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
SPSNMLOKNHPFFFK96CA,親民段,83.91,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPUNMLTKNHPFFFK57CA,永貞段,43.83,都市：住,持分移轉
RPTNMLPKNHPFFFK07CA,中華段,27.47,都市：住,持分移轉
RPTNMLOKNHPFFFK96CA,斗煥段,83.58,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,全筆移轉
RPTNMLOKNHPFFFK96CA,斗煥段,28.12,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPQNMLRKNHPFFBK56CA,苗栗段,29.29,都市：住,持分移轉
RPPNMLTKNHPFFBK66CA,頭屋段一小段,181.99,都市：其他:市場用地,持分移轉
RPPNMLTKNHPFFFK07CA,自強段,118.18,都市：住,全筆移轉
RPPNMLTKNHPFFFK07CA,自強段,.22,都市：住,持分移轉
RPPNMLTKNHPFFFK07CA,自強段,28.34,都市：住,持分移轉
RPRNMLMKNHPFFFK56CA,僑善段,34.01,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPQNMLMKNHPFFFK09CA,僑善段,34.01,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPWNMLMLNHPFFCK86CA,田寮段,362.40,非都市：特定農業區 ; 非都市編定：農牧用地,持分移轉
RPXNMLPLNHPFFDK37CA,延平段,79.56,都市：住,全筆移轉
RPPNMLPKNHPFFAK78CA,大湖段,1001.00,非都市：山坡地保育區 ; 非都市編定：林業用地,全筆移轉
RPPNMLPKNHPFFAK78CA,大湖段,1001.00,非都市：山坡地保育區 ; 非都市編定：林業用地,全筆移轉
RPVNMLMKNHPFFCK66CA,土城段,1327.00,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPPNMLSKNHPFFAK09CA,義和段,18.06,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,全筆移轉
RPPNMLSKNHPFFAK09CA,義和段,149.04,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,全筆移轉
RPPNMLQLNHPFFCK56CA,通北段,14.25,都市：住,持分移轉
RPRNMLNKNHPFFCK98CA,慈護段,597.80,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPPNMLSKNHPFFCK66CA,苑西段,69.11,都市：住,全筆移轉
RPPNMLSKNHPFFCK66CA,苑西段,4.31,都市：住,全筆移轉
RPPNMLOKNHPFFCK88CA,內湖東段,439.72,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
RPSNMLSJOHPFFCK96CA,通南段,46.08,都市：農,持分移轉
RPSNMLSJOHPFFCK96CA,通南段,46.08,都市：農,持分移轉
RPSNMLSJOHPFFCK96CA,通南段,46.08,都市：農,持分移轉
RPSNMLSJOHPFFCK96CA,通南段,46.08,都市：農,持分移轉
RPSNMLSJOHPFFCK96CA,通南段,46.08,都市：農,持分移轉
RPSNMLSJOHPFFCK96CA,通南段,46.09,都市：農,持分移轉
RPSNMLSJOHPFFCK96CA,通南段,165.48,都市：農,持分移轉
RPXNMLLLNHPFFBK76CA,福麗段,98.69,都市：住,全筆移轉
