編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQPMLOKPHPFFFK27DB,民富段,17.23,都市：住,持分移轉
RPVPMLOKPHPFFFK77DB,民富段,17.23,都市：住,持分移轉
RPPPMLOKPHPFFFK17DB,民富段,17.23,都市：住,持分移轉
RPUPMLOKPHPFFFK67DB,民富段,17.23,都市：住,持分移轉
RPSPMLOKPHPFFFK47DB,民富段,17.23,都市：住,持分移轉
RPOPMLOKPHPFFFK07DB,民富段,17.23,都市：住,持分移轉
RPTPMLOKPHPFFFK57DB,民富段,17.23,都市：住,持分移轉
RPRPMLOKPHPFFFK37DB,民富段,17.23,都市：住,持分移轉
RPXPMLOKPHPFFFK97DB,民富段,17.23,都市：住,持分移轉
RPWPMLOKPHPFFFK87DB,民富段,17.23,都市：住,持分移轉
RPQQMLOKPHPFFFK37DB,民富段,24.34,都市：住,持分移轉
RPPQMLOKPHPFFFK27DB,民富段,24.34,都市：住,持分移轉
RPVQMLOKPHPFFFK87DB,民富段,24.34,都市：住,持分移轉
RPRQMLOKPHPFFFK47DB,民富段,24.34,都市：住,持分移轉
RPSQMLOKPHPFFFK57DB,民富段,24.34,都市：住,持分移轉
RPXQMLOKPHPFFFK08DB,民富段,24.34,都市：住,持分移轉
RPORMLOKPHPFFFK27DB,民富段,24.34,都市：住,持分移轉
RPTQMLOKPHPFFFK67DB,民富段,24.34,都市：住,持分移轉
RPUQMLOKPHPFFFK77DB,民富段,24.34,都市：住,持分移轉
RPWQMLOKPHPFFFK97DB,民富段,24.34,都市：住,持分移轉
RPPRMLOKPHPFFFK37DB,民富段,24.34,都市：住,持分移轉
RPQRMLOKPHPFFFK47DB,民富段,20.31,都市：住,持分移轉
