編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQNMLPKOHPFFFK07CC,後湖段,97.16,都市：住,全筆移轉
RPQNMLPKOHPFFFK07CC,後湖段,96.30,都市：住,全筆移轉
RPTNMLMLOHPFFBK76CC,豐年段,4.13,都市：住,全筆移轉
RPSNMLMKOHPFFBK56CC,苗栗段,80.00,都市：住,全筆移轉
RPWNMLOLOHPFFBK27CC,福全段,221.41,都市：住,全筆移轉
RPOPMLNLOHPFFFK96CC,東民段,22.82,都市：住,全筆移轉
RPSNMLNLOHPFFBK76CC,英才段,109.91,都市：住,全筆移轉
RPQOMLNLOHPFFFK07CC,文化段,89.27,都市：住,全筆移轉
RPXNMLRJPHPFFBK57CC,苗栗段,297.00,都市：住,全筆移轉
RPVNMLQLNHPFFDK57DC,竹南段二小段,11.93,都市：商,全筆移轉
RPSOMLQJPHPFFBK07CC,苗栗段,71.00,都市：商,全筆移轉
RPSOMLQJPHPFFBK07CC,苗栗段,5.00,都市：商,全筆移轉
RPRPMLRJPHPFFFK57CC,德義段,28.30,都市：住,全筆移轉
RPPPMLSJPHPFFFK47CC,義民段,.00,都市：商,全筆移轉
RPPPMLSJPHPFFFK47CC,義民段,.00,都市：商,全筆移轉
RPSPMLRJPHPFFFK67CC,德義段,28.30,都市：住,全筆移轉
RPUNMLPKNHPFFBK96CC,建功段,23.69,都市：住,全筆移轉
RPQPMLSJPHPFFFK67DC,中央段,862.82,都市：住,全筆移轉
RPVNMLLKNHPFFBK66CC,福安段,19.31,都市：住,全筆移轉
RPVNMLLKNHPFFBK66CC,福安段,1.02,都市：住,全筆移轉
RPTNMLLJPHPFFFK07DC,光華段,.00,都市：住,全筆移轉
RPTNMLLJPHPFFFK07DC,光華段,.00,都市：住,全筆移轉
RPTNMLLJPHPFFFK07DC,光華段,.00,都市：住,全筆移轉
RPSNMLKKPHPFFBK09CC,福安段,19.74,都市：住,全筆移轉
RPXNMLPKPHPFFFK97DC,仁愛段,28.14,都市：住,全筆移轉
RPTNMLKMPHPFFBK76CC,苗栗段,34.32,都市：住,全筆移轉
RPWNMLLMPHPFFBK17CC,巨蛋段,93.16,都市：住,全筆移轉
RPPNMLLMPHPFFBK09CC,苗栗段,17.63,都市：住,全筆移轉
RPPOMLKKQHPFFBK98CC,福星段田寮小段,5582.00,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPUNMLLJPHPFFFK17DC,光華段,.00,都市：住,全筆移轉
RPUNMLLJPHPFFFK17DC,光華段,.00,都市：住,全筆移轉
RPUNMLLJPHPFFFK17DC,光華段,.00,都市：住,全筆移轉
RPPNMLLMPHPFFFK86CC,仁愛段,28.15,都市：住,全筆移轉
RPRNMLLMPHPFFFK07CC,園段,61.05,都市：住,全筆移轉
RPWNMLOKPHPFFDK47CC,龍鳳東段,90.28,都市：住,全筆移轉
