鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
中寮鄉,土地,永昌段571~600地號,139.78,住,,,1090225,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,8585,,0.0,0,,RPTNMLLKNHPFFAM98CA,0.0,0.0,0.0,
南投市,房地(土地+建物),南投縣南投市新興路511~540號,426.4,,鄉村區,乙種建築用地,1090415,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0731001,209.27,3,2,2,有,無,4555000,21766,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUNMLLKNHPFFAM09CA,209.27,0.0,0.0,
南投市,房地(土地+建物),南投縣南投市營北路166巷1~30號,92.46,住,,,1090330,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0680531,111.94,4,2,2,有,無,5500000,49133,,0.0,0,共有人2人,RPUNMLMKNHPFFAM56CA,111.94,0.0,0.0,
南投市,土地,牛運堀段241~270地號,304.0,住,,,1090321,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11495000,37813,,0.0,0,,RPQNMLKLNHPFFAM68CA,0.0,0.0,0.0,
中寮鄉,房地(土地+建物),南投縣中寮鄉永平路441之23巷1~30號,90.6,,鄉村區,乙種建築用地,1090416,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0920422,138.66,3,2,3,有,無,4900000,35338,,0.0,0,,RPSNMLKLNHPFFAM88CA,136.01,0.0,2.65,
草屯鎮,房地(土地+建物),南投縣草屯鎮大成街92巷1~30號,77.31,住,,,1090410,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0621217,91.56,4,2,2,有,無,5000000,54609,,0.0,0,含增建或未登記建物。;,RPUNMLOKNHPFFBM86CA,91.56,0.0,0.0,
草屯鎮,土地,中興段121~150地號,107.0,住,,,1090408,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10600000,99065,,0.0,0,,RPUNMLKLNHPFFBM56CA,0.0,0.0,0.0,
草屯鎮,土地,土城段451~480地號,152.15,,鄉村區,乙種建築用地,1090218,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3130000,20572,,0.0,0,,RPRNMLMLNHPFFBM09CA,0.0,0.0,0.0,
草屯鎮,房地(土地+建物),南投縣草屯鎮新厝里新富一街55巷31~60號,153.85,住,,,1090422,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1030616,383.71,5,3,5,有,無,28000000,72972,,0.0,0,,RPPNMLPLNHPFFBM56CA,340.82,0.0,42.89,
埔里鎮,土地,愛蘭段241~270地號,36.79,,鄉村區,乙種建築用地,1090408,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,250000,6795,,0.0,0,瑕疵物件之交易。;,RPQNMLMKNHPFFCM98CA,0.0,0.0,0.0,
埔里鎮,房地(土地+建物),南投縣埔里鎮中華路61~90號,54.08,住,,,1090330,土地1建物1車位0,一層，二層，騎樓,九層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0931116,291.55,3,1,2,有,無,8000000,27440,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVNMLPKNHPFFCM17CA,200.91,0.0,13.17,
仁愛鄉,土地,曲冰段751~780地號,253.5,,鄉村區,乙種建築用地,1090511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,110000,434,,0.0,0,,RPVOMLSLNHPFFCM67CA,0.0,0.0,0.0,
埔里鎮,房地(土地+建物),南投縣埔里鎮東潤路61~90號,62.05,,鄉村區,乙種建築用地,1090407,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0740423,60.0,4,2,2,有,無,3500000,58333,,0.0,0,含增建或未登記建物。;,RPRNMLMJOHPFFCM09CA,60.0,0.0,0.0,
鹿谷鄉,土地,新初鄉段61~90地號,2585.88,,一般農業區,農牧用地,1090423,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10000000,3867,,0.0,0,,RPPNMLMKNHPFFDM98CA,0.0,0.0,0.0,
竹山鎮,土地,圳頭段691~720地號,186.47,住,,,1090416,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1739000,9326,,0.0,0,不動產之共有人數為４人,RPTNMLPKNHPFFDM07CA,0.0,0.0,0.0,
鹿谷鄉,土地,新內湖段481~510地號,896.79,住,,,1090423,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8800000,9813,,0.0,0,權利人2位,RPQNMLMLNHPFFDM56CA,0.0,0.0,0.0,
鹿谷鄉,房地(土地+建物),南投縣鹿谷鄉愛鄉路61~90號,20.91,,鄉村區,乙種建築用地,1090505,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1060904,66.19,1,1,1,有,無,2600000,39281,,0.0,0,,RPPNMLQLNHPFFDM86CA,40.63,0.0,3.96,
竹山鎮,土地,保生段301~330地號,198.44,,鄉村區,乙種建築用地,1090322,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1580000,7962,,0.0,0,,RPRNMLMKNHPFFDM66DA,0.0,0.0,0.0,
