編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLPLNHPFFBM56CA,6,383.71,住家用,鋼筋混凝土造,103年6月16日,四層,一層 二層 三層 四層
RPUNMLOKNHPFFBM86CA,46,91.56,住家用,鋼筋混凝土加強磚造,62年12月17日,二層,一層 二層
RPSNMLKLNHPFFAM88CA,17,138.66,住家用,鋼筋混凝土造,92年4月22日,三層,一層 二層 三層 屋頂突出物
RPUNMLLKNHPFFAM09CA,36,209.27,住家用,鋼筋混凝土加強磚造,73年10月1日,二層,一層 二層
RPRNMLMJOHPFFCM09CA,35,60.00,住家用,加強磚造,74年4月23日,二層,一層 二層
RPVNMLPKNHPFFCM17CA,15,214.08,住商用,鋼筋混凝土造,93年11月16日,九層,一層 二層 騎樓
RPVNMLPKNHPFFCM17CA,15,77.47,見其他登記事項,鋼筋混凝土造,93年11月16日,九層,
RPPNMLQLNHPFFDM86CA,3,44.59,見其他登記事項,鋼筋混凝土造,106年9月4日,七層,六層
RPPNMLQLNHPFFDM86CA,3,21.60,見其他登記事項,鋼筋混凝土造,106年9月4日,七層,
RPUNMLMKNHPFFAM56CA,41,111.94,住家用,鋼筋混凝土加強磚造,68年5月31日,二層,一層 二層
RPRNMLMKNHPFFCM56DA,44,64.90,住家用,加強磚造,65年10月1日,一層,一層
RPSNMLTKNHPFFCM27CA,25,85.35,見其他登記事項,鋼筋混凝土造,83年12月31日,十二層,三層
RPSNMLTKNHPFFCM27CA,25,19.90,見其他登記事項,鋼筋混凝土造,83年12月31日,十二層,
RPOOMLMKNHPFFAM68CA,26,99.53,住家用,鋼筋混凝土造,83年4月28日,三層,一層 二層 三層
RPPOMLSLNHPFFCM07CA,4,105.45,農舍,鋼筋混凝土造,105年4月1日,三層,一層 二層 三層
RPPOMLMKNHPFFAM78CA,13,156.38,住家用,鋼筋混凝土造,95年12月7日,四層,一層 二層 三層 四層
RPVNMLNKNHPFFAM76CA,40,109.29,住商用,鋼筋混凝土加強磚造,68年11月8日,二層,一層 二層 騎樓
RPPNMLNKNHPFFAM78CA,27,64.66,住家用,鋼筋混凝土造,82年3月22日,八層,四層
RPPNMLNKNHPFFAM78CA,27,16.73,見其他登記事項,鋼筋混凝土造,82年3月22日,八層,
RPPNMLSKNHPFFBM76CA,56,108.96,住商用,鋼筋混凝土加強磚造,53年3月16日,二層,一層 二層 騎樓
RPWNMLNKNHPFFAM86CA,28,189.58,住商用,鋼筋混凝土造,80年12月3日,三層,一層 二層 三層 騎樓
RPPNMLKLNHPFFAM58CA,40,524.65,見其他登記事項,見其他登記事項,68年12月27日,二層,一層 二層 地下層
RPVNMLOKNHPFFCM07CA,40,111.06,住家用,鋼筋混凝土加強磚造,69年2月29日,二層,一層 二層
RPSNMLOKNHPFFCM76CA,5,308.15,農舍,鋼筋混凝土造,104年7月1日,三層,一層 二層 三層 見其他登記事項
RPQNMLTKNHPFFAM86CA,41,89.36,住家用,鋼筋混凝土加強磚造,68年2月19日,二層,一層 二層
RPTNMLKLNHPFFBM09CA,5,222.70,農舍,見其他登記事項,102年6月26日,三層,一層 二層 三層
RPRNMLOKNHPFFAM09CA,4,174.43,見其他登記事項,鋼筋混凝土造,105年6月23日,三層,一層 二層 三層 屋頂突出物
RPVNMLSLNHPFFAM37CA,26,72.10,住商用,鋼筋混凝土造,83年7月19日,三層,一層 二層 三層
RPVNMLSLNHPFFAM37CA,26,72.10,住商用,鋼筋混凝土造,83年7月19日,三層,一層 二層 三層
RPTNMLQLNHPFFCM17CA,25,148.72,住家用,加強磚造,84年6月1日,三層,一層 二層 三層
