編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUNMLMJOHPFFBM86CC,2,183.64,見其他登記事項,鋼筋混凝土造,107年8月22日,四層,
RPUNMLMJOHPFFBM86CC,2,.15,見其他登記事項,鋼筋混凝土造,107年8月22日,一層,
RPQNMLMKOHPFFAM09CC,9,112.40,住商用,見其他登記事項,100年7月7日,04,
RPPNMLQKOHPFFBM86CC,45,111.89,住家用,鋼筋混凝土加強磚造,64年4月11日,三層,
RPWNMLQLNHPFFAM47CC,45,104.85,見其他登記事項,鋼筋混凝土加強磚造,64年9月1日,三層,
RPUNMLTKOHPFFBM67CC,3,145.30,見其他登記事項,鋼筋混凝土造,106年6月13日,三層,
RPPNMLLJPHPFFBM98CC,54,240.60,住商用,鋼筋混凝土加強磚造,55年1月17日,三層,
RPTNMLMLNHPFFBM86CC,24,70.97,住家用,鋼筋混凝土造,85年9月2日,五層,
RPTNMLMLNHPFFBM86CC,24,3.54,見其他登記事項,鋼筋混凝土造,85年9月2日,五層,
RPPOMLMJPHPFFBM66DC,39,140.20,住家用,鋼筋混凝土加強磚造,69年12月27日,二層,
RPPOMLNKPHPFFAM66CC,26,112.89,住家用,鋼筋混凝土造,83年11月9日,十六層,
RPPOMLNKPHPFFBM76CC,32,81.90,見其他登記事項,鋼筋混凝土造,77年9月23日,二層,
RPWNMLQKPHPFFBM67CC,46,46.91,住商用,鋼筋混凝土加強磚造,63年7月20日,四層,
RPXNMLQKPHPFFBM77CC,46,101.28,住商用,鋼筋混凝土加強磚造,63年7月20日,四層,
RPRNMLSKNHPFFBM27DC,25,258.44,住家用,鋼筋混凝土造,84年11月2日,四層,
RPPNMLNKNHPFFBM09CC,22,159.99,住家用,鋼筋混凝土造,87年5月26日,三層,
RPSNMLPJQHPFFCM27CC,31,197.19,住商用,鋼筋混凝土造,78年6月29日,七層,
RPTNMLLLNHPFFBM76CC,30,225.00,農舍,加強磚造,79年9月20日,二層,
RPWNMLKKQHPFFBM17CC,28,20.77,住商用,鋼筋混凝土造,81年12月11日,五層,
RPTNMLPKNHPFFAM96CC,13,166.85,住商用,鋼筋混凝土造,96年5月10日,四層,
