編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPTNMLSJOHPFFBM37CC,新興段,128.90,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPUNMLSJOHPFFBM47CC,新興段,128.90,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPUNMLMJOHPFFBM86CC,新富寮段,73.12,都市：住,全筆移轉
RPQNMLMKOHPFFAM09CC,包尾段,568.00,都市：住,全筆移轉
RPPNMLQKOHPFFBM86CC,明賢段,52.43,都市：住,全筆移轉
RPWNMLQLNHPFFAM47CC,南投段,148.00,都市：商,全筆移轉
RPUNMLTKOHPFFBM67CC,玉峰段,62.77,都市：住,全筆移轉
RPPNMLMLOHPFFBM56CC,中興段,90.00,都市：住,全筆移轉
RPPNMLMLOHPFFBM56CC,中興段,90.00,都市：住,全筆移轉
RPPNMLMLOHPFFBM56CC,中興段,153.00,都市：住,全筆移轉
RPSNMLKLNHPFFCM66CC,忠實段,605.33,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPTPMLNJPHPFFBM17CC,明賢段,87.14,都市：住,全筆移轉
RPTPMLNJPHPFFBM17CC,明賢段,58.74,都市：住,全筆移轉
RPPNMLLJPHPFFBM98CC,草屯段,92.00,都市：商,全筆移轉
RPTNMLMLNHPFFBM86CC,新屋段,1.02,都市：住,全筆移轉
RPPOMLMJPHPFFBM66DC,北投段,103.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPPOMLNKPHPFFAM66CC,包尾段,12.67,都市：住,全筆移轉
RPPOMLNKPHPFFBM76CC,草屯段,81.00,都市：其他,全筆移轉
RPWNMLQKPHPFFBM67CC,明賢段,11.56,都市：商,全筆移轉
RPWNMLQKPHPFFBM67CC,明賢段,101.78,都市：商,全筆移轉
RPXNMLQKPHPFFBM77CC,明賢段,11.56,都市：商,全筆移轉
RPXNMLQKPHPFFBM77CC,明賢段,101.78,都市：商,全筆移轉
RPRNMLSKNHPFFBM27DC,草屯段,113.00,都市：住,全筆移轉
RPPNMLNKNHPFFBM09CC,新富功段,76.07,都市：住,全筆移轉
RPSNMLPJQHPFFCM27CC,光榮段,34.92,都市：商,全筆移轉
RPTNMLLLNHPFFBM76CC,北投段,3943.00,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPWNMLKKQHPFFBM17CC,明賢段,20.77,都市：商,全筆移轉
RPTNMLPKNHPFFAM96CC,華新段,93.95,都市：住,全筆移轉
