編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPVOMLSKNHPFFAO57CA,升降機械,0,10.44,
RPRPMLSKNHPFFAO27CA,坡道平面,1400000,33.11,
RPXNMLSKNHPFFAO67CA,坡道平面,0,,
RPUPMLMKNHPFFAO96CA,坡道機械,0,,
RPXOMLMKNHPFFAO17CA,坡道平面,1425000,29.76,
RPXOMLMKNHPFFAO17CA,坡道平面,1425000,29.76,
RPQQMLTJOHPFFAO37CA,坡道平面,350000,22.25,
RPQQMLTJOHPFFAO37CA,坡道平面,350000,29.40,
RPXNMLPLNHPFFAO47CA,坡道平面,0,,
RPXNMLPLNHPFFAO47CA,坡道平面,0,,
RPOOMLLKNHPFFAO78CA,升降機械,750000,5.02,
RPQOMLMJOHPFFAO09CA,坡道平面,0,,
RPPOMLOLNHPFFAO66CA,坡道平面,0,31.93,
RPUOMLTLNHPFFAO67CA,一樓平面,0,,
RPVQMLPKNHPFFAO47CA,升降機械,0,,
RPTOMLNKNHPFFAO86CA,坡道平面,0,29.45,
RPTQMLPKNHPFFAO27CA,坡道平面,0,,
RPTQMLPKNHPFFAO27CA,坡道平面,0,,
RPVNMLSKNHPFFAO47CA,坡道平面,0,23.15,
RPVNMLSKNHPFFAO47CA,坡道平面,0,23.15,
RPVPMLSKNHPFFAO67CA,坡道平面,0,,
RPSPMLSKNHPFFAO37CA,坡道平面,0,,
RPPNMLLKOHPFFAO88CA,其他,320000,20.83,
RPSNMLLKOHPFFAO56CA,其他,352000,20.83,
RPXNMLLKOHPFFAO07CA,其他,280000,20.83,
RPXPMLKKOHPFFAO17CA,坡道平面,0,,
RPQNMLMKOHPFFAO09CA,其他,312000,20.83,
RPWNMLMKOHPFFAO07CA,其他,312000,20.83,
RPRNMLMKOHPFFAO56CA,其他,320000,20.83,
RPSNMLMKOHPFFAO66CA,其他,352000,20.83,
RPTPMLQLNHPFFAO37CA,升降機械,0,,
RPUNMLMKOHPFFAO86CA,其他,312000,20.83,
RPVNMLMKOHPFFAO96CA,其他,280000,20.83,
RPQPMLTKNHPFFAO27CA,坡道平面,0,,
RPQPMLTKNHPFFAO27CA,坡道平面,0,,
RPSNMLLLNHPFFAO56CA,坡道平面,0,44.60,
RPPRMLPKNHPFFAO96CA,坡道平面,0,27.57,
RPWNMLTKNHPFFAO67CA,坡道平面,1550000,37.39,
RPVNMLTKNHPFFAO57CA,坡道平面,1450000,37.39,
RPUNMLTKNHPFFAO47CA,坡道平面,1500000,37.39,
RPOOMLTKNHPFFAO96CA,坡道平面,1000000,22.49,
RPXNMLTKNHPFFAO77CA,坡道平面,1550000,37.39,
RPQOMLTKNHPFFAO17CA,坡道平面,900000,22.49,
RPOOMLSKNHPFFAO86CA,坡道機械,0,,
RPPOMLTKNHPFFAO07CA,坡道平面,1550000,37.39,
RPVOMLTKNHPFFAO67CA,坡道平面,1550000,37.39,
RPUPMLTKNHPFFAO67CA,坡道平面,1500000,37.39,
RPXPMLTKNHPFFAO97CA,坡道平面,1450000,37.39,
RPRQMLTKNHPFFAO47CA,坡道平面,950000,22.49,
RPPQMLTKNHPFFAO27CA,坡道平面,1450000,37.39,
RPOQMLTKNHPFFAO17CA,坡道平面,0,,
RPORMLTKNHPFFAO27CA,坡道機械,0,15.73,
RPTQMLTKNHPFFAO67CA,坡道平面,1500000,37.39,
RPTRMLTKNHPFFAO77CA,坡道機械,0,8.27,
RPUQMLTKNHPFFAO77CA,坡道平面,950000,22.49,
RPUNMLMLNHPFFAO86CA,坡道平面,2100000,29.71,
RPTPMLKLNHPFFAO76CA,一樓平面,0,20.99,
RPRPMLKLNHPFFAO56CA,一樓平面,0,,
RPQNMLNLNHPFFAO56CA,坡道平面,0,32.72,
RPQPMLLLNHPFFAO56CA,坡道平面,0,,
RPQPMLLLNHPFFAO56CA,坡道平面,0,,
RPXOMLLLNHPFFAO17CA,坡道平面,0,,
RPROMLLLNHPFFAO56CA,坡道機械,0,,
RPVNMLLJOHPFFAO76CA,坡道平面,0,28.24,
RPVNMLLJOHPFFAO76CA,坡道平面,0,33.44,
RPQOMLLLNHPFFAO09CA,坡道平面,0,26.44,
RPWNMLTLNHPFFAO77CA,坡道平面,1500000,31.21,
RPVNMLTLNHPFFAO67CA,坡道平面,1400000,31.21,
RPVOMLNJOHPFFAO07CA,坡道平面,0,40.66,
RPQNMLTLNHPFFAO17CA,坡道平面,0,,
RPTNMLRLNHPFFAO27CA,坡道平面,0,64.28,
RPPOMLMKOHPFFAO09CA,坡道平面,0,,
RPSNMLLJOHPFFAO09CA,坡道平面,1150000,44.36,
RPOQMLKLNHPFFAO98CA,坡道平面,0,,
RPOOMLSJOHPFFAO86CA,坡道平面,0,,
RPTPMLTKNHPFFAO57CA,坡道平面,0,29.76,
RPRPMLTKNHPFFAO37CA,坡道平面,1350000,29.76,
RPVPMLTKNHPFFAO77CA,坡道平面,0,,
RPVPMLTKNHPFFAO77CA,坡道平面,0,,
RPTOMLKLNHPFFAO66CA,坡道平面,0,,
RPTOMLKLNHPFFAO66CA,坡道平面,0,,
RPSOMLMLNHPFFAO76CA,坡道平面,0,,
RPWOMLOLNHPFFAO37CA,坡道平面,0,,
RPPQMLNJOHPFFAO66CA,坡道平面,0,,
RPTOMLKKOHPFFAO66CA,坡道機械,700000,26.27,
RPUOMLRLNHPFFAO47CA,坡道平面,0,33.10,
RPWNMLRLNHPFFAO57CA,坡道機械,0,,
RPXOMLKKOHPFFAO07CA,坡道平面,1000000,44.18,
RPVOMLKKOHPFFAO86CA,坡道機械,700000,26.28,
SPUOMLKKOHPFFAO86CA,坡道機械,700000,26.28,
RPQOMLSLNHPFFAO17CA,坡道平面,1750000,32.59,
RPQPMLQLNHPFFAO07CA,坡道機械,0,14.06,
RPQPMLQLNHPFFAO07CA,坡道機械,0,14.06,
RPTRMLNJOHPFFAO17CA,坡道平面,0,31.47,
RPTRMLNJOHPFFAO17CA,坡道平面,0,31.47,
RPVNMLPKOHPFFAO27CA,坡道平面,850000,22.81,
RPPNMLQLNHPFFAO76CA,坡道機械,0,,
RPROMLTLNHPFFAO37CA,坡道機械,0,,
RPOOMLPLNHPFFAO66CA,坡道平面,1600000,33.10,
RPUOMLPLNHPFFAO27CA,坡道平面,1400000,33.10,
RPPNMLPJOHPFFAO56CA,坡道平面,0,34.68,
RPPNMLPJOHPFFAO56CA,坡道平面,0,34.68,
RPWOMLPLNHPFFAO47CA,坡道平面,1600000,33.10,
RPVOMLPLNHPFFAO37CA,坡道平面,1350000,33.10,
RPPPMLPLNHPFFAO86CA,坡道平面,1600000,33.10,
RPXOMLPLNHPFFAO57CA,坡道平面,1550000,33.10,
RPTOMLPLNHPFFAO17CA,坡道平面,1400000,33.10,
RPOPMLPLNHPFFAO76CA,坡道平面,1450000,33.10,
RPVNMLLLNHPFFAO86CA,升降機械,0,,
RPSPMLLLNHPFFAO86DA,坡道機械,0,,
RPUOMLMJOHPFFAO86CA,升降機械,0,,
RPWOMLQLNHPFFAO57CA,坡道平面,0,33.71,
RPWOMLQLNHPFFAO57CA,坡道平面,0,33.71,
RPUOMLQLNHPFFAO37CA,坡道平面,0,,
RPRQMLPJOHPFFAO07CA,其他,0,7.88,
RPSRMLQKOHPFFAO47CA,坡道平面,1350000,31.15,
RPRPMLTLNHPFFAO47CA,坡道平面,0,,
RPRPMLTLNHPFFAO47CA,坡道平面,0,,
RPQOMLLKOHPFFAO09CA,坡道平面,0,,
RPPOMLPJOHPFFAO66CA,坡道平面,0,25.00,
RPPOMLPJOHPFFAO66CA,坡道平面,0,25.00,
RPXPMLPJOHPFFAO57CA,坡道平面,0,,
RPXPMLPJOHPFFAO57CA,坡道平面,0,,
RPQNMLOKOHPFFAO66CA,坡道平面,0,,
RPSOMLQLNHPFFAO17CA,坡道平面,0,35.43,
RPQOMLQLNHPFFAO96CA,升降機械,0,,
RPRPMLQLNHPFFAO17CA,坡道平面,0,27.30,
RPRPMLQLNHPFFAO17CA,坡道平面,0,27.30,
RPPOMLSLNHPFFAO07CA,坡道平面,0,,
RPROMLRLNHPFFAO17CA,坡道平面,0,,
RPROMLRLNHPFFAO17CA,坡道平面,0,,
RPTPMLLJOHPFFAO76CA,坡道平面,0,,
RPRNMLLJOHPFFAO98CA,坡道平面,0,,
