編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPVNMLPKNHPFFAO47EB,新興段,37.01,都市：住,持分移轉
RPVNMLPKNHPFFAO47EB,新興段,.00,都市：其他:道路用地,持分移轉
RPOOMLPKNHPFFAO86EB,新興段,31.31,都市：住,持分移轉
RPOOMLPKNHPFFAO86EB,新興段,.00,都市：其他:道路用地,持分移轉
RPSNMLPKNHPFFAO17EB,新興段,35.93,都市：住,持分移轉
RPSNMLPKNHPFFAO17EB,新興段,.00,都市：其他:道路用地,持分移轉
RPSOMLPKNHPFFAO27EB,新興段,35.93,都市：住,持分移轉
RPSOMLPKNHPFFAO27EB,新興段,.00,都市：其他:道路用地,持分移轉
RPWNMLPKNHPFFAO57EB,新興段,35.93,都市：住,持分移轉
RPWNMLPKNHPFFAO57EB,新興段,.00,都市：其他:道路用地,持分移轉
RPROMLPKNHPFFAO17EB,新興段,37.01,都市：住,持分移轉
RPROMLPKNHPFFAO17EB,新興段,.00,都市：其他:道路用地,持分移轉
RPTNMLPKNHPFFAO27EB,新興段,37.01,都市：住,持分移轉
RPTNMLPKNHPFFAO27EB,新興段,.00,都市：其他:道路用地,持分移轉
RPPOMLPKNHPFFAO96EB,新興段,31.31,都市：住,持分移轉
RPPOMLPKNHPFFAO96EB,新興段,.00,都市：其他:道路用地,持分移轉
RPXNMLPKNHPFFAO67EB,新興段,35.93,都市：住,持分移轉
RPXNMLPKNHPFFAO67EB,新興段,.00,都市：其他:道路用地,持分移轉
RPQOMLPKNHPFFAO07EB,新興段,35.93,都市：住,持分移轉
RPQOMLPKNHPFFAO07EB,新興段,.00,都市：其他:道路用地,持分移轉
RPTOMLPKNHPFFAO37EB,新興段,37.01,都市：住,持分移轉
RPTOMLPKNHPFFAO37EB,新興段,.00,都市：其他:道路用地,持分移轉
RPXOMLPKNHPFFAO77EB,新興段,49.44,都市：住,持分移轉
RPXOMLPKNHPFFAO77EB,新興段,.00,都市：其他:道路用地,持分移轉
RPPPMLPKNHPFFAO07EB,新興段,31.31,都市：住,持分移轉
RPPPMLPKNHPFFAO07EB,新興段,.00,都市：其他:道路用地,持分移轉
RPWOMLPKNHPFFAO67EB,新興段,35.93,都市：住,持分移轉
RPWOMLPKNHPFFAO67EB,新興段,.00,都市：其他:道路用地,持分移轉
RPVOMLPKNHPFFAO57EB,新興段,35.93,都市：住,持分移轉
RPVOMLPKNHPFFAO57EB,新興段,.00,都市：其他:道路用地,持分移轉
RPUOMLPKNHPFFAO47EB,新興段,37.01,都市：住,持分移轉
RPUOMLPKNHPFFAO47EB,新興段,.00,都市：其他:道路用地,持分移轉
RPOPMLPKNHPFFAO96EB,新興段,31.31,都市：住,持分移轉
RPOPMLPKNHPFFAO96EB,新興段,.00,都市：其他:道路用地,持分移轉
RPQPMLPKNHPFFAO17EB,新興段,37.01,都市：住,持分移轉
RPQPMLPKNHPFFAO17EB,新興段,.00,都市：其他:道路用地,持分移轉
RPSPMLPKNHPFFAO37EB,新興段,41.64,都市：住,持分移轉
RPSPMLPKNHPFFAO37EB,新興段,.00,都市：其他:道路用地,持分移轉
RPUPMLPKNHPFFAO57EB,新興段,37.01,都市：住,持分移轉
RPUPMLPKNHPFFAO57EB,新興段,.00,都市：其他:道路用地,持分移轉
RPTPMLPKNHPFFAO47EB,新興段,31.31,都市：住,持分移轉
RPTPMLPKNHPFFAO47EB,新興段,.00,都市：其他:道路用地,持分移轉
RPRPMLPKNHPFFAO27EB,新興段,31.31,都市：住,持分移轉
RPRPMLPKNHPFFAO27EB,新興段,.00,都市：其他:道路用地,持分移轉
RPVPMLPKNHPFFAO67EB,新興段,31.31,都市：住,持分移轉
RPVPMLPKNHPFFAO67EB,新興段,.00,都市：其他:道路用地,持分移轉
