編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPOMLOKNHPFFAO76CC,坡道平面,0,,
RPOOMLQLNHPFFAO96CC,坡道平面,0,29.87,
RPOOMLQLNHPFFAO96CC,坡道平面,0,29.87,
RPOPMLRLNHPFFAO17CC,坡道平面,0,,
RPXNMLSLNHPFFAO97CC,坡道平面,0,,
RPPOMLLJOHPFFAO09CC,坡道平面,0,,
RPXNMLMLNHPFFAO37CC,坡道平面,2000,31.78,
RPURMLNJOHPFFAO47CC,坡道平面,0,,
RPSNMLKKOHPFFAO66CC,坡道平面,0,,
RPTNMLKKOHPFFAO76CC,坡道平面,0,27.74,
RPQOMLMKOHPFFAO76CC,其他,0,,
RPPPMLSKOHPFFAO57EC,坡道平面,0,,
RPVNMLLMNHPFFAO17CC,坡道機械,0,,
RPSPMLKMOHPFFAO07CC,坡道機械,0,,
RPQUMLMJPHPFFAO37CC,坡道平面,0,,
RPUNMLQJPHPFFAO47CC,坡道機械,0,,
RPPPMLQKPHPFFAO27CC,坡道機械,2000,16.43,
RPOQNLNLPHPFFAO17CC,坡道平面,0,,
RPSRMLKLPHPFFAO27CC,坡道平面,0,,
RPUOMLPJQHPFFAO57CC,坡道平面,0,,
RPWQMLTLPHPFFAO48CC,坡道平面,3500,35.44,
RPXPMLTLPHPFFAO48CC,其他,0,,
RPPOMLRJQHPFFAO27CC,坡道平面,0,27.57,
RPWPMLQJQHPFFAO97CC,坡道機械,0,,
RPQQMLQJQHPFFAO47CC,升降機械,0,9.19,
