編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLOKNHPFFAP66CA,26,85.37,住家用,鋼筋混凝土造,83年6月15日,十一層,四層
RPQNMLOKNHPFFAP66CA,26,10.13,共同部份,鋼筋混凝土造,83年6月15日,,
RPQNMLOKNHPFFAP66CA,26,11.60,共同部份,鋼筋混凝土造,83年6月15日,十一層,
RPXNMLSJOHPFFDP08CA,28,333.65,住家用,鋼筋混凝土造,81年6月20日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPOOMLOKNHPFFDP86CA,1,9.01,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,四層
RPOOMLOKNHPFFDP86CA,1,3.94,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPOOMLOKNHPFFDP86CA,1,.37,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPPOMLOKNHPFFDP96CA,1,9.01,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,四層
RPPOMLOKNHPFFDP96CA,1,3.94,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPPOMLOKNHPFFDP96CA,1,.37,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPQOMLOKNHPFFDP07CA,1,9.14,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,四層
RPQOMLOKNHPFFDP07CA,1,3.99,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPQOMLOKNHPFFDP07CA,1,.38,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPROMLOKNHPFFDP17CA,1,9.16,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,四層
RPROMLOKNHPFFDP17CA,1,4.02,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPROMLOKNHPFFDP17CA,1,.38,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPUNMLNKNHPFFBP07CA,,233.25,見其他登記事項,鋼筋混凝土造,108年12月9日,三層,一層 二層 三層 見其他登記事項
RPPNMLSKNHPFFEP37CA,29,182.36,住家用,鋼筋混凝土造,80年10月5日,三層,一層 二層 三層 電梯樓梯間
RPQOMLMKNHPFFAP56CA,4,97.16,見其他登記事項,鋼筋混凝土造,105年6月30日,七層,四層
RPQOMLMKNHPFFAP56CA,4,45.78,見其他登記事項,鋼筋混凝土造,105年6月30日,七層,
RPUOMLTLNHPFFAP87DA,27,90.24,住家用,鋼筋混凝土造,82年2月18日,七層,七層
RPUOMLTLNHPFFAP87DA,27,27.89,共同部份,鋼筋混凝土造,82年2月18日,七層,
RPTNMLLLNHPFFFP27CA,38,116.94,住商用,加強磚造,71年3月8日,二層,一層 二層 騎樓
RPXNMLPKNHPFFCP77DA,3,201.09,住家用,鋼筋混凝土造,106年3月27日,三層,見其他登記事項
RPVNMLOKNHPFFAP27DA,,198.37,見其他登記事項,鋼筋混凝土造,108年10月4日,四層,一層 二層 三層 四層
RPUOMLOKNHPFFDP47CA,1,9.14,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,七層
RPUOMLOKNHPFFDP47CA,1,3.99,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPUOMLOKNHPFFDP47CA,1,.38,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPTOMLOKNHPFFDP37CA,1,9.14,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,六層
RPTOMLOKNHPFFDP37CA,1,3.99,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPTOMLOKNHPFFDP37CA,1,.38,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPQNMLOKNHPFFBP86DA,37,144.59,見其他登記事項,鋼筋混凝土加強磚造,72年1月20日,二層,一層 二層
RPSNMLOKNHPFFFP37CA,30,101.36,見其他登記事項,加強磚造,79年6月13日,二層,見其他登記事項
RPTNMLMKOHPFFDP17CA,1,9.29,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,五層
RPTNMLMKOHPFFDP17CA,1,4.07,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPTNMLMKOHPFFDP17CA,1,.38,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPRNMLSKNHPFFDP47CA,25,161.55,住家用,鋼筋混凝土造,83年12月19日,三層,一層 二層 三層
RPOOMLQLNHPFFAP86CA,3,272.00,住家用,鋼筋混凝土造,106年6月5日,四層,一層 二層 三層 四層
RPWNMLTLNHPFFBP97CA,43,113.85,住家用,鋼筋混凝土加強磚造,65年11月1日,二層,一層 二層 騎樓
RPQNMLKLNHPFFBP66EA,26,87.35,住家用,鋼筋混凝土造,82年12月15日,七層,七層
RPQNMLKLNHPFFBP66EA,26,10.02,共有部份,鋼筋混凝土造,82年12月15日,,
RPQNMLKLNHPFFBP66EA,26,25.23,共有部份,鋼筋混凝土造,82年12月15日,,
RPQNMLOKNHPFFBP96EA,38,196.47,住商用,鋼筋混凝土造,71年4月5日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPPOMLOKNHPFFAP66CA,9,232.98,住商用,鋼筋混凝土造,100年1月10日,三層,一層 二層 三層
RPPNMLPKNHPFFBP76CA,30,259.54,住家用,鋼筋混凝土造,78年10月20日,三層,一層 二層 三層 電梯樓梯間
RPPNMLOKNHPFFDP86CA,1,224.90,見其他登記事項,鋼筋混凝土造,108年10月2日,三層,一層 二層 三層 見其他登記事項
RPSNMLPKNHPFFCP17CA,27,189.63,住家用,鋼筋混凝土造,82年8月20日,三層,一層 二層 三層 電梯樓梯間
RPRNMLPKNHPFFAP86CA,,420.04,住家用,鋼筋混凝土造,108年10月4日,四層,一層 二層 三層 四層
RPPNMLSKNHPFFBP07CA,,165.46,住家用,鋼筋混凝土造,109年1月2日,三層,一層 二層 三層
RPPNMLMLNHPFFCP66CA,24,91.93,住家用,鋼筋混凝土造,84年12月20日,八層,七層
RPPNMLMLNHPFFCP66CA,24,9.65,共有部份,鋼筋混凝土造,84年12月20日,八層,
RPPNMLMLNHPFFCP66CA,24,.72,共有部份,鋼筋混凝土造,84年12月20日,,
RPPNMLMLNHPFFCP66CA,24,10.06,共有部份,鋼筋混凝土造,84年12月20日,,
RPQNMLNJOHPFFCP76CA,1,154.82,住家用,鋼筋混凝土造,108年9月23日,三層,一層 二層 三層
RPVOMLOKNHPFFDP57CA,1,9.14,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,七層
RPVOMLOKNHPFFDP57CA,1,3.99,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPVOMLOKNHPFFDP57CA,1,.38,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPWOMLOKNHPFFDP67CA,1,9.01,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,七層
RPWOMLOKNHPFFDP67CA,1,3.94,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPWOMLOKNHPFFDP67CA,1,.37,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPPNMLPKNHPFFDP96CA,28,168.63,住家用,鋼筋混凝土造,81年5月27日,三層,一層 二層 三層
RPWNMLPKNHPFFAP37CA,,287.89,見其他登記事項,鋼筋混凝土造,108年10月1日,四層,一層 二層 三層 四層 屋頂突出物
RPVNMLKLNHPFFAP86CA,13,178.25,住家用,鋼筋混凝土造,96年2月8日,三層,一層 二層 三層
RPSNMLSJOHPFFDP57CA,,140.16,住家用,鋼筋混凝土造,109年2月12日,三層,一層 二層 三層
RPQNMLPJOHPFFDP07CA,,130.39,住家用,鋼筋混凝土造,109年2月12日,三層,一層 二層 三層
RPRNMLSJOHPFFDP47CA,,155.88,住家用,鋼筋混凝土造,109年2月12日,三層,一層 二層 三層
RPOOMLOKNHPFFAP66DA,,198.17,見其他登記事項,鋼筋混凝土造,108年10月4日,四層,一層 二層 三層 四層
RPXNMLMKNHPFFAP17CA,21,99.94,住家用,鋼筋混凝土造,88年9月26日,五層,二層 三層
RPXNMLMKNHPFFAP17CA,21,19.15,停車空間,鋼筋混凝土造,88年9月26日,五層,
RPXNMLMKNHPFFAP17CA,21,19.45,共同部份,鋼筋混凝土造,88年9月26日,五層,
RPTNMLSJOHPFFDP67CA,,155.88,住家用,鋼筋混凝土造,109年2月12日,三層,一層 二層 三層
RPWNMLSJOHPFFDP97CA,,133.02,住家用,鋼筋混凝土造,109年2月12日,三層,一層 二層 三層
RPSNMLPKNHPFFDP27CA,9,178.26,住家用,鋼筋混凝土造,99年11月17日,三層,一層 二層 三層
RPTNMLPKNHPFFEP57DA,45,146.00,住商用,加強磚造,64年6月24日,三層,一層 二層 三層 騎樓
RPQOMLPKNHPFFAP86CA,39,116.05,住家用,加強磚造,70年7月2日,二層,一層 二層 電梯樓梯間
RPSNMLSKNHPFFAP27CA,6,273.71,住家用,鋼筋混凝土造,102年12月12日,四層,一層 二層 三層 四層
RPSNMLSKNHPFFAP27CA,6,.85,住家用,鋼筋混凝土造,102年12月12日,二層,一層 二層
RPRNMLTJOHPFFDP57CA,,135.19,住家用,鋼筋混凝土造,109年2月12日,三層,一層 二層 三層
RPPNMLOKNHPFFCP86DA,3,222.22,住家用,鋼筋混凝土造,106年6月15日,三層,一層 二層 三層
RPPNMLSKNHPFFDP27CA,5,202.44,住家用,鋼筋混凝土造,104年5月18日,四層,一層 二層 三層 四層
RPQNMLTKNHPFFAP37EA,25,213.88,住家用,鋼筋混凝土造,84年5月5日,四層,一層 二層 三層 四層 騎樓
RPWNMLKLNHPFFAP96CA,2,78.49,見其他登記事項,鋼筋混凝土造,107年8月15日,五層,三層
RPWNMLKLNHPFFAP96CA,2,32.57,見其他登記事項,鋼筋混凝土造,107年8月15日,五層,
RPUNMLKLNHPFFAP76CA,46,141.18,住家用,見其他登記事項,63年7月12日,三層,一層 二層 三層
RPUNMLSKNHPFFAP47CA,41,106.72,住商用,加強磚造,68年8月27日,二層,一層 二層 騎樓 電梯樓梯間
RPUNMLTKNHPFFAP57CA,,192.65,見其他登記事項,鋼筋混凝土造,108年8月1日,三層,一層 二層 三層 屋頂突出物
RPTNMLTKNHPFFAP47CA,1,194.58,見其他登記事項,鋼筋混凝土造,108年8月1日,三層,一層 二層 三層 屋頂突出物
RPSNMLTJOHPFFDP67CA,,155.88,住家用,鋼筋混凝土造,109年2月12日,三層,一層 二層 三層
RPTNMLPJOHPFFCP47EA,1,187.98,見其他登記事項,鋼筋混凝土造,108年2月27日,三層,一層 二層 三層 見其他登記事項
RPWNMLKKOHPFFDP27CA,48,143.72,住家用,加強磚造,61年9月14日,二層,一層 二層
RPXNMLTKNHPFFAP87CA,40,117.33,住商用,加強磚造,69年9月1日,二層,一層 二層 騎樓
RPUNMLTJOHPFFDP87CA,,155.88,住家用,鋼筋混凝土造,109年2月12日,三層,一層 二層 三層
RPRNMLTKNHPFFEP67CA,29,182.87,住商用,鋼筋混凝土造,80年8月20日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPTNMLKLOHPFFDP07CA,,137.41,住家用,鋼筋混凝土造,109年2月12日,三層,一層 二層 三層
RPTNMLMLNHPFFFP37CA,36,141.36,住商用,鋼筋混凝土加強磚造,73年7月30日,二層,一層 二層 騎樓
RPQNMLKLNHPFFCP56CA,40,293.26,農舍,加強磚造,69年1月8日,二層,見其他登記事項
RPUNMLKLNHPFFDP07CA,26,195.98,住家用,鋼筋混凝土造,83年3月30日,四層,一層 二層 三層 四層
RPRNMLRLNHPFFDP47CA,1,9.01,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,七層
RPRNMLRLNHPFFDP47CA,1,3.94,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPRNMLRLNHPFFDP47CA,1,.37,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPSNMLRLNHPFFDP57CA,1,9.01,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,七層
RPSNMLRLNHPFFDP57CA,1,3.94,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPSNMLRLNHPFFDP57CA,1,.37,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPTNMLKLNHPFFEP17DA,32,188.71,住商用,鋼筋混凝土造,77年8月26日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPTNMLRLNHPFFDP67CA,1,9.14,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,七層
RPTNMLRLNHPFFDP67CA,1,3.99,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPTNMLRLNHPFFDP67CA,1,.38,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPUNMLLLNHPFFCP07CA,1,146.73,見其他登記事項,鋼筋混凝土造,108年5月30日,三層,見其他登記事項
RPQNMLQLNHPFFFP47CA,33,192.19,住家用,加強磚造,76年9月21日,二層,一層 二層 騎樓
