編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPNMLNLNHPFFCQ86CA,五穀王段,110.48,都市：住,全筆移轉
RPPNMLNLNHPFFCQ86CA,五穀王段,.27,都市：住,持分移轉
RPSNMLNLNHPFFCQ17CA,大崎段,69.74,都市：住,全筆移轉
RPPNMLPLNHPFFCQ07CA,排子路段排子路小段,1112.80,非都市：特定農業區 ; 非都市編定：農牧用地,持分移轉
RPTNMLSJOHPFFCQ67CA,下埤頭段下埤頭小段,630.50,非都市：特定農業區 ; 非都市編定：農牧用地,持分移轉
RPQNMLRKNHPFFBQ17CA,鰲鼓段,9568.00,非都市：一般農業區 ; 非都市編定：養殖用地,全筆移轉
RPQNMLRKNHPFFBQ17CA,鰲鼓段,3720.00,非都市：一般農業區 ; 非都市編定：養殖用地,全筆移轉
RPQNMLRKNHPFFBQ17CA,鰲鼓段,7022.00,非都市：一般農業區 ; 非都市編定：養殖用地,全筆移轉
RPSNMLMKNHPFFBQ86CA,五間厝段中厝小段,1482.13,非都市：特定農業區 ; 非都市編定：農牧用地,持分移轉
RPSNMLPKNHPFFDQ37CA,水西段,5.20,都市：住,持分移轉
RPUNMLNLNHPFFCQ37CA,頭橋段工業小段,19.77,都市：住,持分移轉
RPUNMLNLNHPFFCQ37CA,世興段,.01,都市：住,持分移轉
RPUNMLNLNHPFFCQ37CA,世興段,2.57,都市：住,持分移轉
RPSNMLLKNHPFFCQ86CA,大崎段,40.41,都市：住,全筆移轉
RPSNMLLKNHPFFCQ86CA,大崎段,54.82,都市：住,全筆移轉
RPSNMLNKNHPFFDQ17CA,三和段,92.56,都市：住,全筆移轉
RPQNMLMKNHPFFEQ96CA,瓦厝埔段,7047.00,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPQNMLMKNHPFFEQ96CA,瓦厝埔段,604.00,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPPOMLTKNHPFFDQ57CA,過溝段過溝小段,1892.00,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPUNMLKLNHPFFBQ96CA,文明段,23.87,都市：住,持分移轉
RPPNMLNKNHPFFEQ96CA,獅子頭段,10.00,非都市：一般農業區 ; 非都市編定：丙種建築用地,持分移轉
RPPNMLNKNHPFFEQ96CA,獅子頭段,594.00,非都市：一般農業區 ; 非都市編定：丙種建築用地,全筆移轉
RPPNMLNKNHPFFEQ96CA,獅子頭段,1.88,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,持分移轉
RPTOMLOJOHPFFDQ47CA,麻寮段,.46,都市：住,全筆移轉
RPTOMLOJOHPFFDQ47CA,麻寮段,131.33,都市：住,全筆移轉
RPSOMLOJOHPFFDQ37CA,麻寮段,133.10,都市：住,持分移轉
RPSOMLOJOHPFFDQ37CA,麻寮段,92.22,都市：住,持分移轉
RPSOMLOJOHPFFDQ37CA,麻寮段,761.66,都市：住,全筆移轉
RPTNMLMKNHPFFEQ27CA,番子潭段,8603.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,全筆移轉
RPTNMLLJOHPFFDQ07CA,和雲段,78.57,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPTNMLLKNHPFFDQ17DA,新三界埔段,48.83,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPTNMLLKNHPFFDQ17DA,新三界埔段,.51,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPTNMLLKNHPFFDQ17DA,新三界埔段,6.53,非都市：鄉村區 ; 非都市編定：交通用地,持分移轉
RPTNMLLKNHPFFDQ17DA,新三界埔段,1.44,非都市：山坡地保育區 ; 非都市編定：交通用地,持分移轉
RPTNMLKMNHPFFDQ17CA,下塗溝段,237.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPTNMLKMNHPFFDQ17CA,下塗溝段,83.17,非都市：特定農業區 ; 非都市編定：甲種建築用地,持分移轉
RPTNMLSJOHPFFDQ77CA,南靖段南和小段,9.55,非都市：特定農業區 ; 非都市編定：甲種建築用地,持分移轉
RPTNMLSJOHPFFDQ77CA,南靖段南和小段,58.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPRNMLMKNHPFFDQ07DA,和興段,69.95,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPSNMLMKNHPFFDQ17DA,和興段,34.98,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPUNMLMKNHPFFDQ27CA,嘉保段,110.58,都市：住,全筆移轉
RPUNMLMKNHPFFDQ27CA,嘉保段,.45,都市：住,持分移轉
RPPPMLMJPHPFFDQ07CA,忠義段,109.24,都市：住,全筆移轉
RPPNMLSKNHPFFDQ37CA,柳新段,56.49,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPPNMLSKNHPFFDQ37CA,柳新段,24.38,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPPNMLOJOHPFFCQ96DA,新庄段,45.92,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPUNMLNKNHPFFDQ37CA,崙子頂段,278.00,都市：住,全筆移轉
RPRNMLNKNHPFFDQ07CA,龍潭段,3.17,都市：住,持分移轉
RPRNMLNKNHPFFDQ07CA,龍潭段,.02,都市：住,持分移轉
RPRNMLNKNHPFFDQ07CA,龍潭段,243.45,都市：住,持分移轉
RPSNMLTKNHPFFCQ87EA,新大埔美段,51.43,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPSNMLTKNHPFFCQ87EA,新大埔美段,35.89,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPSOMLNJOHPFFDQ27CA,龍潭段,112.38,都市：住,全筆移轉
RPSOMLNJOHPFFDQ27CA,龍潭段,1.59,都市：其他:道路用地,持分移轉
RPRNMLNLNHPFFCQ07CA,山中段,420.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPQNMLOKNHPFFCQ96CA,菜公厝段咬竹小段,2962.00,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPPNMLOKNHPFFCQ86CA,排子路段排子路小段,500.00,非都市：特定農業區 ; 非都市編定：農牧用地,持分移轉
RPPNMLOKNHPFFDQ96CA,麻寮段,1.22,都市：其他:道路用地,持分移轉
RPPNMLOKNHPFFDQ96CA,麻寮段,1.31,都市：住,持分移轉
RPPNMLOKNHPFFDQ96CA,麻寮段,.72,都市：住,持分移轉
RPPNMLOKNHPFFDQ96CA,麻寮段,1.37,都市：其他:道路用地,持分移轉
RPPNMLOKNHPFFDQ96CA,麻寮段,3.21,都市：住,持分移轉
RPPNMLOKNHPFFDQ96CA,麻寮段,1.30,都市：住,持分移轉
RPRNMLTKNHPFFCQ77EA,甘蔗崙段甘蔗崙小段,110.00,都市：住,全筆移轉
RPRNMLKLNHPFFCQ76CA,吉林段,100.04,都市：住,全筆移轉
RPRNMLOKNHPFFDQ17CA,龍德段,87.06,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPRNMLOKNHPFFDQ17CA,龍德段,68.57,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPPNMLPKNHPFFCQ96CA,柴林段柴林小段,2661.00,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPXNMLOKNHPFFCQ67CA,北斗段,97.42,都市：商,全筆移轉
RPRNMLPKNHPFFCQ17CA,溪東段,126.07,都市：商,全筆移轉
