編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPROMLQJPHPFFDQ77CC,17,20.25,見其他登記事項,鋼筋混凝土造,92年5月5日,五層,
RPROMLQJPHPFFDQ77CC,17,3.46,見其他登記事項,鋼筋混凝土造,92年5月5日,五層,
RPVNMLKLOHPFFBQ37CC,14,19.19,住家用,鋼筋混凝土造,95年8月28日,八層,
RPVNMLKLOHPFFBQ37CC,14,4.61,共有部份,鋼筋混凝土造,95年8月28日,,
RPVNMLKLOHPFFBQ37CC,14,7.42,共有部份,鋼筋混凝土造,95年8月28日,,
RPPNMLOJPHPFFBQ07CC,14,19.19,住家用,鋼筋混凝土造,95年8月28日,八層,
RPPNMLOJPHPFFBQ07CC,14,4.59,共有部份,鋼筋混凝土造,95年8月28日,,
RPPNMLOJPHPFFBQ07CC,14,7.40,共有部份,鋼筋混凝土造,95年8月28日,,
RPUNMLPJOHPFFDQ77CC,3,93.83,見其他登記事項,鋼筋混凝土造,106年4月21日,十六層,
RPUNMLPJOHPFFDQ77CC,3,11.12,見其他登記事項,鋼筋混凝土造,106年4月21日,十六層,
RPUNMLPJOHPFFDQ77CC,3,.91,見其他登記事項,鋼筋混凝土造,106年4月21日,十六層,
RPUNMLPJOHPFFDQ77CC,3,16.79,見其他登記事項,鋼筋混凝土造,106年4月21日,十六層,
RPUNMLPJOHPFFDQ77CC,3,29.75,見其他登記事項,鋼筋混凝土造,106年4月21日,十六層,
RPUNMLPJOHPFFDQ77CC,3,29.87,見其他登記事項,鋼筋混凝土造,106年4月21日,十六層,
RPRNMLRJPHPFFDQ77CC,3,123.30,見其他登記事項,鋼筋混凝土造,106年4月21日,十五層,
RPQNMLQKPHPFFBQ47CC,50,298.00,見其他登記事項,鋼筋混凝土加強磚造,59年10月13日,四層,
RPRNMLRKPHPFFBQ67CC,24,119.15,住家用,鋼筋混凝土造,85年8月15日,十四層,
RPWNMLLLPHPFFCQ97EC,1,294.63,見其他登記事項,見其他登記事項,108年10月14日,一層,
RPTNMLMKNHPFFDQ37CC,42,107.28,住家用,鋼筋混凝土加強磚造,67年9月1日,二層,
RPTNMLSLNHPFFDQ08CC,27,221.36,住商用,鋼筋混凝土造,82年7月26日,四層,
RPVNMLMLNHPFFDQ67CC,8,201.51,見其他登記事項,鋼筋混凝土造,101年8月29日,四層,
RPPNMLSJQHPFFDQ77CC,16,17.13,見其他登記事項,鋼筋混凝土造,94年2月4日,五層,
RPPNMLSJQHPFFDQ77CC,16,5.89,見其他登記事項,鋼筋混凝土造,94年2月4日,五層,
RPXNMLLLPHPFFCQ08EC,47,57.95,住家用,見使用執照,62年11月15日,一層,
RPXNMLLLPHPFFCQ08EC,47,192.56,工業用,鐵造,62年11月15日,一層,
RPTNMLKMOHPFFDQ47CC,3,89.23,見其他登記事項,鋼筋混凝土造,106年4月21日,十六層,
RPTNMLKMOHPFFDQ47CC,3,10.93,見其他登記事項,鋼筋混凝土造,106年4月21日,十六層,
RPTNMLKMOHPFFDQ47CC,3,1.47,見其他登記事項,鋼筋混凝土造,106年4月21日,十六層,
RPTNMLKMOHPFFDQ47CC,3,15.92,見其他登記事項,鋼筋混凝土造,106年4月21日,十六層,
RPTNMLKMOHPFFDQ47CC,3,28.30,見其他登記事項,鋼筋混凝土造,106年4月21日,十六層,
RPTNMLKMOHPFFDQ47CC,3,29.87,見其他登記事項,鋼筋混凝土造,106年4月21日,十六層,
RPUNMLTLNHPFFDQ28CC,3,91.94,見其他登記事項,鋼筋混凝土造,106年4月21日,十六層,
RPUNMLTLNHPFFDQ28CC,3,9.20,見其他登記事項,鋼筋混凝土造,106年4月21日,十六層,
RPUNMLTLNHPFFDQ28CC,3,1.70,見其他登記事項,鋼筋混凝土造,106年4月21日,十六層,
RPUNMLTLNHPFFDQ28CC,3,16.41,見其他登記事項,鋼筋混凝土造,106年4月21日,十六層,
RPUNMLTLNHPFFDQ28CC,3,29.18,見其他登記事項,鋼筋混凝土造,106年4月21日,十六層,
RPUNMLTLNHPFFDQ28CC,3,29.87,見其他登記事項,鋼筋混凝土造,106年4月21日,十六層,
RPVNMLTLNHPFFDQ38CC,3,89.23,見其他登記事項,鋼筋混凝土造,106年4月21日,十六層,
RPVNMLTLNHPFFDQ38CC,3,10.93,見其他登記事項,鋼筋混凝土造,106年4月21日,十六層,
RPVNMLTLNHPFFDQ38CC,3,1.47,見其他登記事項,鋼筋混凝土造,106年4月21日,十六層,
RPVNMLTLNHPFFDQ38CC,3,15.92,見其他登記事項,鋼筋混凝土造,106年4月21日,十六層,
RPVNMLTLNHPFFDQ38CC,3,29.18,見其他登記事項,鋼筋混凝土造,106年4月21日,十六層,
RPVNMLTLNHPFFDQ38CC,3,29.87,見其他登記事項,鋼筋混凝土造,106年4月21日,十六層,
