編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPXOMLQKOHPFFCT58CC,延平段,172.11,都市：住,全筆移轉
RPPNMLOLOHPFFAT37CC,豐田段,.00,都市：住,全筆移轉
RPXOMLKLOHPFFCT08CC,華興段,173.22,都市：商,全筆移轉
RPPNMLQLOHPFFAT57CC,新屏段,1600.00,都市：工,全筆移轉
RPRNMLOLOHPFFAT57CC,灰段,.00,都市：住,全筆移轉
RPWNMLMJPHPFFCT97CC,新榮段,51.03,都市：住,全筆移轉
RPWSMLMJPHPFFAT38DC,水源段二小段,27.24,都市：住,全筆移轉
RPWNMLNJPHPFFAT97DC,檳榔腳段一小段,57.00,都市：住,全筆移轉
RPOOMLMKNHPFFDT27CC,東港段,.00,都市：住,全筆移轉
RPWPMLRJPHPFFAT48CC,萬年段,81.00,都市：住,全筆移轉
RPXNMLPKNHPFFAT08CC,瑞光段,.00,都市：住,全筆移轉
RPVNMLKLNHPFFDT77CC,東林段,62.85,都市：商,全筆移轉
RPSPMLSJPHPFFAT18CC,萬年段,83.00,都市：住,全筆移轉
RPPNMLQKPHPFFCT77CC,南寧段,177.57,都市：其他,全筆移轉
RPUOMLKLNHPFFAT47CC,萬年段,.00,都市：住,全筆移轉
RPTOMLNKPHPFFCT97CC,三星段,121.56,都市：住,全筆移轉
RPUNMLRLPHPFFAT28CC,瑞光段,.00,都市：住,全筆移轉
RPXNMLSLNHPFFAT48CC,林內段,.00,都市：住,全筆移轉
RPXNMLRKPHPFFAT58DC,斯文段,9.00,都市：住,全筆移轉
RPXNMLRKPHPFFAT58DC,斯文段,124.00,都市：住,全筆移轉
RPXNMLRKPHPFFAT58DC,斯文段,14.00,都市：住,全筆移轉
RPXNMLRKPHPFFAT58DC,斯文段,5.00,都市：住,全筆移轉
RPXNMLRKPHPFFAT58DC,斯文段,6.00,都市：住,全筆移轉
RPSPMLOKNHPFFAT67CC,民和段,.00,都市：住,全筆移轉
RPTNMLLLNHPFFAT37CC,大連段,.00,都市：住,全筆移轉
RPTNMLLLNHPFFAT37CC,大連段,.00,都市：住,全筆移轉
RPVNMLRLPHPFFAT38CC,長治段,.00,都市：住,全筆移轉
RPPPMLTLPHPFFAT18CC,勝興段,.00,都市：住,全筆移轉
RPRNMLQJQHPFFET18CC,墾丁段,309.36,非都市：國家公園區 ; 非都市編定：,全筆移轉
RPUOMLLMPHPFFAT87CC,檳榔腳段一小段,.00,都市：住,全筆移轉
