鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
花蓮市,房地(土地+建物),花蓮縣花蓮市國聯五路1~30號,87.81,商,,,1090331,土地3建物2車位0,一層，二層，三層，四層,四層,店面(店鋪),住商用,鋼筋混凝土造,0841227,308.49,0,0,0,無,無,15500000,50245,,0.0,0,,RPQNMLMKNHPFFAU96CA,304.31,0.0,4.18,
新城鄉,房地(土地+建物),花蓮縣新城鄉福德路1~30號,97.0,住,,,1090318,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0821026,177.12,5,2,3,有,無,6700000,37827,,0.0,0,含增建或未登記建物。;含增建,RPQOMLMKNHPFFAU07CA,162.89,6.91,7.32,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市南京街181~210號,13.66,商,,,1090422,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070427,116.96000000000001,1,2,2,有,有,8300000,80429,坡道平面,34.9,1700000,,RPOPMLMKNHPFFAU96CA,48.23,0.0,5.16,
花蓮市,房地(土地+建物),花蓮縣花蓮市南京街181~210號,13.64,商,,,1090408,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070427,81.36,1,2,2,有,有,6300000,77434,,0.0,0,,RPPPMLMKNHPFFAU07CA,48.21,0.0,5.19,
花蓮市,房地(土地+建物),花蓮縣花蓮市球崙二路211~240號,10.6,住,,,1090417,土地1建物1車位0,八層，九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860827,55.81999999999999,2,1,1,有,有,2300000,41204,,0.0,0,,RPQPMLMKNHPFFAU17CA,39.91,0.0,0.0,
花蓮市,房地(土地+建物),花蓮縣花蓮市東興一街79巷1~30號,41.35,住,,,1090406,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0911202,168.15,3,2,2,有,有,5800000,34493,,0.0,0,,RPTNMLNKNHPFFAU37CA,95.26,0.0,10.97,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉慶豐七街151~180號,81.0,住,,,1090326,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0750916,93.16,4,4,3,有,無,6800000,72993,,0.0,0,,RPPNMLOKNHPFFAU07CA,93.16,0.0,0.0,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉南埔二街1~30號,34.58,商,,,1090421,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0820528,101.39999999999999,3,1,1,有,無,3500000,34517,,0.0,0,,RPSOMLOKNHPFFAU47CA,82.93,0.0,11.7,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉南海四街294巷1~30號,112.0,,特定農業區,甲種建築用地,1090420,土地1建物1車位0,全,一層,透天厝,住家用,鋼筋混凝土加強磚造,0661129,57.45,2,1,1,有,無,3750000,65274,,0.0,0,,RPQNMLPKNHPFFAU27CA,57.45,0.0,0.0,
壽豐鄉,土地,豐東段691~720地號,5187.65,,一般農業區,農牧用地,1090316,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8000000,1542,,0.0,0,,RPUNMLOJOHPFFAU57CA,0.0,0.0,0.0,
花蓮市,房地(土地+建物),花蓮縣花蓮市國盛六街31~60號,8.4,住,,,1090417,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830414,54.53,1,1,1,有,有,1450000,26591,,0.0,0,,RPPQMLOJOHPFFAU37CA,35.51,1.58,2.84,
花蓮市,土地,德安段1261~1290地號,122.96,住,,,1090327,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8280000,67339,,0.0,0,,RPQOMLTJOHPFFAU77CA,0.0,0.0,0.0,
花蓮市,土地,德安段1261~1290地號,268.0,住,,,1090327,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9720000,36269,,0.0,0,,RPROMLTJOHPFFAU87CA,0.0,0.0,0.0,
秀林鄉,土地,佳民段1081~1110地號,2622.0,,一般農業區,農牧用地,1090416,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1600000,610,,0.0,0,,RPROMLLKOHPFFAU17CA,0.0,0.0,0.0,
鳳林鎮,土地,鳳信段31~60地號,422.84,,鄉村區,乙種建築用地,1090421,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1944851,4599,,0.0,0,向政府機關承購之案件。;,RPSNMLMKNHPFFBU27CA,0.0,0.0,0.0,
光復鄉,土地,阿托莫段1111~1140地號,824.86,,一般農業區,甲種建築用地,1090421,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,720000,873,,0.0,0,地上房屋為買方所有,RPRNMLPJOHPFFBU47CA,0.0,0.0,0.0,
光復鄉,房地(土地+建物),花蓮縣光復鄉中華路232巷1~30號,83.0,住,,,1090424,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0850830,171.19,4,2,3,有,無,4100000,23950,,0.0,0,,RPQNMLLKNHPFFBU07DA,162.31,0.0,8.88,
秀林鄉,土地,德姆南段1081~1110地號,3215.57,,山坡地保育區,林業用地,1090420,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,482335,150,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPOOMLNKNHPFFAU17EA,0.0,0.0,0.0,
秀林鄉,土地,德姆南段1591~1620地號,25001.02,,山坡地保育區,林業用地,1090501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2300093,92,,0.0,0,,RPPPMLOKNHPFFAU47EA,0.0,0.0,0.0,
豐濱鄉,土地,東興段91~120地號,4071.63,,風景區,農牧用地,1090218,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6600000,1621,,0.0,0,,RPPNMLMJOHPFFBU17EA,0.0,0.0,0.0,
新城鄉,土地,嘉南段61~90地號,169.0,住,,,1090330,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,17751,,0.0,0,,RPRNMLTJOHPFFAU77CA,0.0,0.0,0.0,
花蓮市,房地(土地+建物),花蓮縣花蓮市德安六街105巷1~30號,23.18,住,,,1090419,土地1建物1車位0,十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870403,138.03,3,2,2,有,有,5200000,37673,,0.0,0,含增建或未登記建物。;,RPWNMLSJOHPFFAU18CA,95.97,0.0,10.86,
壽豐鄉,土地,平和段1051~1080地號,1024.8,農,,,1090330,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2450000,2391,,0.0,0,,RPXOMLNJOHPFFAU87CA,0.0,0.0,0.0,
花蓮市,房地(土地+建物),花蓮縣花蓮市南京街181~210號,6.48,商,,,1090406,土地2建物1車位0,四層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0761117,43.459999999999994,1,1,1,有,有,2150000,49471,,0.0,0,,RPWNMLSKNHPFFAU18CA,29.88,0.0,3.06,
花蓮市,房地(土地+建物),花蓮縣花蓮市仁愛街27巷1~30號,67.0,商,,,1090320,土地1建物1車位0,全,一層,透天厝,住家用,木造,,42.32,3,2,1,有,無,4000000,94518,,0.0,0,,RPXPMLOKNHPFFAU08CA,42.32,0.0,0.0,
吉安鄉,土地,永興段391~420地號,151.85,,特定農業區,甲種建築用地,1090420,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4800000,31610,,0.0,0,,RPOQMLOKNHPFFAU27CA,0.0,0.0,0.0,
新城鄉,土地,康樂段181~210地號,1645.49,,一般農業區,農牧用地,1090427,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,1823,,0.0,0,,RPTOMLOKNHPFFAU57CA,0.0,0.0,0.0,
壽豐鄉,土地,忠孝段31~60地號,1090.33,農,,,1090505,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3500000,3210,,0.0,0,,RPUOMLOKNHPFFAU67CA,0.0,0.0,0.0,
