編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPSNMLRLNHPFFAU97CC,富國段,.00,都市：住,全筆移轉
RPTOMLLKNHPFFAU47CC,裕民段,143.00,都市：商,全筆移轉
RPPOMLSKNHPFFAU77CC,福安段,.00,都市：住,全筆移轉
RPSNMLSKNHPFFAU08DC,自強段,40.05,都市：住,全筆移轉
RPOPMLSLNHPFFAU87CC,太昌段,85.25,都市：住,全筆移轉
RPTNMLNJOHPFFAU67DC,裕民段,7.09,都市：商,全筆移轉
RPSNMLTLNHPFFAU18CC,主商段,6.25,都市：商,全筆移轉
RPSNMLTLNHPFFAU18CC,主商段,.22,都市：其他:道路用地,全筆移轉
RPROMLKLNHPFFAU27CC,自強段,.00,非都市： ; 非都市編定：,全筆移轉
RPROMLOJOHPFFAU57CC,仁恥段,83.00,都市：住,全筆移轉
RPSOMLOJOHPFFAU67CC,富國段,14.22,都市：住,全筆移轉
RPUOMLOJOHPFFAU87CC,富國段,13.95,都市：住,全筆移轉
RPUNMLSJOHPFFAU18CC,慈勝段,8.33,都市：農,全筆移轉
RPUNMLSJOHPFFAU18CC,慈勝段,68.31,都市：農,全筆移轉
RPUNMLSJOHPFFAU18CC,慈勝段,145.71,都市：農,全筆移轉
RPUNMLSJOHPFFAU18CC,慈勝段,155.88,都市：農,全筆移轉
RPUNMLSJOHPFFAU18CC,慈勝段,364.57,都市：農,全筆移轉
RPOOMLSJOHPFFAU67CC,仁廉段,98.00,都市：住,全筆移轉
RPVOMLTJOHPFFAU58DC,福安段,13.73,都市：住,全筆移轉
RPPPMLTJOHPFFAU08DC,民享段,18.29,都市：商,全筆移轉
RPUNMLQLNHPFFAU08CC,自強段,37.81,都市：住,全筆移轉
RPTPMLKKOHPFFAU57CC,四維段,54.34,都市：農,全筆移轉
RPRPMLKKOHPFFAU47DC,民意段,21.81,都市：住,全筆移轉
RPRPMLKKOHPFFAU47DC,民意段,16.83,都市：住,全筆移轉
RPQOMLSKNHPFFAU87CC,樹人段,7.58,都市：住,全筆移轉
RPVOMLSKNHPFFAU48DC,福安段,27.46,都市：住,全筆移轉
RPUNMLMKOHPFFAU67CC,仁義段,99.00,都市：住,全筆移轉
RPVOMLLKOHPFFAU77CC,民意段,11.22,都市：住,全筆移轉
RPTOMLQKOHPFFAU18DC,民意段,5.73,都市：住,全筆移轉
RPVNMLMKOHPFFAU77CC,慈惠段,.00,都市：住,全筆移轉
RPUOMLQKOHPFFAU18CC,國光段,64.00,都市：商,全筆移轉
RPUOMLQKOHPFFAU18CC,國光段,3.61,都市：商,全筆移轉
RPUOMLQKOHPFFAU18CC,國光段,20.19,都市：商,全筆移轉
RPPOMLTKOHPFFAU97CC,福祥段,46.80,都市：住,全筆移轉
RPOOMLSKOHPFFAU77CC,宜安段,85.00,都市：住,全筆移轉
RPOOMLSKOHPFFAU77CC,宜安段,10.00,都市：其他:道路用地,全筆移轉
