編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQNMLOKNHPFFCV47CA,水井段,6071.02,非都市：山坡地保育區 ; 非都市編定：農牧用地,全筆移轉
RPQNMLOKNHPFFCV47CA,水井段,181.85,非都市：山坡地保育區 ; 非都市編定：農牧用地,全筆移轉
RPSNMLOKNHPFFCV67CA,豐泉段,23.53,都市：住,全筆移轉
RPSNMLOKNHPFFCV67CA,豐泉段,107.86,都市：住,全筆移轉
RPSNMLLKNHPFFAV17CA,台東段,58.00,都市：住,全筆移轉
RPXNMLMKNHPFFAV77CA,台東段,32.00,都市：住,全筆移轉
RPWNMLMKNHPFFAV67CA,台東段,75.00,都市：住,全筆移轉
RPPNMLMKNHPFFBV07CA,濱海段,93.61,都市：住,全筆移轉
RPTNMLNJOHPFFAV47CA,台東段,53.00,都市：商,全筆移轉
RPRNMLNKNHPFFAV27CA,新生段,272.00,都市：農,全筆移轉
RPPNMLMLNHPFFBV17CA,忠仁段,189.07,都市：住,全筆移轉
RPUNMLKLNHPFFAV37CA,東谷段,116.24,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPSNMLKLNHPFFAV17CA,南王段,59.65,都市：住,全筆移轉
RPOOMLTKNHPFFAV67CA,台東段,152.00,都市：住,全筆移轉
RPSOMLLLNHPFFAV37CA,順天段,.86,都市：住,全筆移轉
RPRNMLOKNHPFFCV67DA,福文段,10.88,都市：住,全筆移轉
RPRNMLOKNHPFFCV67DA,福文段,40.89,都市：住,全筆移轉
RPROMLSKNHPFFAV87CA,利泰段,139.26,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPTNMLNKNHPFFAV57DA,常德段,101.47,都市：住,全筆移轉
RPPNMLOKNHPFFAV17CA,岩灣段,438.70,都市：住,全筆移轉
RPVNMLMKNHPFFAV57CA,豐里段,75.48,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPVNMLMKNHPFFAV57CA,豐里段,38.24,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPQNMLOKNHPFFAV37DA,南清段,4.08,都市：商,全筆移轉
RPQNMLSKNHPFFBV87DA,新美山段,711.79,非都市：風景區 ; 非都市編定：農牧用地,全筆移轉
RPQNMLSKNHPFFBV87DA,新美山段,236.87,非都市：風景區 ; 非都市編定：農牧用地,全筆移轉
RPQNMLSKNHPFFBV87DA,新美山段,2039.44,非都市：風景區 ; 非都市編定：農牧用地,全筆移轉
RPQNMLSKNHPFFBV87DA,新美山段,2158.13,非都市：風景區 ; 非都市編定：農牧用地,全筆移轉
RPQNMLSKNHPFFBV87DA,新美山段,697.08,非都市：風景區 ; 非都市編定：農牧用地,全筆移轉
RPQNMLSKNHPFFBV87DA,新美山段,1965.67,非都市：風景區 ; 非都市編定：農牧用地,全筆移轉
RPXNMLLLNHPFFAV77CA,鎮樂段,3490.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,全筆移轉
RPXNMLLLNHPFFAV77CA,鎮樂段,250.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,全筆移轉
RPXNMLLLNHPFFAV77CA,鎮樂段,150.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,全筆移轉
RPVNMLOKNHPFFAV77CA,建成段,105.74,都市：住,全筆移轉
RPRNMLPKNHPFFDV77CA,秀山段,10.39,都市：其他,持分移轉
RPRNMLPKNHPFFDV77CA,秀山段,.00,都市：其他,持分移轉
RPPNMLQLNHPFFBV67DA,北都歷段,1085.02,非都市：風景區 ; 非都市編定：農牧用地,全筆移轉
RPPNMLPKNHPFFDV57CA,秀山段,8.08,都市：其他,持分移轉
RPQNMLPKNHPFFDV67CA,秀山段,8.08,都市：其他,持分移轉
RPPNMLPKNHPFFDV57CA,秀山段,.00,都市：其他,持分移轉
RPQNMLPKNHPFFDV67CA,秀山段,.00,都市：其他,持分移轉
RPSNMLOKNHPFFAV47CA,建興段,2164.00,都市：農,全筆移轉
RPUNMLTKNHPFFBV28CA,萬年段,199.00,非都市：風景區 ; 非都市編定：農牧用地,全筆移轉
RPUNMLTKNHPFFBV28CA,萬年段,223.00,非都市：風景區 ; 非都市編定：農牧用地,全筆移轉
